# Peak,Strength,Lamp
# https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=Ar+I%3B+Ar+II&limits_type=0&low_w=300&upp_w=1200&unit=1&de=0&format=0&line_out=0&remove_js=on&en_unit=0&output=0&bibrefs=1&page_size=15&show_obs_wl=1&order_out=0&max_low_enrg=&show_av=3&max_upp_enrg=&tsb_value=0&min_str=&A_out=0&intens_out=on&max_str=&allowed_out=1&forbid_out=1&min_accur=C&min_intens=10&conf_out=on&term_out=on&enrg_out=on&J_out=on&submit=Retrieve+Data
# Only contain 3000-12000 A and have relative strength >= 10
3034.39119,78,ArII
3139.92686,79,ArII
3170.58539,78,ArII
3181.9575,45,ArII
3244.62401,95,ArII
3250.73706,95,ArII
3264.5112,21,ArII
3282.6468,43,ArII
3431.3983,26,ArII
3455.08447,76,ArII
3477.74248,427,ArII
3492.24280,389,ArII
3492.53477,1000,ArII
3510.78176,447,ArII
3515.39244,490,ArII
3520.99978,191,ArII
3522.26681,100,ArII
3536.32983,170,ArII
3549.52792,195,ArII
3551.0439,10,ArII
3557.9198,49,ArII
3560.52455,1445,ArII
3566.04767,162,ArII
3577.63636,12303,ArII
3582.63005,68,ArII
3583.37694,155,ArII
3589.46441,12303,ArII
3602.5364,15,ArII
3606.9074,24,ArII
3612.8431,14,ArII
3657.0911,27,ArII
3710.9640,11,ArII
3730.36872,234,ArII
3764.5735,17,ArII
3767.18827,91,ArII
3781.91329,81,ArII
3787.4572,20,ArII
3800.4598,12,ArII
3809.6556,14,ArII
3827.8925,30,ArII
3842.6083,18,ArII
3846.4956,32,ArII
3851.67281,263,ArII
3869.62478,166,ArII
3873.2337,11,ArII
3876.36254,78,ArII
3881.4321,15,ArII
3892.5037,14,ArII
3893.0815,50,ArII
3915.8761,25,ArII
3929.73504,191,ArII
3932.3483,17,ArII
3933.65966,91,ArII
3945.3876,49,ArII
3950.097,35,ArI
3953.8466,16,ArII
3969.4816,59,ArII
3980.48098,87,ArII
3989.2852,12,ArII
3993.1820,21,ArII
4014.99069,145,ArII
4036.5997,50,ArII
4039.9450,18,ArII
4044.03558,288,ArII
4045.561,50,ArI
4073.15410,708,ArII
4080.72518,100,ArII
4083.53931,76,ArII
4113.9756,513,ArII
4129.8045,18,ArII
4132.88864,891,ArII
4159.762,400,ArI
4165.354,50,ArI
4179.5427,13,ArII
