Peak,Lamp
3247.54004,CuNeAr
3273.96191,CuNeAr
4072.,CuNeAr
4103.91016,CuNeAr
4131.72998,CuNeAr
4158.58984,CuNeAr
4200.67432,CuNeAr
4348.06006,CuNeAr
4426.00098,CuNeAr
4545.08008,CuNeAr
4764.86,CuNeAr
5105.54,CuNeAr
5218.2,CuNeAr
5400.56,CuNeAr
5764.42,CuNeAr
5852.48779,CuNeAr
5944.83398,CuNeAr
6074.3377,CuNeAr
6090.7848,CuNeAr
6096.163,CuNeAr
6143.0623,CuNeAr
6334.4279,CuNeAr
6382.9914,CuNeAr
6402.246,CuNeAr
6506.5279,CuNeAr
6598.95,CuNeAr
6678.2,CuNeAr
6717.0428,CuNeAr
6929.468,CuNeAr
6965.43,CuNeAr
7032.4127,CuNeAr
7059.108,CuNeAr
7245.167,CuNeAr
7272.9359,CuNeAr
7383.98,CuNeAr
7438.899,CuNeAr
7635.106,CuNeAr
7948.175,CuNeAr
8006.1567,CuNeAr
8014.7857,CuNeAr
8103.692,CuNeAr
8115.311,CuNeAr
8264.5225,CuNeAr
8408.2096,CuNeAr
8424.6475,CuNeAr
8521.4422,CuNeAr
8667.9442,CuNeAr
9122.9674,CuNeAr
9224.5,CuNeAr
9657.79,CuNeAr
9784.5,CuNeAr
