#Element, Wavelength, Intensity
CuNeAr,3088.19995,0.
CuNeAr,3093.40186,0.
CuNeAr,3169.69995,0.
CuNeAr,3181.10010,0.
CuNeAr,3247.54004,0.
CuNeAr,3273.96191,0.
CuNeAr,3279.82007,0.
CuNeAr,3307.22827,0.
CuNeAr,3323.75000,0.
CuNeAr,3334.87,0.
CuNeAr,3337.84009,0.
CuNeAr,3350.92432,0.
CuNeAr,3376.43579,0.
CuNeAr,3378.28003,0.
CuNeAr,3417.90356,0.
CuNeAr,3447.70288,0.
CuNeAr,3454.18994,0.
CuNeAr,3466.58008,0.
CuNeAr,3472.57104,0.
CuNeAr,3476.74731,0.
CuNeAr,3501.217,0.
CuNeAr,3509.77856,0.
CuNeAr,3520.472,0.
CuNeAr,3520.50000,0.
CuNeAr,3530.38989,0.
CuNeAr,3535.31958,0.
CuNeAr,3548.51440,0.
CuNeAr,3554.30591,0.
CuNeAr,3556.90405,0.
CuNeAr,3559.50806,0.
CuNeAr,3561.03052,0.
CuNeAr,3568.53,0.
CuNeAr,3582.35449,0.
CuNeAr,3588.44067,0.
CuNeAr,3600.16919,0.
CuNeAr,3622.13745,0.
CuNeAr,3639.83301,0.
CuNeAr,3655.27832,0.
CuNeAr,3660.43701,0.
CuNeAr,3664.11,0.
CuNeAr,3678.27002,0.
CuNeAr,3680.06079,0.
CuNeAr,3694.20,0.
CuNeAr,3709.64,0.
CuNeAr,3713.08,0.
CuNeAr,3718.207,0.
CuNeAr,3720.42651,0.
CuNeAr,3727.08,0.
CuNeAr,3729.30859,0.
CuNeAr,3737.889,0.
CuNeAr,3763.50537,0.
CuNeAr,3765.270,0.
CuNeAr,3766.119,0.
CuNeAr,3766.29,0.
CuNeAr,3770.52002,0.
CuNeAr,3777.13,0.
CuNeAr,3780.840,0.
CuNeAr,3803.17,0.
CuNeAr,3829.77,0.
CuNeAr,3834.679,0.
CuNeAr,3850.581,0.
CuNeAr,3868.528,0.
CuNeAr,3891.980,0.
CuNeAr,3925.719,0.
CuNeAr,3928.623,0.
CuNeAr,3932.547,0.
CuNeAr,3946.097,0.
CuNeAr,3947.505,0.
CuNeAr,3948.979,0.
CuNeAr,3974.477,0.
CuNeAr,3979.356,0.
CuNeAr,3992.054,0.
CuNeAr,3994.792,0.
CuNeAr,4013.857,0.
CuNeAr,4022.66,0.
CuNeAr,4033.809,0.
CuNeAr,4035.460,0.
CuNeAr,4038.804,0.
CuNeAr,4042.894,0.
CuNeAr,4044.418,0.
CuNeAr,4045.965,0.
CuNeAr,4052.921,0.
CuNeAr,4062.84,0.
CuNeAr,4079.574,0.
CuNeAr,4080.645,0.
CuNeAr,4082.387,0.
CuNeAr,4097.140,0.
CuNeAr,4103.912,0.
CuNeAr,4112.815,0.
CuNeAr,4128.640,0.
CuNeAr,4131.724,0.
CuNeAr,4156.086,0.
CuNeAr,4158.591,0.
CuNeAr,4164.180,0.
CuNeAr,4174.37,0.
CuNeAr,4179.297,0.
CuNeAr,4181.884,0.
CuNeAr,4198.317,0.
CuNeAr,4200.675,0.
CuNeAr,4217.431,0.
CuNeAr,4218.665,0.
CuNeAr,4219.76,0.
CuNeAr,4222.637,0.
CuNeAr,4226.988,0.
CuNeAr,4228.158,0.
CuNeAr,4229.870,0.
CuNeAr,4231.60,0.
CuNeAr,4237.220,0.
CuNeAr,4251.185,0.
CuNeAr,4259.362,0.
CuNeAr,4266.286,0.
CuNeAr,4272.169,0.
CuNeAr,4277.528,0.
CuNeAr,4282.898,0.
CuNeAr,4290.40,0.
CuNeAr,4300.101,0.
CuNeAr,4309.239,0.
CuNeAr,4331.200,0.
CuNeAr,4333.561,0.
CuNeAr,4335.338,0.
CuNeAr,4345.168,0.
CuNeAr,4348.064,0.
CuNeAr,4352.205,0.
CuNeAr,4362.066,0.
CuNeAr,4367.832,0.
CuNeAr,4370.753,0.
CuNeAr,4375.954,0.
CuNeAr,4379.50,0.
CuNeAr,4379.667,0.
CuNeAr,4385.057,0.
CuNeAr,4391.94,0.
CuNeAr,4397.94,0.
CuNeAr,4400.097,0.
CuNeAr,4400.986,0.
CuNeAr,4409.30,0.
CuNeAr,4413.20,0.
CuNeAr,4420.912,0.
CuNeAr,4426.001,0.
CuNeAr,4428.54,0.
CuNeAr,4430.189,0.
CuNeAr,4430.90,0.
CuNeAr,4433.838,0.
CuNeAr,4439.461,0.
CuNeAr,4448.879,0.
CuNeAr,4474.759,0.
CuNeAr,4480.36,0.
CuNeAr,4481.811,0.
CuNeAr,4490.982,0.
CuNeAr,4498.538,0.
CuNeAr,4502.927,0.
CuNeAr,4509.39,0.
CuNeAr,4510.733,0.
CuNeAr,4522.323,0.
CuNeAr,4530.82,0.
CuNeAr,4536.552,0.
CuNeAr,4545.052,0.
CuNeAr,4545.08008,0.
CuNeAr,4563.743,0.
CuNeAr,4579.350,0.
CuNeAr,4589.899,0.
CuNeAr,4596.097,0.
