#Peak,Lamp
3888.646,He
3948.979,Ar
3964.729,He
4044.42,Ar
4158.59,Ar
4200.674,Ar
4300.1010,Ar
4333.561,Ar
4471.479,He
4510.733,Ar
4713.146,He
4921.931,Ar
5015.68,He
5875.621,He
6114.923,Ar
6172.278,Ar
6678.151,He
6752.833,Ar
6871.289,Ar
6965.43,Ar
7030.25,Ar
7065.190,He
7147.04,Ar
7272.93,Ar
7383.980,Ar
7503.869,Ar
7514.65,Ar
7635.106,Ar
7723.984,Ar
7984.176,Ar
8014.768,Ar
8115.311,Ar
8264.522,Ar
8408.201,Ar
8424.647,Ar
8521.442,Ar
8667.944,Ar
9122.967,Ar
9194.638,Ar
9224.499,Ar
9354.22,He
9657.22,He
9684.50,He
10830.30,He
