# Peak,Strength,Lamp
# https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=Kr+I%3B+Kr+II&limits_type=0&low_w=300&upp_w=1200&unit=1&de=0&format=0&line_out=0&remove_js=on&en_unit=0&output=0&bibrefs=1&page_size=15&show_obs_wl=1&order_out=0&max_low_enrg=&show_av=3&max_upp_enrg=&tsb_value=0&min_str=&A_out=0&intens_out=on&max_str=&allowed_out=1&forbid_out=1&min_accur=C&min_intens=10&conf_out=on&term_out=on&enrg_out=on&J_out=on&submit=Retrieve+Data
# Only contain 3000-12000 A and have relative strength >= 10
3496.9900,10,KrI
3616.5060,20,KrI
3666.3694,80,KrI
3774.4958,50,KrI
4275.17220,1000,KrI
4284.17248,100,KrI
4287.69293,40,KrI
4301.69626,50,KrI
4319.7669,400,KrI
4320.7943,1000,KrI
4352.58282,100,KrI
4363.86767,500,KrI
4377.35124,800,KrI
4401.20227,200,KrI
4411.6068,50,KrI
4426.43265,100,KrI
4455.16765,600,KrI
4464.94273,800,KrI
4503.61721,600,KrI
5518.1990,20,KrI
5563.76997,500,KrI
5571.83623,2000,KrI
5581.93678,80,KrI
5651.12975,100,KrI
5674.0250,50,KrI
5725.15,15,KrI
5828.69,20,KrI
5868.37627,50,KrI
5872.54320,3000,KrI
5881.52997,50,KrI
5995.51035,60,KrI
6238.07680,30,KrI
6422.80178,100,KrI
6458.07313,200,KrI
6578.23694,20,KrI
6654.07167,40,KrI
6701.07916,60,KrI
6906.5836,100,KrI
7226.094,100,KrI
7488.924,100,KrI
7589.5025,1000,KrI
7603.6384,2000,KrI
7687.3612,400,KrI
7696.6579,500,KrI
7748.960,50,KrI
7856.9844,200,KrI
7866.07,20,KrI
7984.602,10,KrI
8061.7211,100,KrI
8106.25,500,KrI
8106.5945,4000,KrI
8192.3082,300,KrI
8265.5140,400,KrI
8283.3284,200,KrI
8300.3907,500,KrI
8414.740,10,KrI
8511.2106,200,KrI
8779.1607,300,KrI
8931.1447,200,KrI
9001.66,30,KrI
9858.94,500,KrI
11460.614,220,KrI
11795.64,140,KrI
11822.6136,1800,KrI
