# Peak,Strength,Lamp
# https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=Ne+I%3B+Ne+II&limits_type=0&low_w=300&upp_w=1200&unit=1&de=0&format=0&line_out=0&remove_js=on&en_unit=0&output=0&bibrefs=1&page_size=15&show_obs_wl=1&order_out=0&max_low_enrg=&show_av=3&max_upp_enrg=&tsb_value=0&min_str=&A_out=0&intens_out=on&max_str=&allowed_out=1&forbid_out=1&min_accur=C&min_intens=10&conf_out=on&term_out=on&enrg_out=on&J_out=on&submit=Retrieve+Data
# Only contain 3000-12000 A and have relative strength >= 10
3058.2797,3000,NeI 
3127.1027,2000,NeI 
3370.7756,5000,NeI 
3370.8749,7000,NeI 
3418.8834,5000,NeI 
3418.9855,500,NeI 
3448.6901,2000,NeI 
3451.7528,500,NeI 
3455.1838,1000,NeI 
3461.5147,1000,NeI 
3465.3307,1000,NeI 
3467.5709,2000,NeI 
3473.5649,5000,NeI 
3499.0640,1000,NeI 
3502.2171,2000,NeI 
3511.7248,500,NeI 
3516.1952,2000,NeI 
3521.4780,10000,NeI 
3594.5517,5000,NeI 
3594.6639,3000,NeI 
3601.1965,1000,NeI 
3634.7001,1000,NeI 
3683.2904,1000,NeI 
3686.7843,1000,NeI 
3702.2779,400,NeI 
4537.5722,1500,NeI 
4538.9491,3000,NeI 
4539.0268,10000,NeI 
4703.8464,1500,NeI 
4705.7113,15000,NeI 
4710.1769,12000,NeI 
4711.3829,10000,NeI 
4886.2812,10000,NeI 
4886.4614,1000,NeI 
4956.7734,1500,NeI 
4958.4169,10000,NeI 
4958.5054,1500,NeI 
5006.5548,5000,NeI 
5006.7429,500,NeI 
5032.7515,2500,NeI 
5032.9119,20,NeI 
5037.4059,350,NeI 
5038.9975,30,NeI 
5039.1560,5000,NeI 
5075.4604,30,NeI 
5075.6152,350,NeI 
5078.0122,350,NeI 
5080.1850,150,NeI 
5081.7992,1500,NeI 
5085.3944,250,NeI 
5115.0974,750,NeI 
5117.9290,1500,NeI 
5118.4505,350,NeI 
5121.9327,250,NeI 
5123.6838,1500,NeI 
5123.7886,1500,NeI 
5146.3717,5000,NeI 
5146.5685,350,NeI 
5153.3962,750,NeI 
5155.8630,500,NeI 
5158.1037,500,NeI 
5160.3388,500,NeI 
5164.9230,100,NeI 
5192.7680,350,NeI 
5194.5713,1500,NeI 
5194.6702,1500,NeI 
5205.3452,1500,NeI 
5210.3152,700,NeI 
5212.0180,500,NeI 
5215.7907,350,NeI 
5327.8777,750,NeI 
5332.2603,6000,NeI 
5334.7918,500,NeI 
5337.194,100,NeI 
5342.5794,10000,NeI 
5344.7696,6000,NeI 
5356.6534,1500,NeI 
5356.8288,50,NeI 
5361.9179,350,NeI 
5363.7246,250,NeI 
5367.7092,250,NeI 
5376.4696,500,NeI 
5384.7425,250,NeI 
5402.0631,20000,NeI 
5414.1537,2500,NeI 
5420.0647,1500,NeI 
5421.662,500,NeI 
5435.1616,2500,NeI 
5450.0234,1500,NeI 
5563.9863,1500,NeI 
5564.3110,5000,NeI 
5564.5980,750,NeI 
5654.1352,750,NeI 
5657.5955,750,NeI 
5658.2287,5000,NeI 
5664.1204,750,NeI 
5691.3950,1500,NeI 
5720.4663,1500,NeI 
5720.8114,5000,NeI 
5721.1167,750,NeI 
5749.8929,5000,NeI 
5750.2391,700,NeI 
5762.1862,700,NeI 
5765.6511,30,NeI 
5766.0175,7000,NeI 
5771.9070,500,NeI 
5805.6993,750,NeI 
5806.0590,5000,NeI 
5813.0179,3000,NeI 
5818.2346,500,NeI 
5821.7694,5000,NeI 
5830.5223,750,NeI 
5854.1101,20000,NeI 
5870.0430,750,NeI 
5873.7725,750,NeI 
5874.4552,5000,NeI 
5883.5252,10000,NeI 
5899.9633,200,NeI 
5903.7300,30,NeI 
5904.0980,500,NeI 
5904.4192,50,NeI 
5908.0661,500,NeI 
5915.2717,2500,NeI 
5920.5469,2500,NeI 
5920.6691,80,NeI 
5936.0964,750,NeI 
5940.9609,500,NeI 
5946.4810,5000,NeI 
5963.2743,700,NeI 
5967.1235,5000,NeI 
5967.8317,350,NeI 
5976.2823,5000,NeI 
5977.1895,6000,NeI 
5984.0324,80,NeI 
5989.5660,1500,NeI 
5993.3073,750,NeI 
6002.5895,1000,NeI 
6031.6666,10000,NeI 
6043.686,150,NeI 
6047.8090,500,NeI 
6066.2150,500,NeI 
6076.0193,10000,NeI 
6097.8506,3000,NeI 
6119.7121,150,NeI 
6130.1460,1000,NeI 
6144.208,1000,NeI 
6144.7629,10000,NeI 
6152.0006,1000,NeI 
6157.8417,500,NeI 
6165.2994,10000,NeI 
6174.5237,150,NeI 
6176.5916,700,NeI 
6176.9930,500,NeI 
6183.8566,1500,NeI 
6184.8684,50,NeI 
6190.7774,700,NeI 
6194.7799,500,NeI 
6204.6902,150,NeI 
6207.4945,1000,NeI 
6215.5950,1500,NeI 
6219.0013,10000,NeI 
6227.4573,500,NeI 
6248.4574,1000,NeI 
6260.5196,1000,NeI 
6268.2285,10000,NeI 
6274.7491,700,NeI 
6277.7685,500,NeI 
6295.4853,1000,NeI 
6306.5329,1000,NeI 
6315.4314,1500,NeI 
6329.9144,3000,NeI 
6332.6400,1500,NeI 
6336.1791,10000,NeI 
6353.6094,1000,NeI 
6366.7560,1000,NeI 
6384.7560,10000,NeI 
6402.845,1000,NeI 
6411.5186,1500,NeI 
6423.4794,1000,NeI 
6446.4929,1500,NeI 
6508.3255,15000,NeI 
6534.6872,1000,NeI 
6600.7754,10000,NeI 
6604.7244,1000,NeI 
6641.8431,100,NeI 
6642.63,50,NeI 
6653.9294,1500,NeI 
6668.733,1000,NeI 
6680.1205,5000,NeI 
6718.8974,700,NeI 
6722.9897,20,NeI 
6739.8920,700,NeI 
6761.4479,150,NeI 
6931.3787,100000,NeI 
7025.9870,34000,NeI 
7034.3520,85000,NeI 
7053.2365,2200,NeI 
7061.0543,10000,NeI 
7066.710,80,NeI 
7114.2683,110,NeI 
