# Peak,Strength,Lamp
# https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=Xe+I%3B+Xe+II&limits_type=0&low_w=300&upp_w=2500&unit=1&de=0&format=0&line_out=0&remove_js=on&en_unit=0&output=0&bibrefs=1&page_size=15&show_obs_wl=1&order_out=0&max_low_enrg=&show_av=3&max_upp_enrg=&tsb_value=0&min_str=&A_out=0&intens_out=on&max_str=&allowed_out=1&forbid_out=1&min_accur=C&min_intens=&conf_out=on&term_out=on&enrg_out=on&J_out=on&submit=Retrieve+Data
# Only contain 3000-12000 A and have relative strength >= 10
3797.378,40,XeI
3952.042,120,XeI
3968.6636,200,XeI
4194.710,150,XeI
4502.241,0,XeI
4525.9493,0,XeI
4584.0314,0,XeI
4625.5708,0,XeI
4672.5334,0,XeI
4692.283,100,XeI
4698.3352,0,XeI
4735.4760,600,XeI
4808.3625,500,XeI
4844.6466,300,XeI
4917.880,500,XeI
4924.526,500,XeI
5207.520,1,XeI
5307.846,3,XeI
5457.966,2,XeI
5461.554,15,XeI
5534.317,2,XeI
5558.823,2,XeI
5647.757,5,XeI
5708.453,3,XeI
5717.302,70,XeI
5723.727,15,XeI
5727.688,4,XeI
5793.866,1,XeI
5822.134,25,XeI
5918.289,4,XeI
5999.776,30,XeI
6009.573,15,XeI
6011.444,8,XeI
6015.766,1,XeI
6105.570,3,XeI
6110.061,8,XeI
6113.643,40,XeI
6190.813,20,XeI
6199.975,100,XeI
6316.716,15,XeI
6327.559,2,XeI
6431.932,20,XeI
6463.286,3,XeI
6489.558,120,XeI
6534.964,100,XeI
6545.168,40,XeI
6668.806,60,XeI
6817.521,12,XeI
6868.733,50,XeI
6884.054,300,XeI
6912.727,30,XeI
6978.106,100,XeI
7020.956,30,XeI
7037.470,20,XeI
7049.313,30,XeI
7121.561,500,XeI
7287.308,60,XeI
7318.886,20,XeI
7388.038,100,XeI
7395.830,150,XeI
7426.095,20,XeI
7443.990,20,XeI
7517.029,3,XeI
7644.128,500,XeI
7804.798,100,XeI
7883.488,100,XeI
7889.563,300,XeI
8063.556,150,XeI
8208.592,700,XeI
8233.8964,10000,XeI
8268.792,500,XeI
8282.3921,7000,XeI
8349.1157,2000,XeI
8349.744,60,XeI
8411.5002,2000,XeI
8439.869,10,XeI
8532.444,30,XeI
8578.366,200,XeI
8626.609,80,XeI
8694.587,100,XeI
8821.8324,5000,XeI
8933.282,200,XeI
8954.7086,1000,XeI
9047.9296,400,XeI
9165.1667,500,XeI
9247.72,3,XeI
9802.384,2000,XeI
9925.919,3000,XeI
10841.31,1000,XeI
11292.19,10,XeI
11494.37,15,XeI
