Peak,Lamp
3950.92, Xe
3967.25, Xe
4078.82, Xe
4193.5, Xe
4383.9, Xe
4500.98, Xe
4524.68, Xe
4582.8, Xe
4624.28, Xe
4671.23, Xe
4734.15, Xe
4807.02, Xe
4919.9, Xe
5028.28, Xe
5162.71, Xe
5392.8, Xe
5552.39, Xe
5566.62, Xe
5695.75, Xe
5823.89, Xe
5875.02, Xe
5894.99, Xe
5934.17, Xe
5935.816, Xe
5945.53,Xe
6182.4, Xe
6318.06, Xe
6595.56, Xe
6668.92, Xe
6728.01, Xe
6827.32, Xe
6882.16, Xe
6925.53, Xe
6976.18, Xe
7119.6, Xe
7284.3, Xe
7584.68, Xe
7642.02, Xe
7802.65, Xe
7887.4, Xe
7967.34, Xe
8057.258,Xe
8061.339,Xe
8280.12, Xe
8346.83, Xe
8409.18, Xe
8648.54, Xe
8930.83, Xe
