element,sp_num,obs_wl_vac(A),unc_obs_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,tp_ref,line_ref,
Kr,1,131.09,0.10,,,,0,1,,,L3379,
Kr,1,131.43,0.10,,,,0,1,,,L3379,
Kr,1,132.12,0.10,,,,0,1,,,L3379,
Kr,1,132.82,0.10,,,,0,1,,,L3379,
Kr,1,133.17,0.10,,,,0,1,,,L3379,
Kr,1,133.90,0.10,,,,0,1,,,L3379,
Kr,1,134.09,0.10,,,,0,1,,,L3379,
Kr,1,135.88,0.10,,,,0,1,,,L3379,
Ne,1,256.35,0.03,a,,,0,1,,,L3359,
Ne,1,256.46,0.03,a,,,0,1,,,L3359,
Ne,1,256.63,0.03,a,,,0,1,,,L3359,
Ne,1,256.85,0.03,a,,,0,1,,,L3359,
Ne,1,257.19,0.03,a,,,0,1,,,L3359,
Ne,1,257.68,0.03,a,,,0,1,,,L3359,
Ne,1,258.48,0.03,a,,,0,1,,,L3359,
Ne,1,259.96,0.03,a,,,0,1,,,L3359,
Ne,1,263.11,0.03,a,,,0,1,,,L3359,
Ne,1,272.21,0.05,a,,,0,1,,,L3359,
He,1,320.2926,0.0010,10*,,,0,0,1,2,,,L1341,
He,1,320.2926,0.0010,10*,,,1,0,1,2,,,L1341,
He,1,320.2926,0.0010,10*,,,2,0,1,2,,,L1341,
Xe,1,430.31,0.05,a,,,0,1,,,L1526,
Xe,1,430.45,0.05,a,,,0,1,,,L1526,
Xe,1,430.63,0.05,a,,,0,1,,,L1526,
Xe,1,430.90,0.05,a,,,0,1,,,L1526,
Xe,1,431.26,0.05,a,,,0,1,,,L1526,
Xe,1,431.55,0.05,a,,,0,1,,,L1526,
Xe,1,432.31,0.05,a,,,0,1,,,L1526,
Xe,1,433.30,0.05,a,,,0,1,,,L1526,
Xe,1,434.34,0.05,a,,,0,1,,,L1526,
Xe,1,440.33,0.07,a,,,0,1,,,L1526,
Xe,1,440.59,0.07,a,,,0,1,,,L1526,
Xe,1,441.01,0.07,a,,,0,1,,,L1526,
Xe,1,441.46,0.10,a,,,0,1,,,L1526,
Xe,1,442.41,0.07,a,,,0,1,,,L1526,
Xe,1,443.73,0.07,a,,,0,1,,,L1526,
Xe,1,445.61,0.05,a,,,0,1,,,L1526,
