element,wavelength,intensity,acc,state,source,reference,unit
Ag,1373.22,120,,3,nist,L3039,A
Ag,1374.76,120,,3,nist,L3039,A
Ag,1404.93,110,,3,nist,L3039,A
Ag,1413.90,120,,3,nist,L3039,A
Ag,1414.29,120,,3,nist,L3039,A
Ag,1428.61,120,,3,nist,L3039,A
Ag,1452.74,120,,3,nist,L3039,A
Ag,1456.41,200,,3,nist,L926,A
Ag,1471.44,100,,3,nist,L3039,A
Ag,1489.01,300,,3,nist,L926,A
Ag,1515.08,150,,3,nist,L3039,A
Ag,1524.23,100,,3,nist,L3039,A
Ag,1527.04,120,,3,nist,L3039,A
Ag,1541.14,150,,3,nist,L3039,A
Ag,1550.89,150,,3,nist,L3039,A
Ag,1553.04,130,,3,nist,L3039,A
Ag,1587.41,130,,3,nist,L3039,A
Ag,1589.28,120,,3,nist,L3039,A
Ag,1613.79,100,,3,nist,L926,A
Ag,1619.14,130,,3,nist,L3039,A
Ag,1634.46,100,,3,nist,L3039,A
Ag,1652.24,100,,3,nist,L926,A
Ag,1653.60,130,,3,nist,L3039,A
Ag,1654.43,300,,3,nist,L926,A
Ag,1656.18,700,,3,nist,L926,A
Ag,1657.10,150,,3,nist,L3039,A
Ag,1661.54,100,,3,nist,L926,A
Ag,1670.75,130,,3,nist,L3039,A
Ag,1676.14,150,,3,nist,L3039,A
Ag,1681.07,100,,3,nist,L650,A
Ag,1693.51,500,,3,nist,L650,A
Ag,1705.06,200,,3,nist,L650,A
Ag,1708.86,150,,3,nist,L650,A
Ag,1717.68,130,,3,nist,L3039,A
Ag,1722.27,200,,3,nist,L650,A
Ag,1726.76,150,,3,nist,L3039,A
Ag,1728.14,250,,3,nist,L650,A
Ag,1747.34,200,,3,nist,L650,A
Ag,1749.64,120,,3,nist,L3039,A
Ag,1750.89,150,,3,nist,L3039,A
Ag,1751.03,750,,3,nist,L650,A
Ag,1760.57,100,,3,nist,L650,A
Ag,1762.62,150,,3,nist,L3039,A
Ag,1768.70,150,,3,nist,L650,A
Ag,1771.81,100,,3,nist,L650,A
Ag,1783.85,100,,3,nist,L3039,A
Ag,1791.70,100,,3,nist,L3039,A
Ag,1792.69,100,,3,nist,L3039,A
Ag,1793.90,150,,3,nist,L650,A
Ag,1802.24,150,,3,nist,L650,A
Ag,1802.26,150,,3,nist,L3039,A
Ag,1802.77,100,,3,nist,L3039,A
Ag,1808.23,300,,3,nist,L650,A
Ag,1816.83,250,,3,nist,L650,A
Ag,1822.45,150,,3,nist,L650,A
Ag,1828.83,350,,3,nist,L650,A
Ag,1832.33,250,,3,nist,L650,A
Ag,1832.50,120,,3,nist,L3039,A
Ag,1834.31,100,,3,nist,L650,A
Ag,1836.10,250,,3,nist,L650,A
Ag,1838.64,150,,3,nist,L650,A
Ag,1840.14,400,,3,nist,L650,A
Ag,1846.96,100,,3,nist,L650,A
Ag,1849.93,120,,3,nist,L650,A
Ag,1856.33,150,,3,nist,L650,A
Ag,1858.91,120,,3,nist,L650,A
Ag,1860.39,100,,3,nist,L3039,A
Ag,1860.64,100,,3,nist,L650,A
Ag,1867.12,350,,3,nist,L650,A
Ag,1868.10,150,,3,nist,L650,A
Ag,1872.55,100,,3,nist,L650,A
Ag,1873.45,400,,3,nist,L650,A
Ag,1880.36,250,,3,nist,L650,A
Ag,1889.57,300,,3,nist,L650,A
Ag,1916.92,400,,3,nist,L650,A
Ag,1917.08,600,,3,nist,L650,A
Ag,1925.30,200,,3,nist,L650,A
Ag,1946.32,150,,3,nist,L650,A
Ag,1948.44,100,,3,nist,L650,A
Ag,1957.62,700,,3,nist,L650,A
Ag,1959.27,120,,3,nist,L3039,A
Ag,1960.86,100,,3,nist,L650,A
Ag,1966.89,400,,3,nist,L650,A
Ag,1975.92,600,,3,nist,L650,A
Ag,1977.03,500,,3,nist,L650,A
Ag,1981.87,150,,3,nist,L650,A
Ag,1987.02,200,,3,nist,L650,A
Ag,1995.16,130,,3,nist,L3039,A
Ag,2000.24,600,,3,nist,L650,A
