element,wavelength,intensity,acc,state,source,reference,unit
Al,100.616,600,B+,6,nist,L5131,A
Al,100.638,100,B+,6,nist,L5131,A
Al,100.893,200,B+,6,nist,L5131,A
Al,100.922,200,B+,6,nist,L5131,A
Al,101.027,150,B+,6,nist,L5131,A
Al,1017.940,0,,4,nist,L2829,A
Al,1018.168,100,,4,nist,L2829,A
Al,1020.52,0,C+,5,nist,L2577,A
Al,1022.082,200,,4,nist,L2829,A
Al,1022.362,100,,4,nist,L2829,A
Al,1023.93,0,,4,nist,L2829,A
Al,1024.248,150,,4,nist,L2829,A
Al,1024.91,0,B,5,nist,L2577,A
Al,1027.08,0,,4,nist,L2829,A
Al,1027.343,500,,4,nist,L2829,A
Al,1028.17,0,C,5,nist,L2577,A
Al,103.062,0,C+,6,nist,L5131,A
Al,103.8,0,A+,11,nist,L6967,A
Al,103.8,0,A+,11,nist,L6967,A
Al,103.805,300,,5,nist,L2577,A
Al,103.805,300,D,5,nist,L2577,A
Al,103.882,400,C,5,nist,L2577,A
Al,103.938,300,B+,6,nist,L5131,A
Al,103.992,150,E,5,nist,L2577,A
Al,1031.39,100,,4,nist,L2829,A
Al,104.046,1000,B+,6,nist,L5131,A
Al,104.072,250,C,5,nist,L2577,A
Al,104.122,200,C,5,nist,L2577,A
Al,104.181,250,C,5,nist,L2577,A
Al,104.344,800,B+,6,nist,L5131,A
Al,104.362,200,C,5,nist,L2577,A
Al,104.447,100,D,5,nist,L2577,A
Al,104.464,400,B+,6,nist,L5131,A
Al,104.496,150,D,5,nist,L2577,A
Al,104.89,0,,4,nist,L6211,A
Al,1040.340,0,,4,nist,L2829,A
Al,1042.169,800,,4,nist,L2829,A
Al,1044.064,200,,4,nist,L2829,A
Al,1045.766,200,B,4,nist,L2223,A
Al,1047.8893,150,C,2,nist,L3460,A
Al,1048.515,700,,4,nist,L2829,A
Al,1048.5588,170,C,2,nist,L3460,A
Al,1049.67,0,A,6,nist,L5131,A
Al,1049.79,0,A,6,nist,L5131,A
Al,1049.9233,190,C+,2,nist,L3460,A
Al,105.26,0,,4,nist,L6211,A
Al,105.35,0,,4,nist,L6211,A
Al,105.7,0,,11,nist,L6967,A
Al,105.7,0,,11,nist,L6967,A
Al,105.72,0,,4,nist,L6211,A
Al,1051.98,0,A,6,nist,L5131,A
Al,1052.12,150,A,6,nist,L5131,A
Al,1054.6031,100,D,2,nist,L3460,A
Al,1055.2802,125,C,2,nist,L3460,A
Al,1056.00,200,A,6,nist,L5131,A
Al,1056.6613,150,C,2,nist,L3460,A
Al,1057.36,0,C+,5,nist,L2577,A
Al,1058.901,500,,4,nist,L2829,A
Al,1059.14,0,B,5,nist,L2577,A
Al,1059.396,150,,4,nist,L2829,A
Al,1059.65,0,B+,5,nist,L2577,A
Al,106.01,0,,4,nist,L6211,A
Al,106.38,0,,4,nist,L6211,A
Al,106.99,0,,4,nist,L1963,A
Al,1061.135,0,,4,nist,L2829,A
Al,1061.429,500,,4,nist,L2829,A
Al,1063.27,0,B,5,nist,L2577,A
Al,1063.53,0,B,5,nist,L2577,A
Al,1064.24,0,B+,5,nist,L2577,A
Al,1064.891,600,,4,nist,L2829,A
Al,1066.567,500,,4,nist,L2829,A
Al,1067.87,0,B+,5,nist,L2577,A
