element,wavelength,intensity,acc,state,source,reference,unit
Al,10771.313,0,C+,1,nist,L4737,A
Al,10785.000,0,C+,1,nist,L4737,A
Al,10789.725,0,C,1,nist,L4737,A
Al,10875.953,0,C+,1,nist,L4737,A
Al,10894.716,0,B,1,nist,L4737,A
Al,109369.3,0,A,1,nist,L6002,A
Al,11256.270,630,A,1,nist,L6693,A
Al,11258.008,440,A,1,nist,L6693,A
Al,11258.008,440,B,1,nist,L6693,A
Al,1181.907,0,,1,nist,L3597,A
Al,1182.01,0,,1,nist,L3597,A
Al,1182.379,0,,1,nist,L3597,A
Al,1185.660,0,,1,nist,L3597,A
Al,1185.79,0,,1,nist,L3597,A
Al,1186.346,0,,1,nist,L3597,A
Al,1190.939,0,,1,nist,L3597,A
Al,1191.34,0,,1,nist,L3597,A
Al,1192.211,130,,1,nist,L3597,A
Al,1192.320,140,,1,nist,L3597,A
Al,1193.807,0,,1,nist,L3597,A
Al,1194.955,0,,1,nist,L3597,A
Al,1197.73,0,,1,nist,L3597,A
Al,1198.482,0,,1,nist,L3597,A
Al,1198.686,125,,1,nist,L3597,A
Al,1199.34,0,,1,nist,L3597,A
Al,1199.959,120,,1,nist,L3597,A
Al,1200.095,0,,1,nist,L3597,A
Al,1200.459,0,,1,nist,L3597,A
Al,1200.853,150,,1,nist,L3597,A
Al,1202.066,0,,1,nist,L3597,A
Al,1202.463,160,,1,nist,L3597,A
Al,120282.8,0,A,1,nist,L6002,A
Al,120343.2,0,A,1,nist,L6002,A
Al,1209.165,0,,1,nist,L3597,A
Al,1210.803,110,,1,nist,L3597,A
Al,1212.33,105,,1,nist,L3597,A
Al,1213.425,165,,1,nist,L3597,A
Al,1213.954,0,,1,nist,L3597,A
Al,1214.553,265,,1,nist,L3597,A
Al,1215.084,0,,1,nist,L3597,A
Al,1216.212,260,,1,nist,L3597,A
Al,1229.783,160,,1,nist,L3597,A
Al,1231.484,455,,1,nist,L3597,A
Al,1234.85,1000,,1,nist,L3597,A
Al,1235.587,0,,1,nist,L3597,A
Al,1237.298,100,,1,nist,L3597,A
Al,1237.442,590,,1,nist,L3597,A
Al,1237.986,230,,1,nist,L3597,A
Al,1238.628,550,,1,nist,L3597,A
Al,1238.810,260,,1,nist,L3597,A
Al,1239.162,775,,1,nist,L3597,A
Al,1240.352,1035,,1,nist,L3597,A
Al,1240.531,425,,1,nist,L3597,A
Al,1269.956,285,,1,nist,L3597,A
Al,1271.765,620,,1,nist,L3597,A
Al,12751.158,0,D,1,nist,L6693,A
Al,12753.397,0,C+,1,nist,L6693,A
Al,12760.765,0,C+,1,nist,L6693,A
Al,1279.45,1780,,1,nist,L3597,A
Al,1284.454,0,,1,nist,L3597,A
Al,1286.325,155,,1,nist,L3597,A
Al,1286.789,1100,,1,nist,L3597,A
Al,1287.532,395,,1,nist,L3597,A
Al,1287.946,730,,1,nist,L3597,A
Al,1288.210,570,,1,nist,L3597,A
Al,1288.650,2090,,1,nist,L3597,A
Al,1289.393,335,,1,nist,L3597,A
Al,1289.812,1890,,1,nist,L3597,A
Al,1290.076,475,,1,nist,L3597,A
Al,13126.967,71000,,1,nist,L10321c14,A
Al,13127.005,171000,A,1,nist,L10321c150,A
Al,13127.032,100000,,1,nist,L10321c14,A
Al,13154.305,36300,,1,nist,L10321c14,A
Al,13154.350,86300,A,1,nist,L10321c150,A
Al,13154.383,50000,,1,nist,L10321c14,A
Al,1368.908,705,,1,nist,L3597,A
Al,1371.010,1130,,1,nist,L3597,A
Al,13827.639,0,C,1,nist,L6693,A
Al,1397.80,2350,,1,nist,L3597,A
Al,1413.156,4370,,1,nist,L3597,A
Al,1414.240,1150,,1,nist,L3597,A
Al,1415.401,1870,,1,nist,L3597,A
Al,1416.481,1000,,1,nist,L3597,A
Al,1417.222,630,,1,nist,L3597,A
Al,1419.479,1040,,1,nist,L3597,A
Al,1425.037,800,,1,nist,L3597,A
Al,1431.018,380,,1,nist,L3597,A
Al,1431.865,315,,1,nist,L3597,A
Al,1434.155,500,,1,nist,L3597,A
Al,145.88,0,,1,nist,L5491,A
Al,146.26,0,,1,nist,L5491,A
Al,150.40,0,,1,nist,L5491,A
Al,150.94,0,,1,nist,L5491,A
Al,151.84,0,,1,nist,L5491,A
Al,152.32,0,,1,nist,L5491,A
Al,152.72,0,,1,nist,L5491,A
Al,152.85,0,,1,nist,L5491,A
Al,153.06,0,,1,nist,L5491,A
Al,153.62,0,,1,nist,L5491,A
Al,153.88,0,,1,nist,L5491,A
Al,154.26,0,,1,nist,L5491,A
Al,154.45,0,,1,nist,L5491,A
Al,154.84,0,,1,nist,L5491,A
Al,154.99,0,,1,nist,L5491,A
Al,155.10,0,,1,nist,L5491,A
Al,155.45,0,,1,nist,L5491,A
Al,155.83,0,,1,nist,L5491,A
Al,156.05,0,,1,nist,L5491,A
Al,156.25,0,,1,nist,L5491,A
Al,156.87,0,,1,nist,L5491,A
Al,157.03,0,,1,nist,L5491,A
Al,157.13,0,,1,nist,L5491,A
Al,157.44,0,,1,nist,L5491,A
Al,157.64,0,,1,nist,L5491,A
Al,157.86,0,,1,nist,L5491,A
Al,157.98,0,,1,nist,L5491,A
Al,158.08,0,,1,nist,L5491,A
Al,159.25,0,,1,nist,L5491,A
Al,15960.982,0,C+,1,nist,L6693,A
Al,15972.50,0,,1,nist,L10321c14,A
Al,15972.60,0,,1,nist,L10321c14,A
Al,15972.61,0,C+,1,nist,L10321c150,A
Al,15972.73,0,,1,nist,L10321c14,A
Al,16723.541,11500,A,1,nist,L6693,A
Al,16755.004,13200,,1,nist,L10321c14,A
Al,16755.035,11500,,1,nist,L10321c14,A
Al,16755.095,43600,A,1,nist,L10321c150,A
Al,16755.176,10000,,1,nist,L10321c14,A
Al,16755.218,8900,,1,nist,L10321c14,A
Al,16767.948,2300,B+,1,nist,L6693,A
Al,1762.899,100,,1,nist,L4737,A
Al,1765.636,200,,1,nist,L4737,A
Al,1766.385,200,,1,nist,L4737,A
Al,1769.140,200,,1,nist,L4737,A
Al,17703.885,0,B,1,nist,L6693,A
Al,17712.872,0,C+,1,nist,L6693,A
Al,19285.41,0,C+,1,nist,L6693,A
Al,19307.40,0,C+,1,nist,L6693,A
Al,1932.268,1000,,1,nist,L3597,A
Al,1936.457,1200,,1,nist,L3597,A
Al,20401.13,0,C+,1,nist,L6693,A
Al,20420.00,0,C+,1,nist,L6693,A
Al,20420.13,0,,1,nist,L10321c14,A
Al,20420.2,0,C,1,nist,L10321c150,A
Al,20420.29,0,,1,nist,L10321c14,A
Al,2080.28,0,,1,nist,L130,A
Al,2080.28,0,,1,nist,L130,A
Al,2080.53,0,,1,nist,L130,A
Al,2080.81,0,,1,nist,L130,A
Al,2081.12,0,,1,nist,L130,A
Al,2081.12,0,,1,nist,L130,A
Al,2081.45,0,,1,nist,L130,A
Al,2081.81,0,,1,nist,L130,A
Al,2082.06,0,,1,nist,L130,A
Al,2082.23,0,,1,nist,L130,A
Al,2082.67,0,,1,nist,L130,A
Al,2083.16,0,,1,nist,"L130,L7413",A
