element,wavelength,intensity,acc,state,source,reference,unit
Al,1047.8893,150,C,2,nist,L3460,A
Al,1048.5588,170,C,2,nist,L3460,A
Al,1049.9233,190,C+,2,nist,L3460,A
Al,1054.6031,100,D,2,nist,L3460,A
Al,1055.2802,125,C,2,nist,L3460,A
Al,1056.6613,150,C,2,nist,L3460,A
Al,11251.579,0,A,2,nist,L6693,A
Al,1132.726,0,,2,nist,L3460,A
Al,1142.9529,100,,2,nist,L3460,A
Al,1157.0881,125,,2,nist,L3460,A
Al,1158.2103,100,,2,nist,L3460,A
Al,1169.860,0,A+,2,nist,L6526,A
Al,1177.4371,125,,2,nist,L3460,A
Al,1179.3541,125,,2,nist,L3460,A
Al,1189.1854,125,C+,2,nist,L3460,A
Al,1190.0518,150,C+,2,nist,L3460,A
Al,1191.8111,190,C+,2,nist,L3460,A
Al,1208.3522,150,,2,nist,L3460,A
Al,1209.1914,100,C,2,nist,L3460,A
Al,1210.0817,125,C+,2,nist,L3460,A
Al,1211.8983,150,C+,2,nist,L3460,A
Al,1211.953,125,,2,nist,L3460,A
Al,12426.446,0,A,2,nist,L6693,A
Al,1258.8585,125,C+,2,nist,L3460,A
Al,1266.6481,150,,2,nist,L3460,A
Al,1350.1782,150,B,2,nist,L3460,A
Al,1371.2401,150,C+,2,nist,L3460,A
Al,14044.903,0,,2,nist,L6693c14,A
Al,14045.322,0,A,2,nist,L6693c150,A
Al,14045.516,0,,2,nist,L6693c14,A
Al,14045.903,0,,2,nist,L6693c14,A
Al,14056.043,0,,2,nist,L6693c14,A
Al,14056.36,160,A,2,nist,L6693c150,A
Al,14056.424,110,,2,nist,L6693c14,A
Al,14056.659,0,,2,nist,L6693c14,A
Al,14056.857,0,,2,nist,L6693c14,A
Al,14056.99,0,A,2,nist,L6693c150,A
Al,14057.033,0,,2,nist,L6693c14,A
Al,14081.370,0,,2,nist,L6693c14,A
Al,14081.758,0,,2,nist,L6693c14,A
Al,14081.88,0,B,2,nist,L6693c150,A
Al,14081.992,0,,2,nist,L6693c14,A
Al,14082.143,182,A,2,nist,L6693,A
Al,14082.316,0,A,2,nist,L6693,A
Al,14472.580,0,A,2,nist,L6693,A
Al,15354.884,0,,2,nist,L6693c14,A
Al,15355.41,0,B+,2,nist,L6693c150,A
Al,15355.572,0,,2,nist,L6693c14,A
Al,15356.065,0,,2,nist,L6693c14,A
Al,15368.204,0,,2,nist,L6693c14,A
Al,15368.584,0,,2,nist,L6693c14,A
Al,15368.807,130,A,2,nist,L6693c150,A
Al,15368.897,0,,2,nist,L6693c14,A
Al,15369.095,0,,2,nist,L6693c14,A
Al,15369.268,0,,2,nist,L6693c14,A
Al,15369.388,0,,2,nist,L6693c14,A
Al,1539.8303,340,B+,2,nist,L3460,A
Al,15398.486,0,,2,nist,L6693c14,A
Al,15398.823,0,,2,nist,L6693c14,A
Al,15398.939,0,,2,nist,L6693c14,A
Al,15399.257,0,,2,nist,L6693c14,A
Al,15399.281,199,A,2,nist,L6693c150,A
Al,15399.439,0,,2,nist,L6693c14,A
Al,15399.515,0,,2,nist,L6693c14,A
Al,15399.674,0,,2,nist,L6693c14,A
Al,1555.943,0,,2,nist,L4575,A
Al,1563.580,0,,2,nist,L4575,A
Al,1573.003,0,,2,nist,L4575,A
Al,1580.919,0,,2,nist,L4575,A
Al,1584.708,0,,2,nist,L4575,A
Al,1596.059,112,,2,nist,L3460,A
Al,1599.410,0,,2,nist,L4575,A
Al,1616.415,0,,2,nist,L4575,A
Al,1618.3990,0,,2,nist,L3460,A
Al,1625.6271,125,C+,2,nist,L3460,A
Al,16250.362,0,,2,nist,L6693c14,A
Al,16250.869,0,,2,nist,L6693c14,A
Al,16251.149,0,,2,nist,L6693c14,A
Al,16251.357,0,,2,nist,L6693c14,A
Al,16251.480,0,,2,nist,L6693c14,A
Al,16251.6,0,A,2,nist,L6693c150,A
Al,16251.921,0,,2,nist,L6693c14,A
Al,16252.140,0,,2,nist,L6693c14,A
Al,16252.285,0,,2,nist,L6693c14,A
Al,1644.2348,100,,2,nist,L3460,A
Al,1644.8089,100,,2,nist,L3460,A
Al,1670.7867,400,A+,2,nist,L3460,A
Al,1681.8089,0,,2,nist,L3460,A
Al,1686.2505,100,,2,nist,L3460,A
Al,16921.802,0,,2,nist,L6693c14,A
