element,wavelength,intensity,acc,state,source,reference,unit
Ar,10054.82,180,,1,nist,L2131,A
Ar,10335.55,0,,1,nist,L2131,A
Ar,10472.923,1600,C+,1,nist,L2634,A
Ar,1048.220,1000,AA,1,nist,L2131,A
Ar,10480.905,0,C,1,nist,L2634,A
Ar,10509.38,180,C,1,nist,L2131,A
Ar,1066.660,500,A+,1,nist,L2131,A
Ar,10676.489,200,D,1,nist,L2634,A
Ar,10684.699,0,,1,nist,L2634,A
Ar,10736.81,0,,1,nist,L2131,A
Ar,10762.11,0,,1,nist,L2131,A
Ar,11081.903,0,C,1,nist,L2634,A
Ar,11109.50,0,,1,nist,L2131,A
Ar,11444.965,0,C,1,nist,L2634,A
Ar,11491.254,400,C,1,nist,L2634,A
Ar,11671.904,200,C,1,nist,L2634,A
Ar,11722.696,0,C,1,nist,L2634,A
Ar,12115.641,200,D,1,nist,L2634,A
Ar,12143.060,0,D,1,nist,L2634,A
Ar,12346.770,0,D,1,nist,L2634,A
Ar,12406.221,200,D,1,nist,L2634,A
Ar,12442.724,200,D,1,nist,L2634,A
Ar,12459.53,100,D,1,nist,L2634,A
Ar,12491.080,200,D,1,nist,L2634,A
Ar,12705.756,150,D,1,nist,L2634,A
Ar,12736.901,0,D,1,nist,L2634,A
Ar,12749.719,0,D,1,nist,L2634,A
Ar,12806.241,200,D,1,nist,L2634,A
Ar,12936.733,0,D,1,nist,L2634,A
Ar,12960.203,500,D,1,nist,L2634,A
Ar,13011.822,200,D,1,nist,L2634,A
Ar,13217.60,200,D,1,nist,L2634,A
Ar,13231.725,200,,1,nist,L2634,A
Ar,13234.52,100,D,1,nist,L2634,A
Ar,13276.27,500,D,1,nist,L2634,A
Ar,13316.851,1000,D,1,nist,L2634,A
Ar,13370.766,1000,,1,nist,L2634,A
Ar,13503.10,0,D,1,nist,L2634,A
Ar,13507.884,1000,D,1,nist,L2634,A
Ar,13577.329,0,D,1,nist,L2634,A
Ar,13603.052,0,D,1,nist,L2634,A
Ar,13626.384,400,D,1,nist,L2634,A
Ar,13682.290,200,D,1,nist,L2634,A
Ar,13722.328,1000,,1,nist,L2634,A
Ar,13829.495,0,D,1,nist,L2634,A
Ar,13911.280,0,,1,nist,L2634,A
Ar,14097.493,200,D,1,nist,L2634,A
Ar,15050.61,100,D,1,nist,L2634,A
Ar,15176.84,0,D,1,nist,L2634,A
Ar,15333.53,0,E,1,nist,L2634,A
Ar,15993.86,0,D,1,nist,L2634,A
Ar,16524.37,0,D,1,nist,L2634,A
Ar,16945.21,500,D,1,nist,L2634,A
Ar,18432.79,0,,1,nist,L2634,A
Ar,20621.86,0,D,1,nist,L2634,A
Ar,20991.84,0,,1,nist,L2634,A
Ar,23139.51,0,D,1,nist,L2634,A
Ar,23973.06,0,D,1,nist,L2634,A
Ar,3201.29,0,,1,nist,L2131,A
Ar,3320.30,0,,1,nist,L3512,A
Ar,3374.44,0,,1,nist,L3512,A
Ar,3394.70,0,,1,nist,L3512,A
Ar,3462.06,0,D,1,nist,L3512,A
