element,wavelength,intensity,acc,state,source,reference,unit
Ar,1002.096,150,,3,nist,L11588,A
Ar,1005.270,0,,3,nist,L9366,A
Ar,1014.780,0,,3,nist,L9366,A
Ar,1017.660,0,,3,nist,L9366,A
Ar,1048.200,0,,3,nist,L9366,A
Ar,1048.380,0,,3,nist,L9366,A
Ar,1049.690,0,,3,nist,L9366,A
Ar,1157.470,0,,3,nist,L9366,A
Ar,1159.770,0,,3,nist,L9366,A
Ar,1199.370,0,,3,nist,L9366,A
Ar,1199.950,0,,3,nist,L9366,A
Ar,1201.490,0,,3,nist,L9366,A
Ar,1201.490,0,,3,nist,L9366,A
Ar,1203.030,0,,3,nist,L9366,A
Ar,1245.760,0,,3,nist,L9366,A
Ar,1250.630,0,,3,nist,L9366,A
Ar,1255.6374,0,,3,nist,L8114,A
Ar,1265.250,0,,3,nist,L9366,A
Ar,1290.310,0,,3,nist,L9366,A
Ar,1292.070,0,,3,nist,L9366,A
Ar,1295.060,0,,3,nist,L9366,A
Ar,1295.630,0,,3,nist,L9366,A
Ar,1301.820,0,,3,nist,L9366,A
Ar,1333.860,0,,3,nist,L9366,A
Ar,1337.420,0,,3,nist,L9366,A
Ar,1338.240,0,,3,nist,L9366,A
Ar,1338.620,0,,3,nist,L9366,A
Ar,1340.520,0,,3,nist,L9366,A
Ar,1343.710,0,,3,nist,L9366,A
Ar,1345.680,0,,3,nist,L9366,A
Ar,1422.000,0,,3,nist,L9366,A
Ar,1434.070,0,,3,nist,L9366,A
Ar,1437.020,0,,3,nist,L9366,A
Ar,1437.170,0,,3,nist,L9366,A
Ar,1440.070,0,,3,nist,L9366,A
Ar,1440.210,0,,3,nist,L9366,A
Ar,1442.440,0,,3,nist,L9366,A
Ar,1460.0973,0,,3,nist,L8114,A
Ar,1460.2487,0,,3,nist,L8114,A
Ar,1465.5506,0,,3,nist,L8114,A
Ar,1465.7036,0,,3,nist,L8114,A
Ar,1467.8533,0,,3,nist,L8114,A
Ar,1468.006,0,,3,nist,L3263,A
Ar,1500.740,0,,3,nist,L9366,A
Ar,1542.540,0,,3,nist,L9366,A
Ar,1556.220,0,,3,nist,L9366,A
Ar,1556.630,0,,3,nist,L9366,A
Ar,1568.690,0,,3,nist,L9366,A
Ar,1571.920,0,,3,nist,L9366,A
Ar,1572.3340,0,,3,nist,L8114,A
Ar,1573.050,0,,3,nist,L9366,A
Ar,1576.5915,0,,3,nist,L8114,A
Ar,1580.260,0,,3,nist,L9366,A
Ar,1583.0377,0,,3,nist,L8114,A
Ar,1586.330,0,,3,nist,L9366,A
Ar,1586.6206,0,,3,nist,L8114,A
Ar,1588.740,0,,3,nist,L9366,A
Ar,1596.210,0,,3,nist,L9366,A
Ar,1602.570,0,,3,nist,L9366,A
Ar,1602.790,0,,3,nist,L9366,A
Ar,1604.410,0,,3,nist,L9366,A
Ar,1605.710,0,,3,nist,L9366,A
Ar,1611.0049,0,,3,nist,L8114,A
Ar,1614.7997,0,,3,nist,L8114,A
Ar,1617.7766,0,,3,nist,L8114,A
Ar,1649.570,0,,3,nist,L9366,A
Ar,1650.020,0,,3,nist,L9366,A
Ar,1669.0970,0,E,3,nist,L8114,A
Ar,1669.2893,0,E,3,nist,L8114,A
Ar,1669.6701,0,E,3,nist,L8114,A
Ar,1673.0711,0,E,3,nist,L8114,A
Ar,1673.2169,0,E,3,nist,L8114,A
Ar,1673.4061,0,E,3,nist,L8114,A
Ar,1675.4773,0,E,3,nist,L8114,A
Ar,1675.6232,0,E,3,nist,L8114,A
Ar,1768.830,0,,3,nist,L9366,A
Ar,1786.520,0,,3,nist,L9366,A
Ar,1793.640,0,,3,nist,L9366,A
Ar,1798.500,0,,3,nist,L9366,A
Ar,1814.630,0,,3,nist,L9366,A
Ar,1814.630,0,,3,nist,L9366,A
Ar,1827.800,0,,3,nist,L9366,A
Ar,1834.530,0,,3,nist,L9366,A
Ar,1836.3722,0,,3,nist,L11520,A
Ar,1838.090,0,,3,nist,L9366,A
Ar,1839.3310,0,,3,nist,L11520,A
Ar,1843.0837,0,,3,nist,L11520,A
Ar,1850.320,0,,3,nist,L9366,A
Ar,1855.6497,0,,3,nist,L11520,A
Ar,1859.890,0,,3,nist,L9366,A
Ar,1864.500,0,,3,nist,L9366,A
Ar,1865.6622,0,,3,nist,L11520,A
Ar,1874.270,0,,3,nist,L9366,A
Ar,1878.0060,0,,3,nist,L11520,A
Ar,1907.140,0,,3,nist,L9366,A
Ar,1914.41190,0,E,3,nist,L11520,A
Ar,1914.6704,0,E,3,nist,L11520,A
Ar,1915.5767,0,E,3,nist,L11520,A
Ar,1918.0682,0,E,3,nist,L11520,A
Ar,1918.667,0,E,3,nist,L3263,A
Ar,1919.5199,0,E,3,nist,L11520,A
Ar,1938.7891,0,,3,nist,L11520,A
Ar,1957.8465,0,,3,nist,L11520,A
