element,wavelength,intensity,acc,state,source,reference,unit
Ar,1002.710,0,,4,nist,L11418,A
Ar,1006.540,0,,4,nist,L11418,A
Ar,1010.780,0,,4,nist,L11418,A
Ar,1010.860,0,,4,nist,L11418,A
Ar,1011.870,0,,4,nist,L11418,A
Ar,1012.910,0,,4,nist,L11418,A
Ar,1013.530,0,,4,nist,L11418,A
Ar,1014.620,0,,4,nist,L11418,A
Ar,1016.210,0,,4,nist,L11418,A
Ar,1020.900,0,,4,nist,L11418,A
Ar,1021.200,0,,4,nist,L11418,A
Ar,1026.430,0,,4,nist,L11418,A
Ar,1027.790,0,,4,nist,L11418,A
Ar,1037.940,0,,4,nist,L11418,A
Ar,1039.190,0,,4,nist,L11418,A
Ar,1040.260,0,,4,nist,L11418,A
Ar,1042.710,0,,4,nist,L11418,A
Ar,1187.790,0,,4,nist,L11418,A
Ar,1190.328,0,,4,nist,L11588,A
Ar,1191.860,0,,4,nist,L11418,A
Ar,1197.820,0,,4,nist,L11418,A
Ar,1205.640,0,,4,nist,L11418,A
Ar,1211.650,0,,4,nist,L11418,A
Ar,1221.300,0,,4,nist,L11418,A
Ar,1395.640,0,,4,nist,L11418,A
Ar,1407.500,0,,4,nist,L11418,A
Ar,1409.300,0,,4,nist,L11418,A
Ar,1410.130,0,,4,nist,L11418,A
Ar,1419.590,0,,4,nist,L11418,A
Ar,1426.190,0,,4,nist,L11418,A
Ar,1435.570,0,,4,nist,L11418,A
Ar,1448.350,0,,4,nist,L11418,A
Ar,1455.440,0,,4,nist,L11418,A
Ar,1459.230,0,,4,nist,L11418,A
Ar,1460.990,0,,4,nist,L11418,A
Ar,1472.040,0,,4,nist,L11418,A
Ar,1474.480,0,,4,nist,L11418,A
Ar,1479.150,0,,4,nist,L11418,A
Ar,1481.600,0,,4,nist,L11418,A
Ar,1486.010,0,,4,nist,L11418,A
Ar,1495.320,0,,4,nist,L11418,A
Ar,1497.810,0,,4,nist,L11418,A
Ar,1508.800,0,,4,nist,L11418,A
Ar,1509.840,0,,4,nist,L11418,A
Ar,1516.050,0,,4,nist,L11418,A
Ar,1526.260,0,,4,nist,L11418,A
Ar,1527.950,0,,4,nist,L11418,A
Ar,1528.180,0,,4,nist,L11418,A
Ar,1536.000,0,,4,nist,L11418,A
Ar,1536.680,0,,4,nist,L11418,A
Ar,1540.260,0,,4,nist,L11418,A
Ar,1546.660,0,,4,nist,L11418,A
Ar,1554.520,0,,4,nist,L11418,A
Ar,1559.820,0,,4,nist,L11418,A
Ar,1570.170,0,,4,nist,L11418,A
Ar,1626.800,0.5,,4,nist,L11418,A
Ar,1633.930,0.5,,4,nist,L11418,A
Ar,1650.020,0.5,,4,nist,L11418,A
Ar,1687.160,0,,4,nist,L11418,A
Ar,1689.190,0,,4,nist,L11418,A
Ar,1692.330,0,,4,nist,L11418,A
Ar,1746.700,0,,4,nist,L11418,A
Ar,1753.240,0,,4,nist,L11418,A
Ar,1756.600,0,,4,nist,L11418,A
Ar,2007.539,0,,4,nist,L11418,A
Ar,2059.479,0.5,,4,nist,L11418,A
Ar,2062.549,0,,4,nist,L11418,A
Ar,2407.96,0,,4,nist,L11418,A
Ar,2448.47,0,,4,nist,L11418,A
Ar,2453.32,0,,4,nist,L4489,A
Ar,2497.73,0,,4,nist,L11418,A
Ar,2514.05,0,,4,nist,L11418,A
Ar,2517.97,0,,4,nist,L11418,A
Ar,2519.14,0,,4,nist,L11418,A
Ar,2526.39,0,,4,nist,L11418,A
Ar,2541.31,0,,4,nist,L11418,A
Ar,2562.86,0,D,4,nist,L11418,A
Ar,2568.79,0,D,4,nist,L11418,A
Ar,2570.22,0,E,4,nist,L11418,A
Ar,2600.19,0,,4,nist,L11418,A
Ar,2608.81,0,E,4,nist,L11418,A
Ar,2609.22,0,,4,nist,L4489,A
Ar,2612.02,0,,4,nist,L4489,A
Ar,2616.43,0,D,4,nist,L11418,A
Ar,2620.68,0,,4,nist,L11418,A
Ar,2622.08,0,,4,nist,L11418,A
Ar,2625.64,0,,4,nist,L11418,A
Ar,2627.10,0,,4,nist,L4489,A
Ar,2641.07,0,D,4,nist,L11418,A
Ar,2683.38,0,D,4,nist,L11418,A
Ar,2758.73,0,D,4,nist,L11418,A
Ar,2777.07,0,D,4,nist,L11418,A
Ar,2783.66,0,E,4,nist,L11418,A
Ar,2785.25,0,D,4,nist,L11418,A
Ar,2789.73,0,D,4,nist,L11418,A
Ar,2797.90,0,D,4,nist,L11418,A
Ar,2810.30,0,D,4,nist,L11418,A
Ar,2831.08,0,D,4,nist,L11418,A
Ar,2852.75,0,E,4,nist,L11418,A
