element,wavelength,intensity,acc,state,source,reference,unit
Ar,1194.528,0,,5,nist,L11588,A
Ar,1202.39,0,,5,nist,L11601,A
Ar,131022,0,A,5,nist,L7248,A
Ar,1341.68,0,,5,nist,L11601,A
Ar,1350.43,0,,5,nist,L11601,A
Ar,1371.92,0,,5,nist,L11601,A
Ar,1413.97,0,,5,nist,L11601,A
Ar,1447.66,0,,5,nist,L11601,A
Ar,231.868,0,,5,nist,L4421,A
Ar,232.379,0,,5,nist,L4421,A
Ar,232.549,0,,5,nist,L4421,A
Ar,240.339,0,,5,nist,L4421,A
Ar,248.489,0,,5,nist,L4421,A
Ar,249.611,0,,5,nist,L4421,A
Ar,251.115,0,,5,nist,L4421,A
Ar,251.544,0,,5,nist,L4421,A
Ar,251.599,0,,5,nist,L4421,A
Ar,252.072,0,,5,nist,L4421,A
Ar,252.072,0,,5,nist,L4421,A
Ar,252.671,0,,5,nist,L4421,A
Ar,257.495,0,,5,nist,L4421,A
Ar,262.20,0,,5,nist,L6207,A
Ar,262.20,0,,5,nist,L6207,A
Ar,262.20,0,,5,nist,L6207,A
Ar,2691.74,0,C,5,nist,L11613,A
Ar,2786.81,0,D,5,nist,L3453,A
Ar,322.019,0,,5,nist,L4421,A
Ar,323.152,0,,5,nist,L4421,A
Ar,323.939,0,,5,nist,L4421,A
Ar,336.570,0,,5,nist,L11501,A
Ar,337.580,0,,5,nist,L11501,A
Ar,338.010,0,,5,nist,L11501,A
Ar,338.450,0,,5,nist,L11501,A
Ar,339.020,0,,5,nist,L11501,A
Ar,339.890,0,,5,nist,L11501,A
Ar,350.880,0,,5,nist,L11501,A
Ar,357.230,0,,5,nist,L11501,A
Ar,379.690,0,,5,nist,L11501,A
Ar,389.163,0,,5,nist,L4421,A
Ar,400.00,0,,5,nist,L6207,A
Ar,411.010,0,,5,nist,L11501,A
Ar,415.60,0,,5,nist,L6207,A
Ar,436.630,0,,5,nist,L11501,A
Ar,445.970,0,,5,nist,L11501,A
Ar,446.960,0,,5,nist,L11501,A
Ar,447.530,0,,5,nist,L11501,A
Ar,449.080,0,,5,nist,L11501,A
Ar,449.500,0,,5,nist,L11501,A
Ar,450.079,0,,5,nist,L3311,A
Ar,452.390,0,,5,nist,L11501,A
Ar,454.990,0,,5,nist,L11501,A
Ar,458.090,0,,5,nist,L11501,A
Ar,458.960,0,,5,nist,L11501,A
Ar,459.730,0,,5,nist,L11501,A
Ar,461.240,0,,5,nist,L11501,A
Ar,462.410,0,,5,nist,L11501,A
Ar,4626.77,0,D,5,nist,L16109,A
Ar,463.940,0,,5,nist,L11501,A
Ar,466.790,0,,5,nist,L11501,A
Ar,486.570,0,,5,nist,L11501,A
Ar,495.090,0,,5,nist,L11501,A
Ar,496.84,0,,5,nist,L11579,A
Ar,511.890,0,,5,nist,L11501,A
Ar,513.889,0,,5,nist,L11588,A
Ar,517.254,0,,5,nist,L11588,A
Ar,522.0940,150,,5,nist,L11588,A
Ar,524.1817,250,,5,nist,L11588,A
Ar,527.685,300,,5,nist,L11588,A
Ar,536.750,0,,5,nist,L11501,A
Ar,546.18,0,,5,nist,L11601,A
Ar,558.477,250,,5,nist,L11588,A
Ar,570.656,0,,5,nist,L11588,A
Ar,602.97,0,,5,nist,L11579,A
Ar,635.152,150,,5,nist,L11588,A
Ar,6436.88,0,C,5,nist,L3453,A
Ar,6436.88,0,D,5,nist,L3453,A
Ar,650.950,0,,5,nist,L11501,A
Ar,651.680,0,,5,nist,L11501,A
Ar,692.29,0,,5,nist,L11601,A
Ar,694.65,0,,5,nist,L11601,A
Ar,694.85,0,,5,nist,L11601,A
Ar,700.51,0,,5,nist,L11601,A
Ar,7007.80,0,D,5,nist,L16109,A
Ar,7007.80,0,C,5,nist,L16109,A
Ar,701.12,0,,5,nist,L11601,A
Ar,705.364,150,,5,nist,L11588,A
Ar,708.570,0,,5,nist,L11501,A
Ar,709.190,250,,5,nist,L11588,A
Ar,709.230,250,,5,nist,L11588,A
Ar,715.600,200,,5,nist,L11588,A
Ar,715.640,150,,5,nist,L11588,A
Ar,720.90,0,,5,nist,L6207,A
Ar,725.097,100,,5,nist,L11588,A
Ar,772.16,0,,5,nist,L11601,A
Ar,79016,0,B,5,nist,L11636,A
Ar,79016,0,C,5,nist,L11636,A
Ar,804.46,0,,5,nist,L11601,A
Ar,815.23,0,,5,nist,L11601,A
Ar,815.23,0,,5,nist,L11601,A
Ar,822.160,200,E,5,nist,L11588,A
Ar,827.048,250,E,5,nist,L11588,A
Ar,827.353,150,E,5,nist,L11588,A
Ar,834.903,200,E,5,nist,L11588,A
Ar,835.799,0,E,5,nist,L11588,A
Ar,836.112,100,E,5,nist,L11588,A
Ar,897.85,0,,5,nist,L11601,A
Ar,907.32,0,,5,nist,L11601,A
Ar,948.980,0,,5,nist,L11501,A
Ar,949.380,0,,5,nist,L11501,A
