element,wavelength,intensity,acc,state,source,reference,unit
As,10013.37,100,,1,nist,L4831,A
As,10026.79,290,,1,nist,L4831,A
As,1021.96,340,,2,nist,L820,A
As,1029.5,250,,5,nist,L3372,A
As,10455.95,100,,1,nist,L4831,A
As,1051.6,0,,5,nist,L3372,A
As,1056.6,0,,5,nist,L3372,A
As,10577.92,100,,1,nist,L4831,A
As,10616.98,170,,1,nist,L4831,A
As,1082.35,340,,2,nist,L820,A
As,1139.40,500,,2,nist,L820,A
As,1149.31,615,,2,nist,L820,A
As,1172.2,120,,3,nist,L3275,A
As,1181.51,555,,2,nist,L820,A
As,1189.87,555,,2,nist,L820,A
As,1196.38,615,,2,nist,L820,A
As,1196.56,615,,2,nist,L820,A
As,1207.44,340,,2,nist,L820,A
As,1209.3,185,,3,nist,L3275,A
As,1211.17,800,,2,nist,L820,A
As,1218.10,800,,2,nist,L820,A
As,1223.15,340,,2,nist,L820,A
As,1241.31,760,,2,nist,L820,A
As,1243.08,965,,2,nist,L820,A
As,1245.67,870,,2,nist,L820,A
As,1258.58,800,,2,nist,L820,A
As,1263.77,965,,2,nist,L820,A
As,1266.34,800,,2,nist,L820,A
As,1267.59,800,,2,nist,L820,A
As,1280.99,715,,2,nist,L820,A
As,1287.54,715,,2,nist,L820,A
As,1305.70,715,,2,nist,L820,A
As,1307.74,340,,2,nist,L820,A
As,1333.15,760,,2,nist,L820,A
As,1341.55,965,,2,nist,L820,A
As,1355.93,760,,2,nist,L820,A
As,1369.77,965,,2,nist,L820,A
As,1373.65,800,,2,nist,L820,A
As,1375.07,1000,,2,nist,L820,A
As,1375.78,760,,2,nist,L820,A
As,1394.64,800,,2,nist,L820,A
As,1400.31,800,,2,nist,L820,A
As,1448.59,500,,2,nist,L820,A
As,1558.88,500,,2,nist,L820,A
As,1570.99,500,,2,nist,L820,A
As,1593.60,100,,1,nist,L4831,A
As,1660.55,500,,2,nist,L820,A
As,1758.60,100,,1,nist,L4831,A
As,1806.15,170,,1,nist,L4831,A
As,1860.34,340,,2,nist,L820,A
As,1890.42,1000,C+,1,nist,L4831,A
As,1912.94,500,,2,nist,L820,A
As,1937.59,800,C+,1,nist,L4831,A
As,1972.62,585,C+,1,nist,L4831,A
As,1990.35,170,,1,nist,L4831,A
As,1991.13,100,,1,nist,L4831,A
As,1995.43,100,,1,nist,L4831,A
As,2003.99,230,,1,nist,L4831,A
As,2009.84,100,,1,nist,L4831,A
As,2013.97,100,,1,nist,L4831,A
As,2113.66,100,,1,nist,L4831,A
As,2144.76,100,,1,nist,L4831,A
As,2166.20,135,,1,nist,L4831,A
As,2253.8,150,,4,nist,L687,A
As,2263.9,200,,4,nist,L687,A
As,2288.83,350,D,1,nist,L4831,A
As,2301.7,200,,4,nist,L687,A
As,2344.75,0,D,1,nist,L4831,A
As,2350.56,350,D,1,nist,L4831,A
As,2370.39,0,D,1,nist,L4831,A
As,2371.49,100,D,1,nist,L4831,A
As,2381.91,135,,1,nist,L4831,A
As,2418.2,250,,4,nist,L687,A
As,2446.8,150,,4,nist,L687,A
As,2454.7,250,,4,nist,L687,A
As,2457.27,170,D,1,nist,L4831,A
As,2462.1,200,,4,nist,L687,A
As,2493.66,0,D,1,nist,L4831,A
As,2602.78,340,,2,nist,L820,A
As,2745.81,0,D,1,nist,L4831,A
As,2781.04,170,D,1,nist,L4831,A
As,2831.192,300,,2,nist,L820,A
As,2831.997,300,,2,nist,L820,A
As,2861.28,100,D,1,nist,L4831,A
As,2885.252,300,,2,nist,L820,A
As,2899.56,0,D,1,nist,L4831,A
As,2927.2,0,,3,nist,L3275,A
As,2960.437,615,,2,nist,L820,A
As,2982.9,185,,3,nist,L3275,A
As,3004.695,300,,2,nist,L820,A
As,3109.7,150,,4,nist,L687,A
As,3117.420,300,,2,nist,L820,A
As,3843.69,340,,2,nist,L820,A
As,3923.7,325,,3,nist,L3275,A
As,4038.3,185,,3,nist,L3275,A
As,4191.263,715,,2,nist,L820,A
As,4198.58,615,,2,nist,L820,A
As,4244.177,615,,2,nist,L820,A
As,4316.871,500,,2,nist,L820,A
As,4325.083,500,,2,nist,L820,A
As,4337.86,500,,2,nist,L820,A
As,4353.368,500,,2,nist,L820,A
As,4354.088,425,,2,nist,L820,A
As,4372.40,375,,2,nist,L820,A
As,4428.349,615,,2,nist,L820,A
As,4432.806,615,,2,nist,L820,A
As,4459.720,715,,2,nist,L820,A
As,4462.327,340,,2,nist,L820,A
As,4467.601,715,,2,nist,L820,A
As,4475.72,500,,2,nist,L820,A
As,4495.491,800,,2,nist,L820,A
As,4508.923,850,,2,nist,L820,A
As,4541.01,615,,2,nist,L820,A
As,4544.757,715,,2,nist,L820,A
As,4603.716,615,,2,nist,L820,A
As,4631.084,340,,2,nist,L820,A
As,4708.903,340,,2,nist,L820,A
As,4731.99,340,,2,nist,L820,A
As,4889.922,340,,2,nist,L820,A
As,5070.39,100,,1,nist,L4831,A
As,5107.00,340,,2,nist,L820,A
As,5108.97,500,,2,nist,L820,A
As,5122.77,100,,1,nist,L4831,A
As,5143.06,100,,1,nist,L4831,A
As,5143.06,100,,1,nist,L4831,A
As,5232.84,425,,2,nist,L820,A
As,5332.71,500,,2,nist,L820,A
As,5409.63,100,,1,nist,L4831,A
As,5452.84,135,,1,nist,L4831,A
As,5499.254,340,,2,nist,L820,A
As,5559.63,425,,2,nist,L820,A
As,5652.89,425,,2,nist,L820,A
As,600.7,0,,5,nist,L3372,A
As,6111.76,425,,2,nist,L820,A
As,616.0,0,,5,nist,L3372,A
As,6171.98,500,,2,nist,L820,A
As,6513.54,300,,2,nist,L820,A
As,7094.23,300,,2,nist,L820,A
As,7104.68,300,,2,nist,L820,A
As,715.5,120,,5,nist,L3372,A
As,734.8,150,,5,nist,L3372,A
As,737.2,0,,5,nist,L3372,A
As,761.24,165,,2,nist,L820,A
As,7992.73,340,,2,nist,L820,A
As,802.83,165,,2,nist,L820,A
As,8176.76,300,,2,nist,L820,A
As,8431.23,100,,1,nist,L4831,A
As,849.9,185,,3,nist,L3275,A
As,8567.06,100,,1,nist,L4831,A
As,8656.52,100,,1,nist,L4831,A
As,866.3,185,,3,nist,L3275,A
As,871.7,510,,3,nist,L3275,A
As,8824.15,135,,1,nist,L4831,A
As,8872.10,100,,1,nist,L4831,A
As,889.0,325,,3,nist,L3275,A
As,9269.82,135,,1,nist,L4831,A
As,927.5,325,,3,nist,L3275,A
As,9303.16,200,,1,nist,L4831,A
As,937.2,325,,3,nist,L3275,A
As,953.6,325,,3,nist,L3275,A
As,9600.58,230,,1,nist,L4831,A
As,9629.34,290,,1,nist,L4831,A
As,963.8,325,,3,nist,L3275,A
As,9836.46,230,,1,nist,L4831,A
As,987.7,250,,5,nist,L3372,A
As,9888.76,100,,1,nist,L4831,A
As,9903.26,140,,1,nist,L4831,A
As,9918.43,170,,1,nist,L4831,A
As,9925.77,290,,1,nist,L4831,A
