element,wavelength,intensity,acc,state,source,reference,unit
As,10013.37,100,,1,nist,L4831,A
As,10026.79,290,,1,nist,L4831,A
As,10455.95,100,,1,nist,L4831,A
As,10577.92,100,,1,nist,L4831,A
As,10616.98,170,,1,nist,L4831,A
As,1593.60,100,,1,nist,L4831,A
As,1758.60,100,,1,nist,L4831,A
As,1806.15,170,,1,nist,L4831,A
As,1890.42,1000,C+,1,nist,L4831,A
As,1937.59,800,C+,1,nist,L4831,A
As,1972.62,585,C+,1,nist,L4831,A
As,1990.35,170,,1,nist,L4831,A
As,1991.13,100,,1,nist,L4831,A
As,1995.43,100,,1,nist,L4831,A
As,2003.99,230,,1,nist,L4831,A
As,2009.84,100,,1,nist,L4831,A
As,2013.97,100,,1,nist,L4831,A
As,2113.66,100,,1,nist,L4831,A
As,2144.76,100,,1,nist,L4831,A
As,2166.20,135,,1,nist,L4831,A
As,2288.83,350,D,1,nist,L4831,A
As,2344.75,0,D,1,nist,L4831,A
As,2350.56,350,D,1,nist,L4831,A
As,2370.39,0,D,1,nist,L4831,A
As,2371.49,100,D,1,nist,L4831,A
As,2381.91,135,,1,nist,L4831,A
As,2457.27,170,D,1,nist,L4831,A
As,2493.66,0,D,1,nist,L4831,A
As,2745.81,0,D,1,nist,L4831,A
As,2781.04,170,D,1,nist,L4831,A
As,2861.28,100,D,1,nist,L4831,A
As,2899.56,0,D,1,nist,L4831,A
As,5070.39,100,,1,nist,L4831,A
As,5122.77,100,,1,nist,L4831,A
As,5143.06,100,,1,nist,L4831,A
As,5143.06,100,,1,nist,L4831,A
As,5409.63,100,,1,nist,L4831,A
As,5452.84,135,,1,nist,L4831,A
As,8431.23,100,,1,nist,L4831,A
As,8567.06,100,,1,nist,L4831,A
As,8656.52,100,,1,nist,L4831,A
As,8824.15,135,,1,nist,L4831,A
As,8872.10,100,,1,nist,L4831,A
As,9269.82,135,,1,nist,L4831,A
As,9303.16,200,,1,nist,L4831,A
As,9600.58,230,,1,nist,L4831,A
As,9629.34,290,,1,nist,L4831,A
As,9836.46,230,,1,nist,L4831,A
As,9888.76,100,,1,nist,L4831,A
As,9903.26,140,,1,nist,L4831,A
As,9918.43,170,,1,nist,L4831,A
As,9925.77,290,,1,nist,L4831,A
