element,wavelength,intensity,acc,state,source,reference,unit
Au,1040.63,100,,3,nist,L1336,A
Au,1044.49,0,,3,nist,L1336,A
Au,1046.81,0,,3,nist,L1336,A
Au,1062.67,0,,2,nist,L1336,A
Au,1066.96,0,,2,nist,L1336,A
Au,1085.00,0,,2,nist,L1336,A
Au,1090.78,0,,2,nist,L1336,A
Au,1094.92,0,,2,nist,L1336,A
Au,1103.31,0,,2,nist,L1336,A
Au,1166.76,0,,2,nist,L1336,A
Au,1210.86,0,,2,nist,L1336,A
Au,1224.57,0,,2,nist,L1336,A
Au,1239.96,100,,3,nist,L1336,A
Au,1278.51,100,,3,nist,L1336,A
Au,1305.34,0,,1,nist,L4231,A
Au,1310.47,0,,1,nist,L4231,A
Au,1314.84,100,,3,nist,L1336,A
Au,1328.37,100,,1,nist,L4231,A
Au,1336.26,0,,2,nist,L1336,A
Au,1336.72,200,,3,nist,L1336,A
Au,1338.37,0,,1,nist,L4231,A
Au,1341.68,180,,3,nist,L1336,A
Au,1342.80,0,,1,nist,L4231,A
Au,1348.89,100,,3,nist,L1336,A
Au,1350.09,0,,1,nist,L4231,A
Au,1350.32,150,,3,nist,L1336,A
Au,1350.84,0,,1,nist,L4231,A
Au,1351.74,0,,1,nist,L4231,A
Au,1352.82,0,,1,nist,L4231,A
Au,1354.14,0,,1,nist,L4231,A
Au,1355.61,150,,3,nist,L1336,A
Au,1355.79,0,,1,nist,L4231,A
Au,1356.13,150,,3,nist,L1336,A
Au,1357.86,0,,1,nist,L4231,A
Au,1360.51,0,,1,nist,L4231,A
Au,1362.06,0,,3,nist,L1336,A
Au,1362.33,0,,2,nist,L1336,A
Au,1362.47,0,,1,nist,L4231,A
Au,1363.15,0,,2,nist,L1336,A
Au,1363.98,0,,1,nist,L4231,A
Au,1364.15,0,,1,nist,L4231,A
Au,1364.74,0,,2,nist,L1336,A
Au,1365.40,500,,3,nist,L1336,A
Au,1367.17,200,,3,nist,L1336,A
Au,1368.62,0,,1,nist,L4231,A
Au,1368.98,0,,1,nist,L4231,A
Au,1374.82,0,,1,nist,L4231,A
Au,1375.76,0,,1,nist,L4231,A
Au,1377.73,180,,3,nist,L1336,A
Au,1378.69,150,,3,nist,L1336,A
Au,1378.87,0,,1,nist,L4231,A
Au,1379.98,150,,3,nist,L1336,A
Au,1380.53,125,,3,nist,L1336,A
Au,1380.53,0,,2,nist,L1336,A
Au,1381.36,200,,3,nist,L1336,A
Au,1382.75,0,,1,nist,L4231,A
Au,1385.33,0,,1,nist,L4231,A
Au,1385.79,300,,3,nist,L1336,A
Au,1389.14,0,,1,nist,L4231,A
Au,1389.41,100,,3,nist,L1336,A
Au,1391.46,180,,3,nist,L1336,A
Au,1392.27,0,,1,nist,L4231,A
Au,1393.80,0,,2,nist,L1336,A
Au,1396.00,180,,3,nist,L1336,A
Au,1402.12,0,,1,nist,L4231,A
Au,1402.91,100,,3,nist,L1336,A
Au,1405.12,0,,2,nist,L1336,A
Au,1407.38,0,,1,nist,L4231,A
Au,1408.45,100,,1,nist,L4231,A
Au,1409.50,225,,3,nist,L1336,A
Au,1410.69,0,,2,nist,L1336,A
Au,1413.80,250,,3,nist,L1336,A
Au,1414.27,100,,3,nist,L1336,A
Au,1415.22,0,,2,nist,L1336,A
Au,1415.54,0,,3,nist,L1336,A
Au,1417.09,100,,3,nist,L1336,A
Au,1417.39,125,,3,nist,L1336,A
Au,1427.42,150,,3,nist,L1336,A
Au,1428.93,300,,3,nist,L1336,A
Au,1429.19,0,,1,nist,L4231,A
Au,1430.06,250,,3,nist,L1336,A
Au,1433.37,275,,3,nist,L1336,A
Au,1435.79,0,,1,nist,L4231,A
Au,1435.81,250,,3,nist,L1336,A
Au,1436.12,0,,3,nist,L1336,A
Au,1436.61,0,,2,nist,L1336,A
Au,1439.12,300,,3,nist,L1336,A
Au,1441.21,200,,3,nist,L1336,A
Au,1446.37,150,,3,nist,L1336,A
Au,1446.69,0,,3,nist,L1336,A
Au,1448.42,250,,3,nist,L1336,A
Au,1454.95,250,,3,nist,L1336,A
Au,1464.72,100,,3,nist,L1336,A
Au,1468.85,0,,2,nist,L1336,A
Au,1469.17,0,,2,nist,L1336,A
Au,1469.28,0,,2,nist,L1336,A
Au,1471.28,150,,3,nist,L7348,A
Au,1473.32,0,,3,nist,L1336,A
Au,1474.73,100,,3,nist,L1336,A
