element,wavelength,intensity,acc,state,source,reference,unit
Au,1305.34,0,,1,nist,L4231,A
Au,1310.47,0,,1,nist,L4231,A
Au,1328.37,100,,1,nist,L4231,A
Au,1338.37,0,,1,nist,L4231,A
Au,1342.80,0,,1,nist,L4231,A
Au,1350.09,0,,1,nist,L4231,A
Au,1350.84,0,,1,nist,L4231,A
Au,1351.74,0,,1,nist,L4231,A
Au,1352.82,0,,1,nist,L4231,A
Au,1354.14,0,,1,nist,L4231,A
Au,1355.79,0,,1,nist,L4231,A
Au,1357.86,0,,1,nist,L4231,A
Au,1360.51,0,,1,nist,L4231,A
Au,1362.47,0,,1,nist,L4231,A
Au,1363.98,0,,1,nist,L4231,A
Au,1364.15,0,,1,nist,L4231,A
Au,1368.62,0,,1,nist,L4231,A
Au,1368.98,0,,1,nist,L4231,A
Au,1374.82,0,,1,nist,L4231,A
Au,1375.76,0,,1,nist,L4231,A
Au,1378.87,0,,1,nist,L4231,A
Au,1382.75,0,,1,nist,L4231,A
Au,1385.33,0,,1,nist,L4231,A
Au,1389.14,0,,1,nist,L4231,A
Au,1392.27,0,,1,nist,L4231,A
Au,1402.12,0,,1,nist,L4231,A
Au,1407.38,0,,1,nist,L4231,A
Au,1408.45,100,,1,nist,L4231,A
Au,1429.19,0,,1,nist,L4231,A
Au,1435.79,0,,1,nist,L4231,A
Au,1481.76,100,,1,nist,L4231,A
Au,1532.82,0,,1,nist,L4231,A
Au,1532.86,0,,1,nist,L4231,A
Au,1587.16,200,,1,nist,L4231,A
Au,1598.24,0,,1,nist,L4231,A
Au,1624.34,100,,1,nist,L4231,A
Au,1639.90,0,,1,nist,L4231,A
Au,1646.67,150,D,1,nist,L4231,A
Au,1665.76,100,E,1,nist,L4231,A
Au,1699.34,200,,1,nist,L4231,A
Au,1879.83,100,,1,nist,L4231,A
Au,1919.64,0,,1,nist,L3312,A
Au,1942.31,0,,1,nist,L3312,A
Au,1951.93,0,,1,nist,L3312,A
Au,1978.19,0,,1,nist,L3312,A
Au,2012.70,11000,,1,nist,L3312,A
Au,2022.04,2600,,1,nist,L3312,A
Au,2127.30,0,E,1,nist,L3312,A
Au,2171.43,0,,1,nist,L3312,A
Au,2353.30,180,D,1,nist,L3312,A
Au,2377.01,0,,1,nist,L3312,A
Au,2388.48,120,,1,nist,L3312,A
Au,2428.69,2600,B+,1,nist,L3312,A
Au,2544.94,0,,1,nist,L3312,A
Au,2590.02,0,,1,nist,L3312,A
Au,2590.81,0,,1,nist,L3312,A
Au,2642.27,250,D,1,nist,L1336,A
Au,2676.75,3400,A+,1,nist,L1336,A
Au,2689.51,0,,1,nist,L1336,A
Au,2701.69,0,,1,nist,L1336,A
Au,2749.06,1100,B,1,nist,L1336,A
Au,2781.64,100,,1,nist,L1336,A
Au,2801.76,0,,1,nist,L1336,A
Au,2873.20,0,,1,nist,L1336,A
Au,2884.30,300,,1,nist,L1336,A
Au,2887.81,0,,1,nist,L1336,A
Au,2889.25,0,,1,nist,L1336,A
Au,2892.81,300,,1,nist,L1336,A
Au,2906.59,0,,1,nist,L1336,A
Au,2906.75,0,,1,nist,L1336,A
Au,2915.67,0,,1,nist,L1336,A
Au,2941.53,0,,1,nist,L1336,A
Au,2974.20,0,,1,nist,L1336,A
Au,3003.53,0,,1,nist,L1336,A
Au,3006.73,0,,1,nist,L1336,A
Au,3025.55,0,,1,nist,L1336,A
Au,3030.08,320,,1,nist,L1336,A
Au,3034.13,0,,1,nist,L1336,A
Au,3066.31,300,,1,nist,L1336,A
Au,3103.53,0,,1,nist,L1336,A
Au,3117.91,0,,1,nist,L1336,A
Au,3123.69,1600,B+,1,nist,L1336,A
Au,3127.94,0,,1,nist,L1336,A
Au,3165.80,0,,1,nist,L1336,A
Au,3192.68,0,,1,nist,L1336,A
Au,3195.64,100,,1,nist,L1336,A
Au,3201.29,0,,1,nist,L1336,A
Au,3205.67,0,,1,nist,L1336,A
Au,3222.79,0,,1,nist,L1336,A
Au,3226.18,0,,1,nist,L1336,A
Au,3231.56,300,,1,nist,L1336,A
Au,3254.88,0,,1,nist,L1336,A
Au,3266.04,0,,1,nist,L1336,A
Au,3268.01,0,,1,nist,L1336,A
Au,3272.57,0,,1,nist,L1336,A
Au,3274.41,0,,1,nist,L1336,A
Au,3309.25,300,E,1,nist,L1336,A
Au,3310.59,300,,1,nist,L1336,A
Au,3321.08,100,C,1,nist,L1336,A
Au,3356.11,100,,1,nist,L1336,A
Au,3369.41,0,,1,nist,L1336,A
Au,3382.87,0,,1,nist,L1336,A
Au,3392.28,100,,1,nist,L1336,A
Au,3396.37,100,,1,nist,L1336,A
Au,3441.35,0,,1,nist,L1336,A
Au,3468.20,100,,1,nist,L1336,A
Au,3472.60,0,,1,nist,L1336,A
Au,3510.04,0,,1,nist,L1336,A
Au,3511.82,0,,1,nist,L1336,A
Au,3546.62,0,,1,nist,L1336,A
Au,3554.59,0,,1,nist,L1336,A
Au,3558.38,300,,1,nist,L1336,A
Au,3559.24,0,,1,nist,L1336,A
Au,3566.99,0,,1,nist,L1336,A
Au,3585.39,0,,1,nist,L1336,A
Au,3587.75,300,,1,nist,L1336,A
Au,3589.81,0,,1,nist,L1336,A
Au,3599.09,0,,1,nist,L1336,A
Au,3612.60,100,,1,nist,L1336,A
Au,3615.03,0,,1,nist,L1336,A
Au,3623.77,0,,1,nist,L1336,A
Au,3632.35,100,,1,nist,L1336,A
Au,3635.57,0,,1,nist,L1336,A
Au,3636.16,0,,1,nist,L1336,A
Au,3638.94,300,,1,nist,L1336,A
Au,3640.91,0,,1,nist,L1336,A
Au,3646.06,100,,1,nist,L1336,A
Au,3650.13,0,,1,nist,L1336,A
Au,3651.78,100,,1,nist,L1336,A
Au,3654.57,0,,1,nist,L1336,A
Au,3655.73,0,,1,nist,L1336,A
Au,3656.34,0,,1,nist,L1336,A
Au,3657.94,0,,1,nist,L1336,A
Au,3710.68,100,,1,nist,L1336,A
Au,3767.68,0,,1,nist,L1336,A
Au,3771.83,0,,1,nist,L1336,A
Au,3797.09,100,C,1,nist,L1336,A
Au,3803.00,0,,1,nist,L1336,A
Au,3822.93,0,,1,nist,L1336,A
Au,3826.79,0,,1,nist,L1336,A
Au,3875.83,100,,1,nist,L1336,A
Au,3881.35,0,,1,nist,L1336,A
Au,3890.58,0,,1,nist,L1336,A
Au,3893.36,100,,1,nist,L1336,A
Au,3898.96,400,,1,nist,L1336,A
Au,3902.20,0,,1,nist,L1336,A
Au,3910.49,300,E,1,nist,L1336,A
Au,3928.80,100,,1,nist,L1336,A
Au,3960.22,0,,1,nist,L1336,A
