element,wavelength,intensity,acc,state,source,reference,unit
Au,1062.67,0,,2,nist,L1336,A
Au,1066.96,0,,2,nist,L1336,A
Au,1085.00,0,,2,nist,L1336,A
Au,1090.78,0,,2,nist,L1336,A
Au,1094.92,0,,2,nist,L1336,A
Au,1103.31,0,,2,nist,L1336,A
Au,1166.76,0,,2,nist,L1336,A
Au,1210.86,0,,2,nist,L1336,A
Au,1224.57,0,,2,nist,L1336,A
Au,1336.26,0,,2,nist,L1336,A
Au,1362.33,0,,2,nist,L1336,A
Au,1363.15,0,,2,nist,L1336,A
Au,1364.74,0,,2,nist,L1336,A
Au,1380.53,0,,2,nist,L1336,A
Au,1393.80,0,,2,nist,L1336,A
Au,1405.12,0,,2,nist,L1336,A
Au,1410.69,0,,2,nist,L1336,A
Au,1415.22,0,,2,nist,L1336,A
Au,1436.61,0,,2,nist,L1336,A
Au,1468.85,0,,2,nist,L1336,A
Au,1469.17,0,,2,nist,L1336,A
Au,1469.28,0,,2,nist,L1336,A
Au,1486.55,0,,2,nist,L1336,A
Au,1562.04,0,,2,nist,L1336,A
Au,1593.41,0,,2,nist,L1336,A
Au,1611.11,0,,2,nist,L1336,A
Au,1616.65,0,,2,nist,L1336,A
Au,1622.83,0,,2,nist,L1336,A
Au,1632.53,0,,2,nist,L1336,A
Au,1656.99,0,,2,nist,L1336,A
Au,1673.59,0,,2,nist,L1336,A
Au,1694.38,0,,2,nist,L1336,A
Au,1698.65,0,,2,nist,L1336,A
Au,1700.69,0,,2,nist,L1336,A
Au,1720.04,0,,2,nist,L1336,A
Au,1725.75,0,,2,nist,L1336,A
Au,1740.52,0,,2,nist,L1336,A
Au,1749.80,0,,2,nist,L1336,A
Au,1756.15,0,,2,nist,L1336,A
Au,1783.22,0,,2,nist,L3312,A
Au,1793.31,0,,2,nist,L3312,A
Au,1800.58,0,,2,nist,L3312,A
Au,1823.24,0,,2,nist,L3312,A
Au,1921.64,0,,2,nist,L3312,A
Au,2001.46,0,,2,nist,L3312,A
Au,2045.20,0,,2,nist,L3312,A
Au,2082.75,150,,2,nist,L3312,A
Au,2095.80,0,,2,nist,L3312,A
Au,2098.81,0,,2,nist,L3312,A
Au,2111.35,0,,2,nist,L3312,A
Au,2125.96,0,,2,nist,L3312,A
Au,2189.49,0,,2,nist,L3312,A
Au,2202.01,0,,2,nist,L3312,A
Au,2216.32,0,,2,nist,L3312,A
Au,2229.57,0,,2,nist,L3312,A
Au,2231.87,0,,2,nist,L3312,A
Au,2240.86,0,,2,nist,L3312,A
Au,2249.26,0,,2,nist,L3312,A
Au,2264.32,0,,2,nist,L3312,A
Au,2264.58,0,,2,nist,L3312,A
Au,2278.22,0,,2,nist,L3312,A
Au,2284.00,0,,2,nist,L3312,A
Au,2292.11,0,,2,nist,L3312,A
Au,2305.40,0,,2,nist,L3312,A
Au,2315.26,0,,2,nist,L3312,A
Au,2316.46,0,,2,nist,L3312,A
Au,2340.78,0,,2,nist,L3312,A
Au,2534.28,0,,2,nist,L3312,A
Au,2553.44,0,,2,nist,L3312,A
Au,2617.18,0,,2,nist,L3312,A
Au,2627.80,0,,2,nist,L3312,A
Au,2688.43,0,,2,nist,L3312,A
Au,2688.96,0,,2,nist,L3312,A
Au,2749.52,0,,2,nist,L3312,A
Au,2802.87,1000,,2,nist,L1336,A
Au,2820.62,300,,2,nist,L1336,A
Au,2823.38,100,,2,nist,L1336,A
Au,2823.96,0,,2,nist,L1336,A
Au,2826.27,100,,2,nist,L1336,A
Au,2833.86,0,,2,nist,L1336,A
Au,2838.68,300,,2,nist,L1336,A
Au,2847.76,100,,2,nist,L1336,A
Au,2857.58,100,,2,nist,L1336,A
Au,2894.10,100,,2,nist,L1336,A
Au,2907.89,100,,2,nist,L1336,A
Au,2914.37,300,,2,nist,L1336,A
Au,2919.09,300,,2,nist,L1336,A
Au,2955.08,100,,2,nist,L1336,A
Au,2991.14,100,,2,nist,L1336,A
Au,2995.67,300,,2,nist,L1336,A
Au,3123.41,100,,2,nist,L1336,A
Au,3127.77,0,,2,nist,L1336,A
Au,3173.27,0,,2,nist,L1336,A
Au,3524.35,0,,2,nist,L1336,A
Au,3634.26,0,,2,nist,L1336,A
Au,3707.60,0,,2,nist,L1336,A
Au,3805.09,0,,2,nist,L1336,A
Au,4017.21,0,,2,nist,L1336,A
Au,4053.93,0,,2,nist,L1336,A
Au,4077.50,0,,2,nist,L1336,A
Au,4084.43,0,,2,nist,L1336,A
Au,4362.27,0,,2,nist,L1336,A
Au,4421.85,0,,2,nist,L1336,A
Au,4761.50,0,,2,nist,L1336,A
Au,925.72,0,,2,nist,L1336,A
Au,946.03,0,,2,nist,L1336,A
Au,950.39,0,,2,nist,L1336,A
Au,957.78,0,,2,nist,L1336,A
Au,967.94,0,,2,nist,L1336,A
Au,974.47,0,,2,nist,L1336,A
Au,982.24,0,,2,nist,L1336,A
