element,wavelength,intensity,acc,state,source,reference,unit
B,1010.902,0,,1,nist,L3744,A
B,1011.058,0,,1,nist,L3744,A
B,1047.647,0,D,1,nist,L3744,A
B,1047.695,0,D,1,nist,L3744,A
B,1047.825,0,D,1,nist,L3744,A
B,1047.867,0,D,1,nist,L3744,A
B,1129.701,0,,1,nist,L3744,A
B,1129.881,0,,1,nist,L3744,A
B,1142.269,0,,1,nist,L3744,A
B,1142.304,0,,1,nist,L3744,A
B,1151.207,0,C,1,nist,L3744,A
B,1151.281,0,C,1,nist,L3744,A
B,1151.422,0,C,1,nist,L3744,A
B,1151.489,0,C,1,nist,L3744,A
B,11663.223,200,B,1,nist,u29,A
B,11665.648,100,B,1,nist,u29,A
B,12905.117,0,B,1,nist,u29,A
B,12905.356,0,B,1,nist,u29,A
B,12905.356,0,B,1,nist,u29,A
B,1378.654,0,C+,1,nist,L2166,A
B,1378.875,0,C+,1,nist,L2166,A
B,1378.943,0,C+,1,nist,L2166,A
B,1379.166,0,C+,1,nist,L2166,A
B,1413.940,0,,1,nist,L3744,A
B,1465.548,0,D,1,nist,L3744,A
B,1465.663,0,D,1,nist,L3744,A
B,1465.801,0,D,1,nist,L3744,A
B,1469.015,0,,1,nist,L3744,A
B,1469.070,0,,1,nist,L3744,A
B,1469.297,0,,1,nist,L3744,A
B,1496.103,0,,1,nist,L2166,A
B,1496.183,0,,1,nist,L2166,A
B,1496.277,0,,1,nist,L2166,A
B,1496.378,0,,1,nist,L2166,A
B,1496.489,0,,1,nist,L2166,A
B,1496.532,0,,1,nist,L2166,A
B,1496.615,0,,1,nist,L2166,A
B,1496.696,0,,1,nist,L2166,A
B,1496.742,0,,1,nist,L2166,A
B,1496.880,0,,1,nist,L2166,A
B,1496.880,0,,1,nist,L2166,A
B,1497.045,0,,1,nist,L2166,A
B,1497.221,0,,1,nist,L2166,A
B,1497.283,0,,1,nist,L2166,A
B,1497.409,0,,1,nist,L2166,A
B,1497.519,0,,1,nist,L2166,A
B,1497.624,0,,1,nist,L2166,A
B,1497.786,0,,1,nist,L2166,A
B,1497.863,0,,1,nist,L2166,A
B,1498.082,0,,1,nist,L2166,A
B,1498.129,0,,1,nist,L2166,A
B,1498.423,0,,1,nist,L2166,A
B,1498.423,0,,1,nist,L2166,A
B,1498.765,0,,1,nist,L2166,A
B,1498.806,0,,1,nist,L2166,A
B,1499.148,0,,1,nist,L2166,A
B,1499.240,0,,1,nist,L2166,A
B,1499.585,0,,1,nist,L2166,A
B,1499.743,0,,1,nist,L2166,A
B,1500.083,0,,1,nist,L2166,A
B,1500.318,0,,1,nist,L2166,A
B,1500.662,0,,1,nist,L2166,A
B,1500.989,0,,1,nist,L2166,A
B,1501.334,0,,1,nist,L2166,A
B,1501.777,0,,1,nist,L2166,A
B,1502.121,0,,1,nist,L2166,A
B,1502.709,0,,1,nist,L2166,A
B,1503.054,0,,1,nist,L2166,A
B,1503.824,0,,1,nist,L2166,A
B,1504.169,0,,1,nist,L2166,A
B,1505.171,0,,1,nist,L2166,A
B,1505.517,0,,1,nist,L2166,A
B,1506.820,0,,1,nist,L2166,A
B,1507.168,0,,1,nist,L2166,A
B,1508.872,0,,1,nist,L2166,A
B,1509.220,0,,1,nist,L2166,A
B,1511.465,0,,1,nist,L2166,A
B,1511.816,0,,1,nist,L2166,A
