element,wavelength,intensity,acc,state,source,reference,unit
B,1025.6,0,,3,nist,L12547,A
B,1025.6,0,,3,nist,L12547,A
B,1059.1,0,AA,3,nist,L12547,A
B,1059.1,0,AA,3,nist,L12547,A
B,1059.1,0,AA,3,nist,L12547,A
B,1077.6,0,,3,nist,L12547,A
B,1077.6,0,,3,nist,L12547,A
B,1115.0,0,AA,3,nist,L12547,A
B,1115.0,0,AA,3,nist,L12547,A
B,1115.0,0,AA,3,nist,L12547,A
B,1154.5,0,,3,nist,L6680,A
B,1154.5,0,,3,nist,L6680,A
B,1154.5,0,,3,nist,L6680,A
B,1169.2,0,A,3,nist,L12547,A
B,1169.2,0,A,3,nist,L12547,A
B,1169.2,0,A,3,nist,L12547,A
B,1169.2,0,A,3,nist,L12547,A
B,1169.2,0,A,3,nist,L12547,A
B,1195.00,0,,3,nist,L6730,A
B,1195.00,0,,3,nist,L6730,A
B,1213.20,0,AA,3,nist,L6730,A
B,1213.20,0,AA,3,nist,L6730,A
B,1213.20,0,AA,3,nist,L6730,A
B,1224.1,0,,3,nist,L6680,A
B,1224.1,0,,3,nist,L6680,A
B,1224.1,0,,3,nist,L6680,A
B,1251.20,0,,3,nist,L6680,A
B,1275.60,0,,3,nist,L6680,A
B,1296.8,0,,3,nist,L6680,A
B,1308.66,0,,3,nist,L12547,A
B,1366.3,0,,3,nist,L12547,A
B,1366.3,0,,3,nist,L12547,A
B,1400.46,0,,3,nist,L12547,A
B,1416.40,0,,3,nist,L12547,A
B,1416.40,0,,3,nist,L12547,A
B,1416.40,0,,3,nist,L12547,A
B,1421.41,970,AA,3,nist,L482,A
B,1421.41,970,AA,3,nist,L482,A
B,1424.330,190,A,3,nist,L12547,A
B,1424.532,190,A,3,nist,L12547,A
B,1435.70,0,A,3,nist,L12547,A
B,1435.70,0,A,3,nist,L12547,A
B,1449.2,0,,3,nist,L6901,A
B,1449.2,0,,3,nist,L6901,A
B,1449.2,0,,3,nist,L6901,A
B,1455.00,0,,3,nist,L12547,A
B,1463.16,111,,3,nist,L12547,A
B,1463.16,111,,3,nist,L12547,A
B,1463.16,111,,3,nist,L12547,A
B,1557.12,0,,3,nist,L12547,A
B,1588.53,403,,3,nist,L12547,A
B,1588.53,403,,3,nist,L12547,A
B,1588.53,403,,3,nist,L12547,A
B,1596.66,2500,A,3,nist,L482,A
B,1596.66,2500,A,3,nist,L482,A
B,1610.33,117,,3,nist,L12547,A
B,1616.31,816,,3,nist,L12547,A
B,1692.21,0,,3,nist,L12547,A
B,1701.99,7007,,3,nist,L12547,A
B,1705.67,360,,3,nist,L12547,A
B,1727.28,230,,3,nist,L12547,A
B,1752.65,126,,3,nist,L12547,A
B,1753.51,0,,3,nist,L12547,A
B,1753.51,0,,3,nist,L12547,A
B,1764.91,1316,,3,nist,L12547,A
B,1785.50,0,,3,nist,L12547,A
B,1787.60,0,,3,nist,L12547,A
B,1787.60,0,,3,nist,L12547,A
B,1795.60,224,,3,nist,L12547,A
B,1817.09,0,,3,nist,L12547,A
B,1820.44,0,,3,nist,L12547,A
B,1820.44,0,,3,nist,L12547,A
B,1836.74,467,,3,nist,L12547,A
B,1850.82,112,,3,nist,L12547,A
B,1850.82,112,,3,nist,L12547,A
B,1850.82,112,,3,nist,L12547,A
B,1864.82,0,,3,nist,L12547,A
B,1864.82,0,,3,nist,L12547,A
B,1867.31,0,,3,nist,L12547,A
B,1879.09,0,,3,nist,L12547,A
B,1879.09,0,,3,nist,L12547,A
B,1898.86,0,,3,nist,L12547,A
B,1900.16,100,,3,nist,L12547,A
B,1900.16,100,,3,nist,L12547,A
B,1900.16,100,,3,nist,L12547,A
B,1912.24,0,,3,nist,L12547,A
B,1918.22,0,,3,nist,L12547,A
B,1953.495,3000,A,3,nist,L482,A
B,1953.827,6000,A,3,nist,L482,A
B,1953.827,6000,A,3,nist,L482,A
B,1960.06,0,,3,nist,L12547,A
B,1961.42,0,,3,nist,L12547,A
B,1962.96,0,,3,nist,L12547,A
B,1964.66,0,,3,nist,L12547,A
B,1964.66,0,,3,nist,L12547,A
B,1979.16,760,,3,nist,L12547,A
B,1985.60,0,,3,nist,L12547,A
B,1985.60,0,,3,nist,L12547,A
B,2012.51,0,,3,nist,L12547,A
B,2014.25,0,,3,nist,L12547,A
B,2016.22,400,,3,nist,L12547,A
B,2054.17,0,,3,nist,L12547,A
B,2066.4387,32000,AAA,3,nist,L9416,A
B,2067.8959,20000,AAA,3,nist,L9416,A
B,2077.749,18000,AA,3,nist,L482,A
B,2077.749,18000,AA,3,nist,L482,A
B,2091.26,0,,3,nist,L12547,A
B,2091.26,0,,3,nist,L12547,A
B,2098.27,0,,3,nist,L12547,A
B,2098.27,0,,3,nist,L12547,A
B,2132.64,0,,3,nist,L12547,A
B,2132.64,0,,3,nist,L12547,A
B,2138.50,800,A,3,nist,L482,A
B,2138.50,800,A,3,nist,L482,A
B,2157.13,110,,3,nist,L12547,A
B,2157.13,110,,3,nist,L12547,A
B,2157.13,110,,3,nist,L12547,A
B,2159.86,0,,3,nist,L12547,A
B,2159.86,0,,3,nist,L12547,A
B,2165.38,0,,3,nist,L12547,A
B,2165.38,0,,3,nist,L12547,A
B,2165.38,0,,3,nist,L12547,A
B,2234.782,800,AA,3,nist,L482,A
B,2235.287,1600,AA,3,nist,L482,A
B,2329.41,100,,3,nist,L12547,A
B,2329.41,100,,3,nist,L12547,A
B,2333.77,0,,3,nist,L12547,A
B,2347.61,0,,3,nist,L12547,A
B,2360.99,0,,3,nist,L12547,A
B,2363.10,0,,3,nist,L12547,A
B,2381.59,130,,3,nist,L12547,A
B,2381.59,130,,3,nist,L12547,A
B,2381.59,130,,3,nist,L12547,A
B,2401.99,140,,3,nist,L12547,A
B,2401.99,140,,3,nist,L12547,A
B,2405.26,0,,3,nist,L12547,A
B,2405.26,0,,3,nist,L12547,A
B,2475.79,0,,3,nist,L12547,A
B,2475.79,0,,3,nist,L12547,A
B,2480.88,0,,3,nist,L12547,A
B,2536.56,0,,3,nist,L12547,A
B,2536.56,0,,3,nist,L12547,A
B,2536.56,0,,3,nist,L12547,A
B,2675.96,0,,3,nist,L12547,A
B,2707.81,0,,3,nist,L12547,A
B,2795.83,0,,3,nist,L12547,A
B,2805.61,320,A,3,nist,L482,A
B,2805.61,320,A,3,nist,L482,A
B,2805.61,320,A,3,nist,L482,A
B,2910.94,340,,3,nist,L482,A
B,2910.94,340,,3,nist,L482,A
B,2910.94,340,,3,nist,L482,A
B,2915.56,250,,3,nist,L482,A
B,2915.56,250,,3,nist,L482,A
B,2926.24,0,,3,nist,L12547,A
B,2945.86,0,,3,nist,L12547,A
B,2945.86,0,,3,nist,L12547,A
B,2945.86,0,,3,nist,L12547,A
B,2958.96,135,,3,nist,L12547,A
B,2958.96,135,,3,nist,L12547,A
B,302.90,0,,3,nist,L6901,A
B,303.90,0,,3,nist,L6901,A
B,316.54,0,,3,nist,L6901,A
B,324.33,0,,3,nist,L6901,A
B,3260.7,0,,3,nist,L12547,A
B,327.21,100,,3,nist,L6901,A
B,3270.4,0,,3,nist,L12547,A
B,328.95,0,,3,nist,L6901,A
B,329.62,100,,3,nist,L6901,A
B,3371.35,0,,3,nist,L12547,A
B,3371.35,0,,3,nist,L12547,A
B,3375.0,0,,3,nist,L12547,A
B,3375.0,0,,3,nist,L12547,A
B,3375.0,0,,3,nist,L12547,A
B,338.30,130,,3,nist,L6901,A
B,350.28,0,A,3,nist,L6901,A
B,350.28,0,A,3,nist,L6901,A
B,3568.19,0,A,3,nist,L482,A
B,3568.45,160,A,3,nist,L482,A
B,359.68,0,A,3,nist,L6901,A
