element,wavelength,intensity,acc,state,source,reference,unit
B,1049.8,160,AA,5,nist,"L3762,L12548",A
B,1049.8,160,AA,5,nist,,A
B,1049.8,160,AA,5,nist,,A
B,1049.8,160,AA,5,nist,,A
B,1049.8,160,AA,5,nist,,A
B,1049.8,160,AA,5,nist,,A
B,1215.05,0,AA,5,nist,L12548,A
B,1215.05,0,AA,5,nist,,A
B,1215.05,0,AA,5,nist,,A
B,1215.05,0,,5,nist,,A
B,1215.05,0,AA,5,nist,,A
B,1215.05,0,,5,nist,,A
B,1215.05,0,,5,nist,,A
B,1215.05,0,,5,nist,,A
B,1494.99,0,AA,5,nist,L12548,A
B,1494.99,0,AA,5,nist,,A
B,1494.99,0,AA,5,nist,,A
B,1494.99,0,,5,nist,,A
B,1494.99,0,AA,5,nist,,A
B,1494.99,0,AA,5,nist,,A
B,1494.99,0,,5,nist,,A
B,1494.99,0,AA,5,nist,,A
B,158.70,0,AA,5,nist,L3762,A
B,158.70,0,AA,5,nist,,A
B,158.70,0,AA,5,nist,,A
B,158.70,0,AA,5,nist,,A
B,1619.97,711,AA,5,nist,L12548,A
B,1619.97,711,AA,5,nist,,A
B,1619.97,711,AA,5,nist,,A
B,1619.97,711,AA,5,nist,,A
B,1619.97,711,AA,5,nist,,A
B,1619.97,711,AA,5,nist,,A
B,164.00,120,AA,5,nist,L3762,A
B,164.00,120,AA,5,nist,,A
B,164.00,120,AA,5,nist,,A
B,164.00,120,AA,5,nist,,A
B,173.50,100,AA,5,nist,L3762,A
B,173.50,100,AA,5,nist,,A
B,173.50,100,AA,5,nist,,A
B,173.50,100,AA,5,nist,,A
B,1860.45,0,AA,5,nist,L12548,A
B,1860.45,0,AA,5,nist,,A
B,1860.45,0,AA,5,nist,,A
B,1860.45,0,AA,5,nist,,A
B,1860.45,0,AA,5,nist,,A
B,1860.45,0,AA,5,nist,,A
B,1860.45,0,AA,5,nist,,A
B,1860.45,0,AA,5,nist,,A
B,194.40,300,AA,5,nist,L3762,A
B,194.40,300,AA,5,nist,,A
B,194.40,300,AA,5,nist,,A
B,194.40,300,AA,5,nist,,A
B,262.40,1000,AA,5,nist,L3762,A
B,262.40,1000,AA,5,nist,,A
B,262.40,1000,AA,5,nist,,A
B,262.40,1000,AA,5,nist,,A
B,2982.23,130,AA,5,nist,L12548,A
B,2982.23,130,AA,5,nist,,A
B,2982.23,130,AA,5,nist,,A
B,2982.23,130,AA,5,nist,,A
B,2982.23,130,AA,5,nist,,A
B,2982.23,130,AA,5,nist,,A
B,2999.5,0,AA,5,nist,L12548,A
B,2999.5,0,AA,5,nist,,A
B,368.92,0,AA,5,nist,"L3762,L12548",A
B,368.92,0,AA,5,nist,,A
B,368.92,0,AA,5,nist,,A
B,368.92,0,AA,5,nist,,A
B,368.92,0,AA,5,nist,,A
B,37.03,0,AA,5,nist,"L4250,L12548",A
B,37.03,0,AA,5,nist,,A
B,37.21,0,AA,5,nist,"L4250,L12548",A
B,37.21,0,AA,5,nist,,A
B,37.48,0,AA,5,nist,L3762,A
B,37.48,0,AA,5,nist,,A
B,37.94,150,AA,5,nist,L3762,A
B,37.94,150,AA,5,nist,,A
B,38.87,300,AA,5,nist,L3762,A
B,38.87,300,AA,5,nist,,A
B,381.71,0,AA,5,nist,"L3762,L12548",A
B,381.71,0,AA,5,nist,,A
B,381.71,0,AA,5,nist,,A
B,381.71,0,AA,5,nist,,A
B,381.71,0,AA,5,nist,,A
B,40.98,1000,AA,5,nist,L3762,A
B,40.98,1000,AA,5,nist,,A
B,437.4,0,AA,5,nist,L3762,A
B,437.4,0,AA,5,nist,,A
B,437.4,0,AA,5,nist,,A
B,437.4,0,AA,5,nist,,A
B,437.4,0,AA,5,nist,,A
B,48.59,3000,AA,5,nist,L3762,A
B,48.59,3000,AA,5,nist,,A
B,4945.98,0,AA,5,nist,L12548,A
B,4945.98,0,AA,5,nist,,A
B,512.3,0,AA,5,nist,L3762,A
B,512.3,0,AA,5,nist,,A
B,512.3,0,AA,5,nist,,A
B,512.3,0,AA,5,nist,,A
B,512.3,0,AA,5,nist,,A
B,749.7,1000,AA,5,nist,L3762,A
B,749.7,1000,AA,5,nist,,A
B,749.7,1000,AA,5,nist,,A
B,749.7,1000,AA,5,nist,,A
B,778.0,170,AA,5,nist,"L3762,L12548",A
B,778.0,170,AA,5,nist,,A
B,778.0,170,AA,5,nist,,A
B,778.0,170,AA,5,nist,,A
B,778.0,170,,5,nist,,A
B,778.0,170,AA,5,nist,,A
B,778.0,170,,5,nist,,A
B,866.3,150,AA,5,nist,"L3762,L12548",A
B,866.3,150,AA,5,nist,,A
B,866.3,150,AA,5,nist,,A
B,866.3,150,AA,5,nist,,A
B,866.3,150,AA,5,nist,,A
B,866.3,150,AA,5,nist,,A
B,866.3,150,AA,5,nist,,A
