element,wavelength,intensity,acc,state,source,reference,unit
Ba,1.93028,0,,47,nist,L11668,A
Ba,10.075,0,,29,nist,L11790,A
Ba,10.138,0,,29,nist,L11790,A
Ba,10.182,0,,28,nist,L11790,A
Ba,10.327,0,,28,nist,L11790,A
Ba,10.371,0,,27,nist,L11790,A
Ba,10.388,0,,29,nist,L11790,A
Ba,10.518,0,,28,nist,L11790,A
Ba,10.518,0,,28,nist,L11790,A
Ba,10.518,0,,27,nist,L11790,A
Ba,10.571,0,,26,nist,L11790,A
Ba,10.571,0,,26,nist,L11790,A
Ba,10.720,3.5,,26,nist,L11790,A
Ba,10.720,3.5,,26,nist,L11790,A
Ba,10.757,0,,25,nist,L11790,A
Ba,10.757,0,,30,nist,L11790,A
Ba,10.757,0,,30,nist,L11790,A
Ba,10.805,3.0,,30,nist,L11790,A
Ba,10.805,3.0,,30,nist,L11790,A
Ba,10.805,3.0,,30,nist,L11790,A
Ba,10.893,0,,30,nist,L11790,A
Ba,10.910,0,,25,nist,L11790,A
Ba,100.130,0,,12,nist,L8885,A
Ba,10003.650,116,,1,nist,L9224,A
Ba,10034.889,760,,1,nist,L9224,A
Ba,101.391,0,,11,nist,L9885,A
Ba,10117.782,0,B,2,nist,L9224,A
Ba,1013.120,0,,8,nist,L9793,A
Ba,10132.343,0,,1,nist,L9224,A
Ba,10190.784,0,,1,nist,L9224,A
Ba,102.886,0,,10,nist,L11824,A
Ba,102.908,0,,10,nist,L11824,A
Ba,10207.94,0,,3,nist,L3667,A
Ba,10215.638,0,B,2,nist,L9224,A
Ba,10235.884,169,,1,nist,L9224,A
Ba,10276.665,0,,1,nist,L9224,A
Ba,103.87,0,,29,nist,L11350,A
Ba,10351.504,0,,1,nist,L9224,A
Ba,10373.123,0,C,1,nist,L9224,A
Ba,1039.553,0,,8,nist,L9793,A
Ba,104.182,0,,12,nist,L8885,A
Ba,104.396,0,,27,nist,L9170,A
Ba,10432.76,0,,3,nist,L3667,A
Ba,1046.044,0,,3,nist,L3667,A
Ba,10474.159,354,,1,nist,L9224,A
Ba,1048.265,0,,3,nist,L3667,A
Ba,1048.343,0,,8,nist,L9793,A
Ba,1053.877,0,,3,nist,L3667,A
Ba,10542.974,0,D,1,nist,L9224,A
Ba,10555.83,0,,3,nist,L3667,A
Ba,1058.310,0,,3,nist,L3667,A
Ba,106.635,0,,12,nist,L8885,A
Ba,10652.020,0,C,1,nist,L9224,A
Ba,1066.084,0,,3,nist,L3667,A
Ba,1066.748,0,,3,nist,L3667,A
Ba,1068.390,0,,3,nist,L3667,A
Ba,10696.279,0,,1,nist,L9224,A
Ba,107.488,0,,27,nist,L9170,A
Ba,1070.068,0,,3,nist,L3667,A
Ba,1072.606,0,,6,nist,L11447,A
Ba,1074.920,128,,8,nist,L9793,A
Ba,1078.880,0,,3,nist,L3667,A
Ba,10793.892,0,,1,nist,L9224,A
Ba,10796.39,0,,3,nist,L3667,A
Ba,108.001,0,,28,nist,L5473,A
Ba,1083.068,0,,8,nist,L9793,A
Ba,1086.665,0,,3,nist,L3667,A
Ba,1086.802,0,,3,nist,L3667,A
Ba,109.430,0,,12,nist,L8885,A
Ba,109.581,0,,12,nist,L8885,A
Ba,109.898,0,,12,nist,L8885,A
Ba,1093.215,0,,3,nist,L3667,A
Ba,1097.410,0,,3,nist,L3667,A
Ba,1097.981,0,,3,nist,L3667,A
Ba,1099.315,0,,3,nist,L3667,A
Ba,11.072,0,,29,nist,L11790,A
