element,wavelength,intensity,acc,state,source,reference,unit
Ba,10117.782,0,B,2,nist,L9224,A
Ba,10215.638,0,B,2,nist,L9224,A
Ba,11580.252,0,B,2,nist,L9224,A
Ba,12478.370,0,B,2,nist,L9224,A
Ba,13061.369,0,B,2,nist,L9224,A
Ba,14215.35,0,B,2,nist,L9224,A
Ba,1433.15,0,,2,nist,L3450,A
Ba,1444.85,0,E,2,nist,L3450,A
Ba,1504.01,0,E,2,nist,L3450,A
Ba,1554.38,0,E,2,nist,L3450,A
Ba,1572.73,0,E,2,nist,L3450,A
Ba,1573.92,0,E,2,nist,L3450,A
Ba,1630.40,0,C,2,nist,L3450,A
Ba,1674.51,0,E,2,nist,L3450,A
Ba,1694.37,0,E,2,nist,L3450,A
Ba,1697.16,0,E,2,nist,L3450,A
Ba,1761.75,0,E,2,nist,L3450,A
Ba,1771.03,0,D,2,nist,L3450,A
Ba,1786.93,0,E,2,nist,L3450,A
Ba,18535.75,0,B,2,nist,L9224,A
Ba,18535.75,0,B,2,nist,L9224,A
Ba,1892.65,0,D,2,nist,L3450,A
Ba,1924.6712,0,E,2,nist,L9224,A
Ba,1954.21,0,D,2,nist,L3450,A
Ba,1970.19,0,E,2,nist,L3450,A
Ba,1985.7548,0,D,2,nist,L9224,A
Ba,1999.52,0,E,2,nist,L3450,A
Ba,2009.85,0,C+,2,nist,L3450,A
Ba,2024.7084,0,C,2,nist,L9224,A
Ba,2053.4092,0,D,2,nist,L9224,A
Ba,2054.57,0,D,2,nist,L3450,A
Ba,2080.6380,0,C+,2,nist,L9224,A
Ba,2154.6110,0,C,2,nist,L9224,A
Ba,2201.5724,0,C+,2,nist,L9224,A
Ba,2215.4534,0,D,2,nist,L9224,A
Ba,2233.4796,170,C,2,nist,L9224,A
Ba,2236.0738,0,C,2,nist,L9224,A
Ba,2246.3848,173,D,2,nist,L9224,A
Ba,2255.4764,415,D,2,nist,L9224,A
Ba,2286.6947,0,C+,2,nist,L9224,A
Ba,2304.9566,3370,,2,nist,L9224,A
Ba,2335.9833,4310,,2,nist,L9224,A
Ba,2348.3103,510,,2,nist,L9224,A
Ba,2529.1680,249,C,2,nist,L9224,A
Ba,25930.31,0,B,2,nist,L9224,A
Ba,2635.5653,381,C,2,nist,L9224,A
Ba,2642.1579,0,C,2,nist,L9224,A
Ba,2648.0492,0,B,2,nist,L9224,A
Ba,2772.1711,0,B,2,nist,L9224,A
Ba,29067,0,B,2,nist,L862,A
Ba,3553.46,0,C,2,nist,L6094,A
Ba,3568.75,0,,2,nist,L6094,A
Ba,3577.30,0,C,2,nist,L6094,A
Ba,3597.60,0,,2,nist,L6094,A
Ba,3597.60,0,,2,nist,L6094,A
Ba,3736.81,0,,2,nist,L6094,A
Ba,3736.81,0,,2,nist,L6094,A
Ba,3817.77,0,E,2,nist,L6094,A
Ba,3843.89,0,E,2,nist,L6094,A
Ba,3855.85,0,,2,nist,L6094,A
Ba,3892.8817,500,B,2,nist,L9224,A
Ba,3915.84,0,,2,nist,L6094,A
Ba,3940.79,0,,2,nist,L6094,A
Ba,3950.63,0,,2,nist,L6094,A
Ba,3950.63,0,,2,nist,L6094,A
Ba,4037.40,0,,2,nist,L6094,A
Ba,4084.92,0,,2,nist,L6094,A
Ba,4131.8143,910,B,2,nist,L9224,A
Ba,4167.1758,103,B,2,nist,L9224,A
Ba,4217.23,0,B,2,nist,L6094,A
Ba,4269.1211,0,D,2,nist,L9224,A
Ba,4289.01,0,E,2,nist,L6094,A
Ba,4298.81,0,,2,nist,L6094,A
Ba,4310.4783,0,D,2,nist,L9224,A
Ba,4310.4783,0,D,2,nist,L9224,A
Ba,4326.95,0,B,2,nist,L6094,A
Ba,4327.96,0,,2,nist,L6094,A
Ba,4330.84,0,B,2,nist,L6094,A
Ba,4406.47,0,E,2,nist,L6094,A
Ba,4510.89,0,E,2,nist,L6094,A
Ba,4526.195,188,B,2,nist,L9224,A
Ba,4555.310,9300,B,2,nist,L9224,A
Ba,4710.26,0,B,2,nist,L6094,A
Ba,4844.81,0,B,2,nist,L6094,A
Ba,4848.49,0,C+,2,nist,L6094,A
Ba,4852.20,0,B,2,nist,L6094,A
Ba,4901.295,273,B,2,nist,L9224,A
Ba,4935.454,6900,B,2,nist,L9224,A
Ba,4958.475,0,C,2,nist,L9224,A
Ba,4999.20,0,C+,2,nist,L6094,A
Ba,5014.352,0,C,2,nist,L9224,A
Ba,5014.352,0,C,2,nist,L9224,A
Ba,5362.84,0,C+,2,nist,L6094,A
Ba,5393.10,0,C+,2,nist,L6094,A
Ba,5422.56,0,C+,2,nist,L6094,A
Ba,5430.30,0,C,2,nist,L6094,A
Ba,5481.82,0,C,2,nist,L6094,A
Ba,5785.78,0,B,2,nist,L6094,A
Ba,5855.298,331,B,2,nist,L9224,A
Ba,5982.91,0,B,2,nist,L6094,A
Ba,6001.51,0,B,2,nist,L6094,A
Ba,6137.53,0,B,2,nist,L6094,A
Ba,6143.413,1510,B,2,nist,L9224,A
Ba,6380.7,0,B,2,nist,L6094,A
Ba,6498.693,900,B,2,nist,L9224,A
Ba,6771.345,0,C,2,nist,L9224,A
Ba,6875.976,0,C,2,nist,L9224,A
Ba,6875.976,0,C,2,nist,L9224,A
Ba,8713.160,0,B,2,nist,L9224,A
Ba,8740.151,0,B,2,nist,L9224,A
Ba,8899.906,0,B,2,nist,L9224,A
Ba,9605.745,0,B,2,nist,L9224,A
