element,wavelength,intensity,acc,state,source,reference,unit
Be,100.86,0,,1,nist,L2305,A
Be,101.20,0,,1,nist,L2305,A
Be,102.13,0,,1,nist,L2305,A
Be,1025,0,,1,nist,L1790,A
Be,10333.86,0,B,1,nist,L483,A
Be,10333.86,0,B,1,nist,L483,A
Be,10333.86,0,B,1,nist,L483,A
Be,10333.86,0,B,1,nist,L483,A
Be,10333.86,0,B,1,nist,L483,A
Be,10333.86,0,B,1,nist,L483,A
Be,104.67,0,,1,nist,L2305,A
Be,104.67,0,,1,nist,L2305,A
Be,104.67,0,,1,nist,L2305,A
Be,104.67,0,,1,nist,L2305,A
Be,104.67,0,,1,nist,L2305,A
Be,104.67,0,,1,nist,L2305,A
Be,1045.8,0,,1,nist,L1790,A
Be,105.80,0,,1,nist,L2305,A
Be,105.80,0,,1,nist,L2305,A
Be,105.80,0,,1,nist,L2305,A
Be,107.26,0,,1,nist,L2305,A
Be,107.26,0,,1,nist,L2305,A
Be,107.26,0,,1,nist,L2305,A
Be,107.26,0,,1,nist,L2305,A
Be,107.26,0,,1,nist,L2305,A
Be,107.26,0,,1,nist,L2305,A
Be,107.38,0,,1,nist,L2305,A
Be,11069.09,0,B,1,nist,,A
Be,11069.09,0,B,1,nist,,A
Be,11069.09,0,B,1,nist,L4743,A
Be,11069.49,0,B,1,nist,L4743,A
Be,11069.49,0,B,1,nist,L4743,A
Be,11069.49,0,B,1,nist,L4743,A
Be,1134,0,,1,nist,L1790,A
Be,11499.54,0,B,1,nist,L483,A
Be,11499.54,0,B,1,nist,L483,A
Be,11499.54,0,B,1,nist,L483,A
Be,11499.54,0,B,1,nist,L483,A
Be,11499.54,0,B,1,nist,L483,A
Be,11499.54,0,,1,nist,L483,A
Be,1342.2,0,,1,nist,L1790,A
Be,1344.7,0,,1,nist,L1790,A
Be,1347.4,0,,1,nist,L1790,A
Be,1351.3,0,,1,nist,L1790,A
Be,1356.5,0,C,1,nist,L1790,A
Be,1364.3,0,C,1,nist,L1790,A
Be,1375.6,0,C,1,nist,L1790,A
Be,1393.9,0,C,1,nist,L1790,A
