element,wavelength,intensity,acc,state,source,reference,unit
Be,100.55,0,,2,nist,L12158,A
Be,100.55,0,,2,nist,L12158,A
Be,100.55,0,,2,nist,L12158,A
Be,100.55,0,,2,nist,L12158,A
Be,100.55,0,,2,nist,L12158,A
Be,100.55,0,,2,nist,L12158,A
Be,100.55,0,,2,nist,L12158,A
Be,100.778,0,,2,nist,L12158,A
Be,100.778,0,,2,nist,L12158,A
Be,100.778,0,,2,nist,L12158,A
Be,100.778,0,,2,nist,L12158,A
Be,100.949,0,,2,nist,L12158,A
Be,100.949,0,,2,nist,L12158,A
Be,100.949,0,,2,nist,L12158,A
Be,1006.5,0,,2,nist,L12158,A
Be,1006.5,0,,2,nist,L12158,A
Be,1006.5,0,,2,nist,L12158,A
Be,10098.29,210,,2,nist,L12158,A
Be,10098.50,310,,2,nist,L12158,A
Be,101.75,0,,2,nist,L12158,A
Be,101.75,0,,2,nist,L12158,A
Be,10122.69,510,,2,nist,L12158,A
Be,10122.69,510,,2,nist,L12158,A
Be,10122.69,510,,2,nist,L12158,A
Be,102.35,0,,2,nist,L12158,A
Be,102.35,0,,2,nist,L12158,A
Be,102.35,0,,2,nist,L12158,A
Be,102.49,0,,2,nist,L12158,A
Be,102.49,0,,2,nist,L12158,A
Be,1020.1,0,,2,nist,L12158,A
Be,1020.1,0,,2,nist,L12158,A
Be,1020.1,0,,2,nist,L12158,A
Be,1026.926,300,AA,2,nist,L12158,A
Be,1026.926,300,AA,2,nist,L12158,A
Be,1036.271,400,AA,2,nist,L12158,A
Be,104.01,0,,2,nist,L12158,A
Be,104.01,0,,2,nist,L12158,A
Be,104.01,0,,2,nist,L12158,A
Be,104.01,0,,2,nist,L12158,A
Be,104.40,0,,2,nist,L12158,A
Be,104.40,0,,2,nist,L12158,A
Be,104.65,0,,2,nist,L12158,A
Be,104.65,0,,2,nist,L12158,A
Be,104.65,0,,2,nist,L12158,A
Be,1048.234,300,A,2,nist,L12158,A
Be,1111.8,0,,2,nist,L12158,A
Be,1111.8,0,,2,nist,L12158,A
Be,1111.8,0,,2,nist,L12158,A
Be,1111.8,0,,2,nist,L12158,A
Be,11176.79,0,A,2,nist,L12158,A
Be,11176.79,0,A,2,nist,L12158,A
Be,1142.956,350,AA,2,nist,L12158,A
Be,1143.03,350,AA,2,nist,L12158,A
Be,1143.03,350,AA,2,nist,L12158,A
Be,1155.9,0,,2,nist,L12158,A
Be,1155.9,0,,2,nist,L12158,A
Be,1155.9,0,,2,nist,L12158,A
Be,1155.9,0,,2,nist,L12158,A
Be,1155.9,0,,2,nist,L12158,A
Be,1155.9,0,,2,nist,L12158,A
Be,1155.9,0,,2,nist,L12158,A
Be,11628.34,110,,2,nist,L12158,A
Be,11628.34,110,,2,nist,L12158,A
Be,11628.34,110,,2,nist,L12158,A
Be,11663.44,110,A,2,nist,L12158,A
Be,1187.5,0,,2,nist,L12158,A
Be,1187.5,0,,2,nist,L12158,A
Be,1187.5,0,,2,nist,L12158,A
Be,1197.19,500,AA,2,nist,L12158,A
Be,12098.67,610,AA,2,nist,L12158,A
Be,12101.49,410,AA,2,nist,L12158,A
Be,1512.258,810,AA,2,nist,L12158,A
Be,1512.412,960,AA,2,nist,L12158,A
Be,1512.412,960,AA,2,nist,L12158,A
Be,1776.100,610,AA,2,nist,L12158,A
Be,1776.307,810,AA,2,nist,L12158,A
Be,2161.954,0,,2,nist,L12158,A
Be,2161.954,0,,2,nist,L12158,A
Be,2223.79,0,,2,nist,L12158,A
Be,2223.79,0,,2,nist,L12158,A
Be,2223.79,0,,2,nist,L12158,A
Be,2297.68,250,A,2,nist,L12158,A
Be,2297.68,250,A,2,nist,L12158,A
Be,2297.68,250,A,2,nist,L12158,A
Be,2325.31,0,,2,nist,L12158,A
Be,2325.31,0,,2,nist,L12158,A
Be,2325.31,0,,2,nist,L12158,A
Be,2325.31,0,,2,nist,L12158,A
Be,2325.31,0,,2,nist,L12158,A
Be,2325.31,0,,2,nist,L12158,A
Be,2325.31,0,,2,nist,L12158,A
Be,2325.31,0,,2,nist,L12158,A
Be,2325.31,0,,2,nist,L12158,A
Be,2325.31,0,,2,nist,L12158,A
Be,2325.31,0,,2,nist,L12158,A
Be,2325.31,0,,2,nist,L12158,A
Be,2325.31,0,,2,nist,L12158,A
Be,2325.31,0,,2,nist,L12158,A
Be,2325.31,0,,2,nist,L12158,A
Be,2382.75,0,AA,2,nist,L12158,A
Be,2382.75,0,AA,2,nist,L12158,A
Be,2382.75,0,AA,2,nist,L12158,A
Be,2387.85,0,,2,nist,L12158,A
Be,2387.85,0,,2,nist,L12158,A
Be,2414.074,0,A,2,nist,L12158,A
Be,2414.189,210,A,2,nist,L12158,A
Be,2414.189,210,A,2,nist,L12158,A
Be,2454.587,310,A,2,nist,L12158,A
Be,2454.587,310,A,2,nist,L12158,A
Be,2508.184,210,AA,2,nist,L12158,A
Be,2508.184,210,AA,2,nist,L12158,A
Be,2508.184,210,AA,2,nist,L12158,A
Be,2563.7,0,,2,nist,L12158,A
Be,2563.7,0,,2,nist,L12158,A
Be,2563.7,0,,2,nist,L12158,A
Be,2600.0,0,,2,nist,L12158,A
Be,2600.0,0,,2,nist,L12158,A
Be,2600.0,0,,2,nist,L12158,A
Be,2600.0,0,,2,nist,L12158,A
Be,2600.0,0,,2,nist,L12158,A
Be,2600.0,0,,2,nist,L12158,A
Be,2600.0,0,,2,nist,L12158,A
Be,2600.0,0,,2,nist,L12158,A
Be,2600.0,0,,2,nist,L12158,A
Be,2618.766,110,A,2,nist,L12158,A
Be,2618.914,310,A,2,nist,L12158,A
Be,2618.914,310,A,2,nist,L12158,A
Be,2698.255,110,A,2,nist,L12158,A
Be,2698.385,310,A,2,nist,L12158,A
Be,2729.685,310,AA,2,nist,L12158,A
Be,2729.685,310,AA,2,nist,L12158,A
Be,2729.685,310,AA,2,nist,L12158,A
Be,2765.0,0,,2,nist,L12158,A
Be,2765.0,0,,2,nist,L12158,A
Be,2765.0,0,,2,nist,L12158,A
Be,2765.0,0,,2,nist,L12158,A
Be,2765.0,0,,2,nist,L12158,A
Be,2765.0,0,,2,nist,L12158,A
Be,2765.0,0,,2,nist,L12158,A
Be,2765.0,0,,2,nist,L12158,A
Be,2765.0,0,,2,nist,L12158,A
Be,2775.8,0,,2,nist,L12158,A
Be,2775.8,0,,2,nist,L12158,A
Be,2775.8,0,,2,nist,L12158,A
Be,2775.8,0,,2,nist,L12158,A
Be,2775.8,0,,2,nist,L12158,A
Be,2775.8,0,,2,nist,L12158,A
Be,2775.8,0,,2,nist,L12158,A
Be,2829.6,0,,2,nist,L12158,A
Be,2829.6,0,,2,nist,L12158,A
Be,2829.6,0,,2,nist,L12158,A
Be,2829.6,0,,2,nist,L12158,A
Be,2846.1,0,,2,nist,L12158,A
Be,2846.1,0,,2,nist,L12158,A
Be,2846.1,0,,2,nist,L12158,A
Be,2895.8,0,,2,nist,L12158,A
Be,2895.8,0,,2,nist,L12158,A
Be,2895.8,0,,2,nist,L12158,A
Be,2895.8,0,,2,nist,L12158,A
Be,2895.8,0,,2,nist,L12158,A
Be,2895.8,0,,2,nist,L12158,A
Be,2895.8,0,,2,nist,L12158,A
Be,2895.8,0,,2,nist,L12158,A
Be,3031.9,0,,2,nist,L12158,A
Be,3031.9,0,,2,nist,L12158,A
Be,3031.9,0,,2,nist,L12158,A
Be,3031.9,0,,2,nist,L12158,A
Be,3031.9,0,,2,nist,L12158,A
Be,3031.9,0,,2,nist,L12158,A
Be,3031.9,0,,2,nist,L12158,A
Be,3031.9,0,,2,nist,L12158,A
Be,3031.9,0,,2,nist,L12158,A
Be,3047.410,210,A,2,nist,L12158,A
Be,3047.577,410,A,2,nist,L12158,A
Be,3131.3292,2360,AAA,2,nist,L12158,A
Be,3131.9742,2160,AAA,2,nist,L12158,A
Be,3180.79,0,,2,nist,L12158,A
Be,3180.79,0,,2,nist,L12158,A
Be,3180.79,0,,2,nist,L12158,A
Be,3198.027,310,AA,2,nist,L12158,A
Be,3198.073,410,AA,2,nist,L12158,A
Be,3231.9,0,,2,nist,L12158,A
Be,3231.9,0,,2,nist,L12158,A
Be,3231.9,0,,2,nist,L12158,A
Be,3231.9,0,,2,nist,L12158,A
Be,3231.9,0,,2,nist,L12158,A
Be,3231.9,0,,2,nist,L12158,A
Be,3231.9,0,,2,nist,L12158,A
Be,3234.452,0,A,2,nist,L12158,A
Be,3234.452,0,A,2,nist,L12158,A
Be,3240.9,0,,2,nist,L12158,A
Be,3240.9,0,,2,nist,L12158,A
Be,3240.9,0,,2,nist,L12158,A
Be,3240.9,0,,2,nist,L12158,A
Be,3240.9,0,,2,nist,L12158,A
Be,3240.9,0,,2,nist,L12158,A
Be,3240.9,0,,2,nist,L12158,A
Be,3240.9,0,,2,nist,L12158,A
Be,3242.560,210,A,2,nist,L12158,A
Be,3242.762,410,A,2,nist,L12158,A
Be,3275.528,610,A,2,nist,L12158,A
Be,3275.614,410,A,2,nist,L12158,A
Be,3276.9,0,,2,nist,L12158,A
Be,3276.9,0,,2,nist,L12158,A
Be,3276.9,0,,2,nist,L12158,A
Be,3380.9,0,,2,nist,L12158,A
Be,3380.9,0,,2,nist,L12158,A
Be,3380.9,0,,2,nist,L12158,A
Be,3380.9,0,,2,nist,L12158,A
Be,3380.9,0,,2,nist,L12158,A
Be,3380.9,0,,2,nist,L12158,A
Be,3380.9,0,,2,nist,L12158,A
Be,3380.9,0,,2,nist,L12158,A
Be,3380.9,0,,2,nist,L12158,A
Be,3380.9,0,,2,nist,L12158,A
Be,3406.38,0,,2,nist,L12158,A
Be,3406.38,0,,2,nist,L12158,A
Be,3406.38,0,,2,nist,L12158,A
Be,3406.38,0,,2,nist,L12158,A
Be,3406.38,0,,2,nist,L12158,A
Be,3406.38,0,,2,nist,L12158,A
Be,3406.38,0,,2,nist,L12158,A
Be,3406.38,0,,2,nist,L12158,A
Be,3406.38,0,,2,nist,L12158,A
Be,3406.38,0,,2,nist,L12158,A
Be,3436.0,0,,2,nist,L12158,A
Be,3436.0,0,,2,nist,L12158,A
Be,3436.0,0,,2,nist,L12158,A
Be,3511.52,0,,2,nist,L12158,A
Be,3511.52,0,,2,nist,L12158,A
Be,3511.52,0,,2,nist,L12158,A
Be,3511.52,0,,2,nist,L12158,A
Be,3511.52,0,,2,nist,L12158,A
Be,3511.52,0,,2,nist,L12158,A
Be,3511.52,0,,2,nist,L12158,A
Be,3511.52,0,,2,nist,L12158,A
Be,3511.52,0,,2,nist,L12158,A
Be,3531.0,0,,2,nist,L12158,A
Be,3531.0,0,,2,nist,L12158,A
Be,3531.0,0,,2,nist,L12158,A
Be,3625.0,0,,2,nist,L12158,A
Be,3625.0,0,,2,nist,L12158,A
Be,3625.0,0,,2,nist,L12158,A
Be,3625.0,0,,2,nist,L12158,A
Be,3625.0,0,,2,nist,L12158,A
Be,3625.0,0,,2,nist,L12158,A
Be,3625.0,0,,2,nist,L12158,A
Be,3625.0,0,,2,nist,L12158,A
Be,3625.0,0,,2,nist,L12158,A
Be,3625.0,0,,2,nist,L12158,A
Be,3637.0,0,,2,nist,L12158,A
Be,3637.0,0,,2,nist,L12158,A
Be,3637.0,0,,2,nist,L12158,A
Be,3637.0,0,,2,nist,L12158,A
Be,3637.0,0,,2,nist,L12158,A
Be,3637.0,0,,2,nist,L12158,A
Be,3637.0,0,,2,nist,L12158,A
Be,3637.0,0,,2,nist,L12158,A
Be,3661.0,0,,2,nist,L12158,A
Be,3661.0,0,,2,nist,L12158,A
Be,3661.0,0,,2,nist,L12158,A
Be,3661.0,0,,2,nist,L12158,A
Be,3661.0,0,,2,nist,L12158,A
Be,3661.0,0,,2,nist,L12158,A
Be,3661.0,0,,2,nist,L12158,A
Be,3661.0,0,,2,nist,L12158,A
Be,3661.0,0,,2,nist,L12158,A
Be,3661.0,0,,2,nist,L12158,A
Be,3709.1,0,,2,nist,L12158,A
Be,3709.1,0,,2,nist,L12158,A
Be,3709.1,0,,2,nist,L12158,A
Be,3709.1,0,,2,nist,L12158,A
Be,3709.1,0,,2,nist,L12158,A
Be,3709.1,0,,2,nist,L12158,A
Be,3709.1,0,,2,nist,L12158,A
Be,3709.1,0,,2,nist,L12158,A
Be,3750.4,0,,2,nist,L12158,A
Be,3750.4,0,,2,nist,L12158,A
Be,3750.4,0,,2,nist,L12158,A
Be,3750.4,0,,2,nist,L12158,A
Be,3750.4,0,,2,nist,L12158,A
Be,3750.4,0,,2,nist,L12158,A
Be,3750.4,0,,2,nist,L12158,A
Be,3750.4,0,,2,nist,L12158,A
Be,3786.1,0,,2,nist,L12158,A
Be,3786.1,0,,2,nist,L12158,A
Be,3786.1,0,,2,nist,L12158,A
Be,3786.1,0,,2,nist,L12158,A
Be,3786.1,0,,2,nist,L12158,A
Be,3786.1,0,,2,nist,L12158,A
Be,3786.1,0,,2,nist,L12158,A
Be,3786.1,0,,2,nist,L12158,A
Be,3786.1,0,,2,nist,L12158,A
Be,3786.1,0,,2,nist,L12158,A
Be,3853.1,0,,2,nist,L12158,A
Be,3853.1,0,,2,nist,L12158,A
Be,3853.1,0,,2,nist,L12158,A
Be,3853.1,0,,2,nist,L12158,A
Be,3853.1,0,,2,nist,L12158,A
Be,3853.1,0,,2,nist,L12158,A
Be,3853.1,0,,2,nist,L12158,A
Be,3853.1,0,,2,nist,L12158,A
Be,3996.6,0,,2,nist,L12158,A
Be,3996.6,0,,2,nist,L12158,A
Be,3996.6,0,,2,nist,L12158,A
Be,4040.5,0,,2,nist,L12158,A
Be,4040.5,0,,2,nist,L12158,A
Be,4040.5,0,,2,nist,L12158,A
Be,4040.5,0,,2,nist,L12158,A
Be,4040.5,0,,2,nist,L12158,A
Be,4040.5,0,,2,nist,L12158,A
Be,4040.5,0,,2,nist,L12158,A
Be,4040.5,0,,2,nist,L12158,A
Be,4040.5,0,,2,nist,L12158,A
Be,4253.3,0,,2,nist,L12158,A
Be,4253.3,0,,2,nist,L12158,A
Be,4253.3,0,,2,nist,L12158,A
Be,4330.77,0,,2,nist,L12158,A
Be,4330.77,0,,2,nist,L12158,A
Be,4330.77,0,,2,nist,L12158,A
Be,4330.77,0,,2,nist,L12158,A
Be,4330.77,0,,2,nist,L12158,A
Be,4330.77,0,,2,nist,L12158,A
Be,4330.77,0,,2,nist,L12158,A
Be,4330.77,0,,2,nist,L12158,A
Be,4330.77,0,,2,nist,L12158,A
Be,4334.39,0,,2,nist,L12158,A
Be,4334.39,0,,2,nist,L12158,A
Be,4334.39,0,,2,nist,L12158,A
Be,4361.889,810,A,2,nist,L12158,A
Be,4362.214,960,A,2,nist,L12158,A
Be,4372.33,0,,2,nist,L12158,A
Be,4372.33,0,,2,nist,L12158,A
Be,4372.33,0,,2,nist,L12158,A
Be,4372.33,0,,2,nist,L12158,A
Be,4372.33,0,,2,nist,L12158,A
Be,4372.33,0,,2,nist,L12158,A
Be,4372.33,0,,2,nist,L12158,A
Be,4372.33,0,,2,nist,L12158,A
Be,4372.33,0,,2,nist,L12158,A
Be,4405.25,0,,2,nist,L12158,A
Be,4405.25,0,,2,nist,L12158,A
Be,4405.25,0,,2,nist,L12158,A
Be,4469.03,0,,2,nist,L12158,A
Be,4469.03,0,,2,nist,L12158,A
Be,4477.80,0,,2,nist,L12158,A
Be,4477.80,0,,2,nist,L12158,A
Be,4536.67,0,,2,nist,L12158,A
Be,4536.67,0,,2,nist,L12158,A
Be,4536.67,0,,2,nist,L12158,A
Be,4541.80,0,,2,nist,L12158,A
Be,4541.80,0,,2,nist,L12158,A
Be,4541.80,0,,2,nist,L12158,A
Be,4549.05,0,,2,nist,L12158,A
Be,4549.05,0,,2,nist,L12158,A
Be,4549.05,0,,2,nist,L12158,A
Be,4597.3,0,,2,nist,L12158,A
Be,4597.3,0,,2,nist,L12158,A
Be,4597.3,0,,2,nist,L12158,A
Be,4597.3,0,,2,nist,L12158,A
Be,4597.3,0,,2,nist,L12158,A
Be,4597.3,0,,2,nist,L12158,A
Be,4597.3,0,,2,nist,L12158,A
Be,4597.3,0,,2,nist,L12158,A
Be,4611.3,0,,2,nist,L12158,A
Be,4611.3,0,,2,nist,L12158,A
Be,4611.3,0,,2,nist,L12158,A
Be,4611.3,0,,2,nist,L12158,A
Be,4611.3,0,,2,nist,L12158,A
Be,4611.3,0,,2,nist,L12158,A
Be,4611.3,0,,2,nist,L12158,A
Be,4665.05,0,,2,nist,L12158,A
Be,4665.05,0,,2,nist,L12158,A
Be,4665.05,0,,2,nist,L12158,A
Be,4665.05,0,,2,nist,L12158,A
Be,4665.05,0,,2,nist,L12158,A
Be,4665.05,0,,2,nist,L12158,A
Be,4665.05,0,,2,nist,L12158,A
Be,4665.05,0,,2,nist,L12158,A
Be,4674.637,1060,AA,2,nist,L12158,A
Be,4674.731,1160,AA,2,nist,L12158,A
Be,4703.89,0,A,2,nist,L12158,A
Be,4703.89,0,A,2,nist,L12158,A
Be,4703.89,0,A,2,nist,L12158,A
Be,4809.12,0,,2,nist,L12158,A
Be,4809.12,0,,2,nist,L12158,A
Be,4829.508,710,A,2,nist,L12158,A
Be,4829.508,710,A,2,nist,L12158,A
Be,4853.55,0,,2,nist,L12158,A
Be,4853.55,0,,2,nist,L12158,A
Be,4853.55,0,,2,nist,L12158,A
Be,4859.58,110,,2,nist,L12158,A
Be,4859.58,110,,2,nist,L12158,A
Be,4859.58,110,,2,nist,L12158,A
Be,5219.568,110,A,2,nist,L12158,A
Be,5219.779,310,A,2,nist,L12158,A
Be,5219.779,310,A,2,nist,L12158,A
Be,5257.32,210,,2,nist,L12158,A
Be,5257.32,210,,2,nist,L12158,A
Be,5271.751,810,AA,2,nist,L12158,A
Be,5272.278,960,AA,2,nist,L12158,A
Be,5404.542,310,,2,nist,L12158,A
Be,5404.542,310,,2,nist,L12158,A
Be,5404.542,310,,2,nist,L12158,A
Be,5411.710,310,,2,nist,L12158,A
Be,5411.710,310,,2,nist,L12158,A
Be,5411.710,310,,2,nist,L12158,A
Be,5417.21,0,A,2,nist,L12158,A
Be,5417.21,0,A,2,nist,L12158,A
Be,5442.41,0,,2,nist,L12158,A
Be,5442.41,0,,2,nist,L12158,A
Be,5442.41,0,,2,nist,L12158,A
Be,601.5,0,,2,nist,L12158,A
Be,601.5,0,,2,nist,L12158,A
Be,601.5,0,,2,nist,L12158,A
Be,601.5,0,,2,nist,L12158,A
Be,604.1,0,,2,nist,L12158,A
Be,604.1,0,,2,nist,L12158,A
Be,604.1,0,,2,nist,L12158,A
Be,604.1,0,,2,nist,L12158,A
Be,604.1,0,,2,nist,L12158,A
Be,604.1,0,,2,nist,L12158,A
Be,604.1,0,,2,nist,L12158,A
Be,609.6,0,,2,nist,L12158,A
Be,609.6,0,,2,nist,L12158,A
Be,609.6,0,,2,nist,L12158,A
Be,609.6,0,,2,nist,L12158,A
Be,609.6,0,,2,nist,L12158,A
Be,609.6,0,,2,nist,L12158,A
Be,609.6,0,,2,nist,L12158,A
Be,609.6,0,,2,nist,L12158,A
Be,6281.164,210,A,2,nist,L12158,A
Be,6281.467,410,A,2,nist,L12158,A
Be,6281.467,410,A,2,nist,L12158,A
Be,6549.695,510,,2,nist,L12158,A
Be,6549.695,510,,2,nist,L12158,A
Be,6549.695,510,,2,nist,L12158,A
Be,6560.177,510,,2,nist,L12158,A
Be,6560.177,510,,2,nist,L12158,A
Be,6560.177,510,,2,nist,L12158,A
Be,6638.27,110,,2,nist,L12158,A
Be,6638.27,110,,2,nist,L12158,A
Be,6638.27,110,,2,nist,L12158,A
Be,664.5,0,,2,nist,L12158,A
Be,664.5,0,,2,nist,L12158,A
Be,664.5,0,,2,nist,L12158,A
Be,664.5,0,,2,nist,L12158,A
Be,664.5,0,,2,nist,L12158,A
Be,664.5,0,,2,nist,L12158,A
Be,664.5,0,,2,nist,L12158,A
Be,664.5,0,,2,nist,L12158,A
Be,6758.59,0,A,2,nist,L12158,A
Be,6759.00,110,A,2,nist,L12158,A
Be,707.2,0,A,2,nist,L12158,A
Be,707.2,0,A,2,nist,L12158,A
Be,714.2,0,,2,nist,L12158,A
Be,714.2,0,,2,nist,L12158,A
Be,714.2,0,,2,nist,L12158,A
Be,714.2,0,,2,nist,L12158,A
Be,714.2,0,,2,nist,L12158,A
Be,714.2,0,,2,nist,L12158,A
Be,714.2,0,,2,nist,L12158,A
Be,714.2,0,,2,nist,L12158,A
Be,714.2,0,,2,nist,L12158,A
Be,714.2,0,,2,nist,L12158,A
Be,714.2,0,,2,nist,L12158,A
Be,714.2,0,,2,nist,L12158,A
Be,714.2,0,,2,nist,L12158,A
Be,714.2,0,,2,nist,L12158,A
Be,714.2,0,,2,nist,L12158,A
Be,714.6,0,A,2,nist,L12158,A
Be,714.6,0,A,2,nist,L12158,A
Be,714.6,0,,2,nist,L12158,A
Be,714.6,0,,2,nist,L12158,A
