element,wavelength,intensity,acc,state,source,reference,unit
Bi,1058.88,0,,2,nist,L3331,A
Bi,1085.47,0,,2,nist,L3331,A
Bi,1099.20,0,,2,nist,L3331,A
Bi,1163.19,0,,2,nist,L3331,A
Bi,1167.06,0,,2,nist,L3331,A
Bi,1225.43,0,,2,nist,L3331,A
Bi,1232.78,0,,2,nist,L3331,A
Bi,1241.045,0,,2,nist,L9843,A
Bi,1265.35,0,,2,nist,L3331,A
Bi,1283.715,0,,2,nist,L9843,A
Bi,1306.18,0,,2,nist,L3331,A
Bi,1325.46,0,,2,nist,L3331,A
Bi,1329.47,0,,2,nist,L3331,A
Bi,1350.07,0,,2,nist,L3331,A
Bi,1372.61,0,,2,nist,L3331,A
Bi,1376.02,0,,2,nist,L3331,A
Bi,1393.92,0,,2,nist,L3331,A
Bi,1436.810,0,,2,nist,L9843,A
Bi,1447.94,0,,2,nist,L3331,A
Bi,1455.091,0,,2,nist,L9843,A
Bi,1462.14,0,,2,nist,L3331,A
Bi,1486.954,0,,2,nist,L9843,A
Bi,1502.50,0,,2,nist,L3331,A
Bi,1520.549,0,,2,nist,L9843,A
Bi,1533.139,0,,2,nist,L9843,A
Bi,1536.745,0,,2,nist,L9843,A
Bi,1538.037,0,,2,nist,L9843,A
Bi,1563.67,0,,2,nist,L3331,A
Bi,1573.69,0,,2,nist,L9843,A
Bi,1591.76,0,,2,nist,L9843,A
Bi,1601.58,0,,2,nist,L3331,A
Bi,1609.69,0,,2,nist,L9843,A
Bi,1611.358,0,,2,nist,L9843,A
Bi,1652.81,0,,2,nist,L3331,A
Bi,1749.29,0,,2,nist,L3331,A
Bi,1777.05,0,,2,nist,L9843,A
Bi,1787.406,0,,2,nist,L9843,A
Bi,1791.842,0,,2,nist,L9843,A
Bi,1823.728,0,,2,nist,L9843,A
Bi,1902.341,100,,2,nist,L9843,A
Bi,1989.35,0,,2,nist,L3331,A
Bi,2069.598,0,,2,nist,L9843,A
Bi,2144.08,0,,2,nist,L3331,A
Bi,2144.14,0,,2,nist,L3331,A
Bi,2187.614,0,,2,nist,L9887,A
Bi,2214.721,0,,2,nist,L9887,A
Bi,2368.84,0,,2,nist,L3331,A
Bi,2369.108,0,,2,nist,L9887,A
Bi,2501.8,0,,2,nist,L3331,A
Bi,2545.3,0,,2,nist,L3331,A
Bi,2693.8,0,,2,nist,L3331,A
Bi,2714.1,0,,2,nist,L3331,A
Bi,2804.25,0,,2,nist,L3331,A
Bi,2804.53,0,,2,nist,L3331,A
Bi,2806.1,0,,2,nist,L3331,A
Bi,2937.6,0,,2,nist,L3331,A
Bi,2951.3,0,,2,nist,L3331,A
Bi,2964.3,0,,2,nist,L3331,A
Bi,3431.589,0,,2,nist,L9887,A
Bi,3432.21,0,,2,nist,L3331,A
Bi,3655.2,0,,2,nist,L3331,A
Bi,3793.641,0,,2,nist,L9887,A
Bi,3812.2,0,,2,nist,L3331,A
Bi,3816.9,0,,2,nist,L3331,A
Bi,3846.9,0,,2,nist,L3331,A
Bi,3865.121,0,,2,nist,L9887,A
Bi,4080.224,0,,2,nist,L9887,A
Bi,4098.4,0,,2,nist,L3331,A
Bi,4260.612,0,,2,nist,L9887,A
Bi,4273.2,0,,2,nist,L3331,A
Bi,4302.907,0,,2,nist,L9887,A
Bi,4341.0,0,,2,nist,L3331,A
Bi,4341.7,0,,2,nist,L3331,A
Bi,4380.6,0,,2,nist,L3331,A
Bi,4478.1,0,,2,nist,L3331,A
Bi,4706.602,0,,2,nist,L9887,A
Bi,4731.590,0,,2,nist,L9887,A
Bi,4751.0,0,,2,nist,L3331,A
Bi,4909.6,0,,2,nist,L3331,A
Bi,4918.0,0,,2,nist,L3331,A
Bi,4971.1,0,,2,nist,L3331,A
Bi,4995.0,0,,2,nist,L3331,A
Bi,5093.0,0,,2,nist,L3331,A
Bi,5125.784,0,,2,nist,L9887,A
Bi,5145.925,0,,2,nist,L9887,A
Bi,5202.9,0,,2,nist,L3331,A
Bi,5210.775,0,,2,nist,L9887,A
Bi,5271.979,0,,2,nist,L9887,A
Bi,5399.3,0,,2,nist,L3331,A
Bi,5656.8,0,,2,nist,L3331,A
Bi,5720.725,0,,2,nist,L9887,A
Bi,5819.9,0,,2,nist,L3331,A
Bi,5861.8,0,,2,nist,L3331,A
Bi,5974.7,0,,2,nist,L3331,A
Bi,6060.8,0,,2,nist,L3331,A
Bi,6129.7,0,,2,nist,L3331,A
Bi,6499.5,0,,2,nist,L3331,A
Bi,6579.0,0,,2,nist,L3331,A
Bi,6602.162,0,,2,nist,L3331,A
Bi,6811.075,0,,2,nist,L3331,A
Bi,7035,0,,2,nist,L3331,A
Bi,7383,0,,2,nist,L3331,A
Bi,7639,0,,2,nist,L3331,A
Bi,7750,0,,2,nist,L3331,A
Bi,7967,0,,2,nist,L3331,A
Bi,8050,0,,2,nist,L3331,A
Bi,8330,0,,2,nist,L3331,A
Bi,8390,0,,2,nist,L3331,A
Bi,8534,0,,2,nist,L3331,A
Bi,8655,0,,2,nist,L3331,A
Bi,8865,0,,2,nist,L3331,A
