element,wavelength,intensity,acc,state,source,reference,unit
Bi,1007.151,9100,D+,3,nist,L21488,A
Bi,1007.244,9100,D+,3,nist,L21488,A
Bi,1008.840,6900,D+,3,nist,L21488,A
Bi,1028.172,7900,D+,3,nist,L21488,A
Bi,1036.230,8000,D+,3,nist,L21488,A
Bi,1037.770,2700,E,3,nist,L21488,A
Bi,1039.993,8600,E,3,nist,"L21488,L17416,L3331",A
Bi,1045.736,140000,C,3,nist,"L21488,L17416,L3331",A
Bi,1049.368,3500,D+,3,nist,L21488,A
Bi,1049.962,7400,D+,3,nist,L21488,A
Bi,1051.787,62000,D+,3,nist,"L9843,L21488,L17416,L3331",A
Bi,1053.028,15000,D+,3,nist,L21488,A
Bi,1056.304,7500,E,3,nist,L21488,A
Bi,1058.539,2400,D+,3,nist,L21488,A
Bi,1063.398,6500,D+,3,nist,L21488,A
Bi,1069.354,1300,E,3,nist,L21488,A
Bi,1075.459,2000,D,3,nist,L21488,A
Bi,1080.533,6100,D+,3,nist,L21488,A
Bi,1098.137,6800,D+,3,nist,L21488,A
Bi,1098.245,6400,C,3,nist,L21488,A
Bi,1101.896,5700,D+,3,nist,L21488,A
Bi,1108.391,3800,D+,3,nist,L21488,A
Bi,1119.933,5300,D+,3,nist,L21488,A
Bi,1125.306,1700,D+,3,nist,L21488,A
Bi,1130.311,1900,E,3,nist,L21488,A
Bi,1131.360,5800,D+,3,nist,L21488,A
Bi,1132.337,5200,D+,3,nist,L21488,A
Bi,1138.973,17000,D+,3,nist,"L21488,L17416,L3331",A
Bi,1145.918,16000,D+,3,nist,"L9843,L21488,L17416,L3331",A
Bi,1161.721,5200,D+,3,nist,L21488,A
Bi,1174.320,4800,D+,3,nist,L21488,A
Bi,1176.364,4900,D+,3,nist,L21488,A
Bi,1188.453,4300,D,3,nist,L21488,A
Bi,1200.593,3800,D+,3,nist,L21488,A
Bi,1203.472,3300,D+,3,nist,L21488,A
Bi,1204.2661,3300,E,3,nist,"L9843,L21488,L17416,L3331",A
Bi,1207.544,3700,D+,3,nist,L21488,A
Bi,1216.837,4000,D+,3,nist,L21488,A
Bi,1224.617,100000,E,3,nist,"L9843,L21488,L17416,L3331",A
Bi,1226.202,3800,D,3,nist,L21488,A
Bi,1245.361,3500,D+,3,nist,L21488,A
Bi,1248.904,2100,D+,3,nist,L21488,A
Bi,1272.595,890,D+,3,nist,L21488,A
Bi,1283.073,740,D+,3,nist,L21488,A
Bi,1284.500,1900,E,3,nist,L21488,A
Bi,1286.054,420,D+,3,nist,L21488,A
Bi,1287.257,2300,D+,3,nist,L21488,A
Bi,1296.143,1900,D+,3,nist,L21488,A
Bi,1304.140,2800,E,3,nist,L21488,A
Bi,1312.768,460,D+,3,nist,L21488,A
Bi,1326.848,27000,E,3,nist,"L9843,L21488,L17416,L3331",A
Bi,1328.705,170,D+,3,nist,L21488,A
Bi,1330.153,1900,D+,3,nist,L21488,A
Bi,1335.171,1800,D+,3,nist,L21488,A
Bi,1343.044,2000,D+,3,nist,L21488,A
Bi,1346.104,12000,D+,3,nist,"L9843,L21488,L17416,L3331",A
Bi,1362.718,870,D+,3,nist,"L21488,L3331",A
Bi,1362.779,1100,D+,3,nist,"L21488,L3331",A
Bi,1370.458,280,E,3,nist,L21488,A
Bi,1370.834,780,D+,3,nist,"L21488,L3331",A
Bi,1386.747,1800,D+,3,nist,L21488,A
Bi,1394.482,1600,D+,3,nist,L21488,A
Bi,1423.4123,13000,D+,3,nist,"L9843,L21488,L17416,L3331",A
Bi,1433.754,1800,D+,3,nist,L21488,A
Bi,1460.9656,10000,D+,3,nist,"L9843,L21488,L17416,L3331",A
Bi,1474.443,300,D+,3,nist,L21488,A
Bi,1488.437,500,D+,3,nist,"L21488,L3331",A
Bi,1490.586,160,E,3,nist,L21488,A
Bi,1513.160,220,E,3,nist,"L21488,L3331",A
Bi,1526.581,270,D+,3,nist,L21488,A
Bi,1543.720,930,D+,3,nist,L21488,A
Bi,1556.488,1500,D,3,nist,L21488,A
Bi,1568.787,550,D+,3,nist,L21488,A
Bi,1606.4292,3300,D+,3,nist,"L9843,L21488,L3331",A
Bi,1630.154,210,D+,3,nist,"L21488,L3331",A
Bi,1633.686,160,E,3,nist,L21488,A
Bi,1659.306,150,D+,3,nist,"L21488,L3331",A
Bi,1673.979,120,E,3,nist,"L21488,L3331",A
Bi,1722.827,0,D+,3,nist,"L21488,L3331",A
Bi,1765.807,350,D+,3,nist,L21488,A
Bi,1788.439,0,D+,3,nist,L21488,A
Bi,1834.287,290,D+,3,nist,"L21488,L3331",A
Bi,1852.731,200,D+,3,nist,"L21488,L3331",A
Bi,1863.751,250,D+,3,nist,"L21488,L3331",A
Bi,1880.24,140,D+,3,nist,"L3331,L21488",A
Bi,1882.527,100,D+,3,nist,L21488,A
Bi,1883.64,140,D+,3,nist,"L3331,L21488",A
Bi,1912.054,270,D+,3,nist,"L21488,L3331",A
Bi,1927.72,0,D+,3,nist,"L3331,L21488",A
Bi,1931.438,0,D+,3,nist,L21488,A
Bi,1988.257,270,D+,3,nist,"L21488,L3331",A
Bi,2021.610,140,E,3,nist,"L9843,L21488,L3331",A
Bi,2066.45,240,D+,3,nist,"L3331,L21488",A
Bi,2069.58,120,D+,3,nist,"L3331,L21488",A
Bi,2070.63,170,D+,3,nist,"L3331,L21488",A
Bi,2073.858,2300,D+,3,nist,"L9843,L21488,L3331",A
Bi,2104.17,660,D+,3,nist,"L3331,L21488",A
Bi,2120.32,200,D+,3,nist,"L3331,L21488",A
Bi,2139.53,0,D+,3,nist,"L3331,L21488",A
Bi,2166.98,0,E,3,nist,"L3331,L21488",A
Bi,2182.10,190,D+,3,nist,"L3331,L21488",A
Bi,2184.75,640,D+,3,nist,"L3331,L21488",A
Bi,2192.40,150,D+,3,nist,"L3331,L21488",A
Bi,2214.27,1300,D+,3,nist,"L3331,L21488",A
Bi,2415.425,13000,C,3,nist,"L9843,L21488,L3331",A
Bi,2438.13,0,D+,3,nist,"L3331,L21488",A
Bi,2438.32,300,C,3,nist,"L3331,L21488",A
Bi,2444.04,220,C,3,nist,"L3331,L21488",A
Bi,2499.65,140,D+,3,nist,"L3331,L21488",A
Bi,2558.28,0,D+,3,nist,"L3331,L21488",A
