element,wavelength,intensity,acc,state,source,reference,unit
Bk,10128.98,10000,,1,nist,L3610,A
Bk,10189.37,10000,,1,nist,L3610,A
Bk,10295.26,10000,,1,nist,L3610,A
Bk,10530.59,10000,,1,nist,L3610,A
Bk,10573.43,10000,,1,nist,L3610,A
Bk,11296.23,10000,,1,nist,L3610,A
Bk,11503.45,10000,,1,nist,L3610,A
Bk,11578.51,10000,,1,nist,L3610,A
Bk,11796.32,10000,,1,nist,L3610,A
Bk,12162.38,10000,,1,nist,L3610,A
Bk,13064.70,10000,,1,nist,L3610,A
Bk,13502.05,10000,,1,nist,L3610,A
Bk,14200.81,10000,,1,nist,L3610,A
Bk,15140.24,10000,,1,nist,L3610,A
Bk,19279.13,10000,,1,nist,L3610,A
Bk,19658.59,10000,,1,nist,L3610,A
Bk,23909.37,10000,,1,nist,L3610,A
Bk,24199.22,10000,,1,nist,L3610,A
Bk,3240.65,10000,,1,nist,L4703,A
Bk,3253.13,10000,,1,nist,L4703,A
Bk,3289.70,10000,,1,nist,L4703,A
Bk,3290.30,10000,,1,nist,L4703,A
Bk,3336.22,10000,,1,nist,L4703,A
Bk,3409.26,10000,,1,nist,L4703,A
Bk,3427.93,10000,,1,nist,L4703,A
Bk,3433.60,10000,,1,nist,L4703,A
Bk,3438.46,10000,,1,nist,L4703,A
Bk,3443.65,10000,,1,nist,L4703,A
Bk,3454.89,10000,,1,nist,L4703,A
Bk,3529.73,10000,,1,nist,L4703,A
Bk,3532.41,10000,,1,nist,L4703,A
Bk,3536.74,10000,,1,nist,L4703,A
Bk,3554.62,10000,,1,nist,L4703,A
Bk,3556.90,10000,,1,nist,L4703,A
Bk,3557.54,10000,,1,nist,L4703,A
Bk,3591.34,10000,,1,nist,L4703,A
Bk,3596.91,10000,,1,nist,L4703,A
Bk,3602.15,10000,,1,nist,L4703,A
Bk,3628.64,10000,,1,nist,L4703,A
Bk,3638.09,10000,,1,nist,L4703,A
Bk,3641.30,10000,,1,nist,L4703,A
Bk,3676.64,10000,,1,nist,L4703,A
Bk,3685.48,10000,,1,nist,L4703,A
Bk,3686.26,10000,,1,nist,L4703,A
Bk,3687.79,10000,,1,nist,L4703,A
Bk,3693.78,10000,,1,nist,L4703,A
Bk,3696.42,10000,,1,nist,L4703,A
Bk,3704.33,10000,,1,nist,L4703,A
Bk,3705.07,10000,,1,nist,L4703,A
Bk,3706.31,10000,,1,nist,L4703,A
Bk,3713.99,10000,,1,nist,L4703,A
Bk,3726.45,10000,,1,nist,L4703,A
Bk,3740.98,10000,,1,nist,L4703,A
Bk,3744.11,10000,,1,nist,L4703,A
Bk,3746.46,10000,,1,nist,L4703,A
Bk,3751.15,10000,,1,nist,L4703,A
Bk,3752.98,10000,,1,nist,L4703,A
Bk,3758.42,10000,,1,nist,L4703,A
Bk,3758.92,10000,,1,nist,L4703,A
Bk,3781.79,10000,,1,nist,L4703,A
Bk,3782.24,10000,,1,nist,L4703,A
Bk,3786.46,10000,,1,nist,L4703,A
Bk,3789.29,10000,,1,nist,L4703,A
Bk,3792.50,10000,,1,nist,L4703,A
Bk,3797.29,10000,,1,nist,L4703,A
Bk,3799.71,10000,,1,nist,L4703,A
Bk,3803.43,10000,,1,nist,L4703,A
Bk,3803.55,10000,,1,nist,L4703,A
Bk,3816.37,10000,,1,nist,L4703,A
Bk,3826.28,10000,,1,nist,L4703,A
Bk,3828.50,10000,,1,nist,L4703,A
Bk,3831.64,10000,,1,nist,L4703,A
Bk,3843.28,10000,,1,nist,L4703,A
Bk,3847.71,10000,,1,nist,L4703,A
Bk,3848.72,10000,,1,nist,L4703,A
Bk,3856.12,10000,,1,nist,L4703,A
Bk,3881.21,10000,,1,nist,L4703,A
Bk,3883.70,10000,,1,nist,L4703,A
Bk,3922.53,10000,,1,nist,L4703,A
Bk,4330.80,10000,,1,nist,L4703,A
Bk,4352.72,10000,,1,nist,L4703,A
