element,wavelength,intensity,acc,state,source,reference,unit
Bk,2748.83,10000,,2,nist,L4703,A
Bk,2828.40,10000,,2,nist,L4703,A
Bk,2872.95,10000,,2,nist,L4703,A
Bk,2879.41,10000,,2,nist,L4703,A
Bk,2885.62,10000,,2,nist,L4703,A
Bk,2890.65,10000,,2,nist,L4703,A
Bk,2894.51,10000,,2,nist,L4703,A
Bk,2911.50,10000,,2,nist,L4703,A
Bk,2942.57,10000,,2,nist,L4703,A
Bk,2952.62,10000,,2,nist,L4703,A
Bk,2970.00,10000,,2,nist,L4703,A
Bk,2988.63,10000,,2,nist,L4703,A
Bk,3179.39,10000,,2,nist,L4703,A
Bk,3248.20,10000,,2,nist,L4703,A
Bk,3264.41,10000,,2,nist,L4703,A
Bk,3303.30,10000,,2,nist,L4703,A
Bk,3388.42,10000,,2,nist,L4703,A
Bk,3413.11,10000,,2,nist,L4703,A
Bk,3462.23,10000,,2,nist,L4703,A
Bk,3465.12,10000,,2,nist,L4703,A
Bk,3473.01,10000,,2,nist,L4703,A
Bk,3478.62,10000,,2,nist,L4703,A
Bk,3543.20,10000,,2,nist,L4703,A
Bk,3568.27,10000,,2,nist,L4703,A
Bk,3604.23,10000,,2,nist,L4703,A
Bk,3641.97,10000,,2,nist,L4703,A
Bk,3682.27,10000,,2,nist,L4703,A
Bk,3712.20,10000,,2,nist,L4703,A
Bk,3772.13,10000,,2,nist,L4703,A
Bk,3802.16,10000,,2,nist,L4703,A
Bk,3824.18,10000,,2,nist,L4703,A
Bk,3825.17,10000,,2,nist,L4703,A
Bk,3826.93,10000,,2,nist,L4703,A
Bk,3832.66,10000,,2,nist,L4703,A
Bk,3837.06,10000,,2,nist,L4703,A
Bk,3860.98,10000,,2,nist,L4703,A
Bk,3879.04,10000,,2,nist,L4703,A
Bk,3895.65,10000,,2,nist,L4703,A
Bk,3907.20,10000,,2,nist,L4703,A
Bk,3913.27,10000,,2,nist,L4703,A
Bk,3917.48,10000,,2,nist,L4703,A
Bk,3929.16,10000,,2,nist,L4703,A
Bk,4148.30,10000,,2,nist,L4703,A
Bk,4190.87,10000,,2,nist,L4703,A
Bk,4198.62,10000,,2,nist,L4703,A
Bk,5136.96,10000,,2,nist,L4703,A
Bk,5513.75,10000,,2,nist,L4703,A
Bk,9865.09,10000,,2,nist,L3610,A
