element,wavelength,intensity,acc,state,source,reference,unit
Br,1012.10,500,,2,nist,L7392,A
Br,1015.54,1000,,2,nist,L7484,A
Br,1037.02,500,,2,nist,L7392,A
Br,1049.00,1000,,2,nist,L7484,A
Br,1064.76,450,,2,nist,L7484,A
Br,1071.87,500,,2,nist,L7392,A
Br,2285.88,350,,2,nist,L7392,A
Br,2288.31,350,,2,nist,L7392,A
Br,2318.01,500,,2,nist,L7392,A
Br,2337.65,400,,2,nist,L7392,A
Br,2387.18,350,,2,nist,L7392,A
Br,2387.43,500,,2,nist,L7392,A
Br,2389.42,300,,2,nist,L7392,A
Br,2389.69,450,,2,nist,L7392,A
Br,2390.42,500,,2,nist,L7392,A
Br,2392.94,350,,2,nist,L7392,A
Br,2393.15,400,,2,nist,L7392,A
Br,2489.25,300,,2,nist,L7392,A
Br,2495.97,300,,2,nist,L7392,A
Br,2522.46,450,,2,nist,L7392,A
Br,2542.24,400,,2,nist,L7392,A
Br,2557.69,400,,2,nist,L7392,A
Br,2690.97,350,,2,nist,L7392,A
Br,2714.57,400,,2,nist,L7392,A
Br,2747.33,350,,2,nist,L7392,A
Br,2808.38,300,,2,nist,L7392,A
Br,2894.25,400,,2,nist,L7392,A
Br,2918.03,400,,2,nist,L7392,A
Br,2968.08,400,,2,nist,L7392,A
Br,2973.13,500,,2,nist,L7392,A
Br,2982.73,300,,2,nist,L7392,A
Br,2986.74,300,,2,nist,L7392,A
Br,2987.40,300,,2,nist,L7392,A
Br,3017.36,300,,2,nist,L7392,A
Br,3424.80,350,,2,nist,L7484,A
Br,3607.83,300,,2,nist,L7392,A
Br,3715.36,350,,2,nist,L7484,A
Br,3835.78,350,,2,nist,L7484,A
Br,3872.31,300,,2,nist,L7484,A
Br,3892.73,400,,2,nist,L7484,A
Br,3902.35,300,,2,nist,L7484,A
Br,3915.31,300,,2,nist,L7484,A
Br,3915.49,500,,2,nist,L7484,A
Br,3920.62,350,,2,nist,L7484,A
Br,3925.20,400,,2,nist,L7484,A
Br,3930.66,300,,2,nist,L7484,A
Br,3940.81,350,,2,nist,L7484,A
Br,3951.73,350,,2,nist,L7484,A
Br,3981.51,500,,2,nist,L7484,A
Br,4025.18,300,,2,nist,L7484,A
Br,4136.83,300,,2,nist,L7484,A
Br,4141.37,300,,2,nist,L7484,A
Br,4180.81,400,,2,nist,L7484,A
Br,4194.63,300,,2,nist,L7484,A
Br,4225.08,1000,,2,nist,L7484,A
Br,4238.08,300,,2,nist,L7484,A
Br,4292.60,300,,2,nist,L7392,A
Br,4366.83,1000,,2,nist,L7484,A
Br,4530.87,300,,2,nist,L7484,A
Br,4544.19,500,,2,nist,L7484,A
Br,4602.65,300,,2,nist,L7484,A
Br,4623.99,350,,2,nist,L7392,A
Br,4643.32,300,,2,nist,L7484,A
Br,4653.28,300,,2,nist,L7484,A
Br,4680.01,500,,2,nist,L7484,A
Br,4694.48,400,,2,nist,L7392,A
Br,4706.17,500,,2,nist,L7484,A
Br,4721.08,350,,2,nist,L7484,A
Br,4721.68,400,,2,nist,L7484,A
Br,4729.52,300,,2,nist,L7392,A
Br,4736.73,300,,2,nist,L7484,A
Br,4743.97,400,,2,nist,L7392,A
Br,4767.33,350,,2,nist,L7484,A
Br,4780.74,400,,2,nist,L7484,A
Br,4786.84,500,,2,nist,L7484,A
Br,4803.67,300,,2,nist,L7484,A
Br,4818.05,500,,2,nist,L7484,A
Br,4819.81,300,,2,nist,L7392,A
Br,4846.16,350,,2,nist,L7392,A
Br,4850.10,350,,2,nist,L7484,A
Br,4922.49,400,,2,nist,L7392,A
Br,4930.17,400,,2,nist,L7484,A
Br,4932.04,450,,2,nist,L7484,A
Br,4946.89,300,,2,nist,L7392,A
Br,5040.15,300,,2,nist,L7484,A
Br,5056.05,300,,2,nist,L7484,A
Br,5165.82,400,,2,nist,L7484,A
Br,5181.45,300,,2,nist,L7392,A
Br,5183.79,500,,2,nist,L7484,A
Br,5195.35,300,,2,nist,L7484,A
Br,5239.69,500,,2,nist,L7484,A
Br,5274.15,300,,2,nist,L7392,A
Br,5305.58,350,,2,nist,L7484,A
Br,5332.05,400,,2,nist,L7392,A
Br,5333.53,500,,2,nist,L7484,A
Br,5424.29,400,,2,nist,L7484,A
Br,5426.50,350,,2,nist,L7484,A
Br,5436.58,300,,2,nist,L7392,A
Br,5479.99,350,,2,nist,L7392,A
Br,5490.32,300,,2,nist,L7484,A
Br,5496.59,300,,2,nist,L7484,A
Br,5508.22,500,,2,nist,L7392,A
Br,5591.49,350,,2,nist,L7484,A
Br,5720.30,300,,2,nist,L7392,A
Br,5832.40,300,,2,nist,L7484,A
Br,6163.45,300,,2,nist,L7484,A
Br,6354.70,400,,2,nist,L7484,A
Br,711.68,300,,2,nist,L7484,A
Br,815.48,250,,2,nist,L7484,A
Br,856.19,350,,2,nist,L7484,A
Br,889.23,1000,,2,nist,L7484,A
Br,896.64,500,,2,nist,L7484,A
Br,9026.90,350,,2,nist,L7392,A
Br,905.99,500,,2,nist,L7484,A
Br,922.56,300,,2,nist,L7484,A
Br,9436.63,300,,2,nist,L7392,A
Br,948.97,1000,,2,nist,L7484,A
Br,984.93,500,,2,nist,L7484,A
