element,wavelength,intensity,acc,state,source,reference,unit
C,10126.635,1600000,C+,1,nist,L12175c183,A
C,10452.77,36000,C,1,nist,L9405c184,A
C,10544.10,760000,D,1,nist,L9405c184,A
C,10686.0103,34000000,B,1,nist,L12175c183,A
C,10688.2751,15000000,B,1,nist,L12175c183,A
C,10694.1781,46000000,B,1,nist,L12175c183,A
C,10710.2686,14000000,B,1,nist,L12175c183,A
C,10732.4722,13000000,B,1,nist,L12175c183,A
C,10756.93,3900000,B,1,nist,L9405c184,A
C,1103.42,46000,,1,nist,L8834c153,A
C,1103.600,170000,,1,nist,L8445,A
C,1103.860,190000,,1,nist,L8445,A
C,1103.860,190000,E,1,nist,L8445,A
C,1104.160,220000,,1,nist,L8445,A
C,1104.160,220000,E,1,nist,L8445,A
C,1104.220,9500,,1,nist,L5455,A
C,1104.220,9500,E,1,nist,L5455,A
C,1104.550,180000,E,1,nist,L8445,A
C,1104.59,230000,,1,nist,L8834,A
C,1104.590,9500,E,1,nist,L5455,A
C,1104.590,9500,,1,nist,L5455,A
C,1104.96,150000,,1,nist,L8834,A
C,1104.960,190000,,1,nist,L8445,A
C,1104.975,38000,,1,nist,L5455,A
C,1104.975,38000,E,1,nist,L5455,A
C,1105.140,110000,,1,nist,L8445,A
C,1105.466,58000,E,1,nist,L5455,A
C,1105.466,58000,,1,nist,L5455,A
C,1105.470,190000,,1,nist,L8445,A
C,1105.470,190000,E,1,nist,L8445,A
C,1105.750,140000,,1,nist,L8445,A
C,1106.070,190000,,1,nist,L8445,A
C,1106.077,120000,,1,nist,L5455,A
C,1106.077,120000,E,1,nist,L5455,A
C,1106.290,160000,,1,nist,L8445,A
C,1106.290,160000,E,1,nist,L8445,A
C,1106.446,49000,,1,nist,L5455,A
C,1106.446,49000,E,1,nist,L5455,A
C,1106.446,49000,E,1,nist,L5455,A
C,1106.500,220000,,1,nist,L8445,A
C,1106.516,88000,E,1,nist,L5455,A
C,1106.516,88000,,1,nist,L5455,A
C,1106.800,300000,,1,nist,L8445,A
C,1106.802,130000,E,1,nist,L5455,A
C,1106.802,130000,,1,nist,L5455,A
C,1107.252,59000,E,1,nist,L5455,A
C,1107.252,59000,,1,nist,L5455,A
C,1107.320,99000,E,1,nist,L5455,A
C,1107.320,99000,,1,nist,L5455,A
C,1107.320,99000,E,1,nist,L5455,A
C,1107.340,270000,,1,nist,L8445,A
C,1107.633,100000,E,1,nist,L5455,A
C,1107.633,100000,,1,nist,L5455,A
C,1107.68,410000,,1,nist,L8834,A
C,1107.700,250000,E,1,nist,L8445,A
C,1107.731,200000,,1,nist,L5455,A
C,1107.731,200000,E,1,nist,L5455,A
C,1107.941,48000,E,1,nist,L5455,A
C,1108.100,330000,,1,nist,L8445,A
C,1108.170,60000,,1,nist,L5455,A
C,1108.170,60000,E,1,nist,L5455,A
C,1108.40,480000,,1,nist,L8834,A
C,1108.440,400000,,1,nist,L8445,A
C,1108.483,150000,,1,nist,L5455,A
C,1108.483,150000,,1,nist,L5455,A
C,1108.483,150000,E,1,nist,L5455,A
C,1108.483,150000,E,1,nist,L5455,A
C,1108.483,150000,E,1,nist,L5455,A
C,1108.800,260000,E,1,nist,L8445,A
C,1108.828,200000,,1,nist,L5455,A
C,1108.828,200000,E,1,nist,L5455,A
C,1109.043,130000,E,1,nist,L5455,A
C,1109.240,130000,,1,nist,L8445,A
C,1109.262,140000,E,1,nist,L5455,A
C,1109.262,140000,,1,nist,L5455,A
C,1109.639,170000,E,1,nist,L5455,A
C,1109.639,170000,,1,nist,L5455,A
C,1109.639,170000,,1,nist,L5455,A
C,1109.840,570000,,1,nist,L8445,A
C,1109.858,93000,,1,nist,L5455,A
C,1109.858,93000,E,1,nist,L5455,A
C,1109.858,93000,E,1,nist,L5455,A
C,1110.170,300000,,1,nist,L8445,A
C,1110.182,300000,E,1,nist,L5455,A
C,1110.182,300000,E,1,nist,L5455,A
C,1110.190,300000,E,1,nist,L8445,A
C,1110.190,300000,,1,nist,L8445,A
C,1110.228,310000,E,1,nist,L5455,A
C,1110.228,310000,,1,nist,L5455,A
C,1110.410,72000,E,1,nist,L5455,A
C,1110.677,210000,,1,nist,L5455,A
C,1110.677,210000,E,1,nist,L5455,A
C,1111.012,150000,E,1,nist,L5455,A
C,1111.012,150000,,1,nist,L5455,A
C,1111.409,100000,,1,nist,L5455,A
C,1111.420,120000,,1,nist,L8445,A
C,1111.600,220000,,1,nist,L8445,A
C,1111.612,200000,,1,nist,L5455,A
C,1111.612,200000,E,1,nist,L5455,A
C,1111.612,200000,E,1,nist,L5455,A
C,1111.727,42000,E,1,nist,L5455,A
C,1111.90,320000,E,1,nist,L5455,A
C,1111.90,320000,E,1,nist,L5455,A
