element,wavelength,intensity,acc,state,source,reference,unit
C,1009.863,91000,A,2,nist,"L22145,L21249,L3492,L477,L3383,L8445",A
C,1010.088,120000,A,2,nist,"L22145,L21249,L3492,L477,L3383,L8445",A
C,1010.376,130000,A,2,nist,"L22145,L21249,L3492,L477,L3383,L8445",A
C,1036.335,110000,A,2,nist,"L22145,L21249,L3492,L477,L3383,L8445",A
C,1037.020,140000,A,2,nist,"L22145,L21249,L3492,L477,L3383,L8445",A
C,1063.300,2300,C+,2,nist,L3492,A
C,1063.300,2300,C,2,nist,L3492,A
C,1063.300,2300,C+,2,nist,L3492,A
C,1065.892,40000,A,2,nist,"L22145,L21249,L3492,L8445",A
C,1066.135,28000,A,2,nist,"L22145,L21249,L3492,L8445",A
C,1091.930,3700,C,2,nist,L3492,A
C,1092.240,2300,,2,nist,L3492,A
C,1092.422,2300,,2,nist,L3492,A
C,1092.738,5700,C,2,nist,"L22145,L3492,L8445",A
C,1138.937,3200,B,2,nist,"L22145,L3492,L8445",A
C,1139.341,4900,B,2,nist,"L22145,L21249,L3492,L8445",A
C,1139.489,1300,B,2,nist,L3492,A
C,1141.622,3500,B,2,nist,"L22145,L21249,L3492,L477",A
C,1141.745,2300,B,2,nist,"L22145,L21249,L3492",A
C,1323.908,38000,A,2,nist,"L22145,L8445,L3492,L21249",A
C,1323.908,38000,A,2,nist,"L22145,L8445,L3492,L21249",A
C,1323.948,76000,A,2,nist,"L22145,L8445,L3492,L21249",A
C,1323.948,76000,A,2,nist,"L22145,L8445,L3492,L21249",A
C,1334.5323,160000,A,2,nist,"L22145,L551,L21615",A
C,1335.6628,31000,A,2,nist,"L22145,L551",A
C,1335.7079,250000,A,2,nist,"L22145,L551,L21615",A
C,1720.439,610,B,2,nist,L3492,A
C,1720.990,990,B,2,nist,L3492,A
C,1721.659,1600,B,2,nist,L3492,A
C,1722.211,610,B,2,nist,L3492,A
C,1760.3954,2200,A,2,nist,"L22145,L551",A
C,1760.8191,1500,A,2,nist,"L22145,L551",A
C,1987.330,0,B,2,nist,L1176,A
C,1987.760,150,B,2,nist,L1176,A
C,1988.090,210,B,2,nist,L1176,A
C,1988.510,0,B,2,nist,L1176,A
C,2018.59,0,B,2,nist,L1176,A
C,2019.03,0,B,2,nist,L1176,A
C,2052.45,0,B,2,nist,L1176,A
C,2052.45,0,B,2,nist,L1176,A
C,2052.45,0,B,2,nist,L1176,A
C,2052.82,0,B,2,nist,L1176,A
C,2091.83,0,B,2,nist,L1176,A
C,2091.83,0,B,2,nist,L1176,A
C,2092.29,0,B,2,nist,L1176,A
C,2092.29,0,B,2,nist,L1176,A
C,2093.795,0,B,2,nist,L1176,A
C,2115.39,0,B,2,nist,L1176,A
C,2138.091,140,B,2,nist,L1176,A
C,2138.571,220,B,2,nist,L1176,A
C,2155.38,0,B,2,nist,L1176,A
C,2156.07,0,B,2,nist,L1176,A
C,2156.96,0,B,2,nist,L1176,A
C,2174.529,190,B,2,nist,L1176,A
C,2174.849,120,B,2,nist,L1176,A
C,2188.164,0,B,2,nist,L1176,A
C,2189.074,0,B+,2,nist,L1176,A
C,2189.405,0,B,2,nist,L1176,A
C,2190.305,0,B,2,nist,L1176,A
C,2241.75,0,B,2,nist,L1176,A
C,2241.75,0,B,2,nist,L1176,A
C,2242.80,0,B,2,nist,L1176,A
C,2255.93,0,C,2,nist,L1176,A
C,2256.38,0,C,2,nist,L1176,A
C,2256.89,0,C,2,nist,L1176,A
C,2256.89,0,C,2,nist,L1176,A
C,2257.49,0,,2,nist,L1176,A
C,2268.471,0,B,2,nist,L1176,A
C,2269.612,0,B,2,nist,L1176,A
C,2270.062,0,B,2,nist,L1176,A
C,2270.402,0,B,2,nist,L1176,A
C,2270.90,0,B,2,nist,L1176,A
C,2270.90,0,B,2,nist,L1176,A
C,2324.23,0,A,2,nist,"L22145,L4509,L11613,L17711",A
C,2325.43,0,A,2,nist,"L22145,L4509,L11613,L17711,L1122",A
C,2326.121,0,A,2,nist,"L22145,L4509,L11613,L17711,L1122",A
C,2327.68,0,A,2,nist,"L22145,L4509,L11613,L17711",A
C,2328.86,0,A,2,nist,"L22145,L4509,L11613,L17711,L1122",A
C,2375.81,0,C,2,nist,L1176,A
C,2375.81,0,C,2,nist,L1176,A
C,2375.81,0,C,2,nist,L1176,A
C,2402.492,120,B,2,nist,L1176,A
C,2403.133,200,B,2,nist,L1176,A
C,2427.44,0,B,2,nist,L1176,A
C,2427.44,0,B,2,nist,L1176,A
C,2431.518,0,B,2,nist,L1176,A
C,2432.86,0,C,2,nist,L1176,A
C,2433.64,0,,2,nist,L1176,A
C,2434.228,0,B,2,nist,L1176,A
C,2434.98,0,C+,2,nist,L1176,A
C,2435.55,0,C,2,nist,L1176,A
C,2435.55,0,C,2,nist,L1176,A
C,2435.55,0,C,2,nist,L1176,A
C,2491.62,0,C,2,nist,L1176,A
C,2491.62,0,,2,nist,L1176,A
C,2491.62,0,C,2,nist,L1176,A
C,2492.12,0,C,2,nist,L1176,A
C,2509.877,670,A,2,nist,L1176,A
C,2512.490,250,A,2,nist,L1176,A
C,2512.821,1000,A,2,nist,L1176,A
C,2539.743,0,B,2,nist,L1176,A
C,2541.153,0,B,2,nist,L1176,A
C,2541.643,0,B,2,nist,L1176,A
C,2544.21,0,B,2,nist,L1176,A
C,2544.21,0,B,2,nist,L1176,A
C,2547.57,0,B,2,nist,L1176,A
C,2548.11,0,B,2,nist,L1176,A
C,2548.11,0,B,2,nist,L1176,A
