element,wavelength,intensity,acc,state,source,reference,unit
C,1174.93,370,A+,3,nist,L1113,A
C,1175.26,350,A+,3,nist,L1113,A
C,1175.59,330,A+,3,nist,L1113,A
C,1175.71,500,A+,3,nist,L1113,A
C,1175.99,350,A+,3,nist,L1113,A
C,1176.37,370,A+,3,nist,L1113,A
C,2163.62,250,B,3,nist,L1113,A
C,2297.58,800,A+,3,nist,L1113,A
C,2698.55,150,B,3,nist,L1113,A
C,2725.66,110,,3,nist,L1113,A
C,2726.11,150,,3,nist,L1113,A
C,2726.71,150,,3,nist,L1113,A
C,2982.98,200,B,3,nist,L1113,A
C,371.69,250,B,3,nist,L1113,A
C,371.75,250,B,3,nist,L1113,A
C,371.78,150,B,3,nist,L1113,A
C,386.203,500,B,3,nist,L1113,A
C,4057.21,150,B,3,nist,L4827,A
C,4069.09,200,C+,3,nist,L1113,A
C,4070.06,250,C+,3,nist,L1113,A
C,4070.06,250,C+,3,nist,L1113,A
C,4071.41,250,C+,3,nist,L1113,A
C,4164.03,150,C+,3,nist,L4827,A
C,4188.08,250,B,3,nist,L1113,A
C,4326.78,200,B,3,nist,L1113,A
C,450.734,200,B,3,nist,L1113,A
C,459.46,400,B+,3,nist,L1113,A
C,459.52,500,B+,3,nist,L1113,A
C,459.52,500,B+,3,nist,L1113,A
C,459.63,570,B+,3,nist,L1113,A
C,4648.72,600,B+,3,nist,L1113,A
C,4651.55,520,B+,3,nist,L1113,A
C,4652.77,375,B+,3,nist,L1113,A
C,4667.17,200,B,3,nist,L1113,A
C,511.522,250,B,3,nist,L1113,A
C,535.288,250,B,3,nist,L1113,A
C,538.080,300,B+,3,nist,L1113,A
C,538.149,350,B+,3,nist,L1113,A
C,538.312,400,B+,3,nist,L1113,A
C,5697.50,450,B,3,nist,L1113,A
C,574.281,350,A,3,nist,L1113,A
C,5828.04,150,B,3,nist,L4827,A
C,6746.24,150,B,3,nist,L1113,A
C,7039.19,150,B,3,nist,L1113,A
C,7614.75,150,C+,3,nist,L1113,A
C,8198.73,300,,3,nist,L1113,A
C,8335.28,150,B,3,nist,L1113,A
C,8502.66,300,B,3,nist,L1113,A
C,977.03,800,A+,3,nist,L1113,A
