element,wavelength,intensity,acc,state,source,reference,unit
Ca,10346.64,0,,1,nist,L6097,A
Ca,10841.94,0,,1,nist,L6097,A
Ca,10864.56,0,,1,nist,L6097,A
Ca,10866.85,0,,1,nist,L6097,A
Ca,10872.48,0,,1,nist,L6097,A
Ca,10882.85,0,,1,nist,L6097,A
Ca,12819.55,0,,1,nist,L6097,A
Ca,12827.37,0,,1,nist,L6097,A
Ca,12912.63,0,,1,nist,L6097,A
Ca,13037.13,0,,1,nist,L6097,A
Ca,13090.02,0,,1,nist,L6097,A
Ca,13138.54,0,,1,nist,L6097,A
Ca,16155.18,0,,1,nist,L6097,A
Ca,16161.77,0,,1,nist,L6097,A
Ca,16201.46,0,,1,nist,L6097,A
Ca,18930.64,0,,1,nist,L6097,A
Ca,18975.32,0,,1,nist,L6097,A
Ca,19051.34,0,,1,nist,L6097,A
Ca,19314.47,0,,1,nist,L6097,A
Ca,19458.30,0,,1,nist,L6097,A
Ca,19511.05,0,,1,nist,L6097,A
Ca,19782.19,0,,1,nist,L6097,A
Ca,19858.52,0,,1,nist,L6097,A
Ca,19867.64,0,,1,nist,L6097,A
Ca,19922.63,0,,1,nist,L6097,A
Ca,19939.14,0,,1,nist,L6097,A
Ca,2151.48,0,C,1,nist,L6097,A
Ca,2201.42,0,C,1,nist,L6097,A
Ca,22614.10,0,,1,nist,L6097,A
Ca,22631.10,0,,1,nist,L6097,A
Ca,22657.41,0,,1,nist,L6097,A
Ca,2276.16,0,C+,1,nist,L6097,A
Ca,2399.29,0,C+,1,nist,L6097,A
Ca,2722.46,0,D,1,nist,L6097,A
Ca,2995.83,0,C,1,nist,L6097,A
Ca,2998.18,0,C,1,nist,L6097,A
Ca,3000.51,0,C,1,nist,L6097,A
Ca,3001.73,0,C,1,nist,L6097,A
Ca,3007.74,0,C,1,nist,L6097,A
Ca,3010.09,0,C,1,nist,L6097,A
Ca,3025.82,0,,1,nist,L6097,A
Ca,3035.42,0,,1,nist,L6097,A
Ca,3046.63,0,,1,nist,L6097,A
Ca,3056.21,0,,1,nist,L6097,A
Ca,3072.46,0,,1,nist,L6097,A
Ca,3077.84,0,,1,nist,L6097,A
Ca,3081.68,0,,1,nist,L6097,A
Ca,3100.20,0,,1,nist,L6097,A
Ca,3136.93,0,D,1,nist,L6097,A
Ca,3141.70,0,D,1,nist,L6097,A
Ca,3151.66,0,D,1,nist,L6097,A
Ca,3181.44,0,D,1,nist,L6097,A
Ca,3210.89,0,D,1,nist,L6097,A
Ca,3216.10,0,D,1,nist,L6097,A
Ca,3216.27,0,D,1,nist,L6097,A
Ca,3226.83,0,D,1,nist,L6097,A
Ca,3227.08,0,D,1,nist,L6097,A
Ca,3275.61,0,D,1,nist,L6097,A
Ca,3287.02,0,D,1,nist,L6097,A
Ca,3345.47,0,C,1,nist,L6097,A
Ca,3351.17,0,C,1,nist,L6097,A
Ca,3351.32,0,C,1,nist,L6097,A
