element,wavelength,intensity,acc,state,source,reference,unit
Ca,10225.84,100,,2,nist,L6097,A
Ca,11842.23,0,D,2,nist,L7323,A
Ca,11952.99,0,D,2,nist,L7323,A
Ca,1341.89,0,,2,nist,L7256,A
Ca,1342.54,0,,2,nist,L7256,A
Ca,1432.50,0,C,2,nist,L7256,A
Ca,1433.75,0,C,2,nist,L7256,A
Ca,1433.75,0,C,2,nist,L7256,A
Ca,1553.18,0,C,2,nist,L7256,A
Ca,1554.64,0,C,2,nist,L7256,A
Ca,1554.64,0,C,2,nist,L7256,A
Ca,1642.80,0,D,2,nist,L7256,A
Ca,1643.77,0,D,2,nist,L7256,A
Ca,1644.44,0,D,2,nist,L7256,A
Ca,1649.86,0,,2,nist,L7256,A
Ca,1651.99,0,,2,nist,L7256,A
Ca,1673.86,0,C,2,nist,L7256,A
Ca,1680.05,0,C,2,nist,L7256,A
Ca,1680.13,0,C,2,nist,L7256,A
Ca,1691.78,0,C,2,nist,L7256,A
Ca,1698.18,0,C,2,nist,L7256,A
Ca,1807.34,0,C,2,nist,L7256,A
Ca,1814.50,0,C,2,nist,L7256,A
Ca,1814.65,0,C,2,nist,L7256,A
Ca,1838.01,0,C,2,nist,L7256,A
Ca,1840.06,0,C,2,nist,L7256,A
Ca,1840.06,0,C,2,nist,L7256,A
Ca,1843.09,0,C,2,nist,L7256,A
Ca,1850.69,0,C,2,nist,L7256,A
Ca,2103.91,0,C,2,nist,L7323,A
Ca,2113.43,0,C,2,nist,L7323,A
Ca,2113.82,0,C,2,nist,L7323,A
Ca,2129.42,0,D,2,nist,L7323,A
Ca,2132.18,0,D,2,nist,L7323,A
Ca,2132.97,0,D,2,nist,L7323,A
Ca,21394.84,0,,2,nist,L7323,A
Ca,21434.75,0,,2,nist,L7323,A
Ca,2198.48,0,C,2,nist,L7323,A
Ca,2209.30,0,C,2,nist,L7323,A
Ca,3126.09,0,,2,nist,L6097,A
Ca,3159.78,170,C,2,nist,L7323,A
Ca,3180.25,180,C,2,nist,L7323,A
Ca,3182.20,150,C,2,nist,L7323,A
Ca,3308.97,0,,2,nist,L6097,A
Ca,3317.46,0,,2,nist,L6097,A
Ca,3348.00,0,,2,nist,L7323,A
Ca,3453.65,0,,2,nist,L7323,A
Ca,3462.86,0,,2,nist,L7323,A
Ca,3486.61,0,,2,nist,L6097,A
Ca,3496.16,0,,2,nist,L7323,A
Ca,3684.75,0,,2,nist,L7323,A
Ca,3695.16,0,,2,nist,L7323,A
Ca,3695.41,0,,2,nist,L7323,A
Ca,3707.08,170,C,2,nist,L7323,A
Ca,3737.96,180,C,2,nist,L7323,A
Ca,3740.44,0,,2,nist,L7323,A
Ca,3756.74,0,,2,nist,L7323,A
Ca,3759.46,0,,2,nist,L7323,A
Ca,3934.77,230,C,2,nist,L7323,A
Ca,3969.59,220,C,2,nist,L7323,A
Ca,4098.26,0,D,2,nist,L7323,A
Ca,4110.98,0,D,2,nist,L7323,A
Ca,4111.44,0,D,2,nist,L7323,A
Ca,4207.36,0,D,2,nist,L7323,A
Ca,4221.26,0,D,2,nist,L7323,A
Ca,4473.29,0,,2,nist,L7323,A
Ca,4480.49,0,,2,nist,L7323,A
Ca,4490.44,0,,2,nist,L7323,A
Ca,4718.06,0,,2,nist,L7323,A
Ca,4722.35,0,,2,nist,L7323,A
Ca,4801.31,0,,2,nist,L7323,A
Ca,5002.88,0,D,2,nist,L7323,A
Ca,5021.37,0,D,2,nist,L7323,A
Ca,5022.54,0,D,2,nist,L7323,A
Ca,5286.74,0,D,2,nist,L7323,A
Ca,5308.70,0,D,2,nist,L7323,A
Ca,5340.68,0,,2,nist,L7323,A
Ca,5924.36,0,,2,nist,L7323,A
Ca,5925.33,0,,2,nist,L7323,A
Ca,6458.65,0,,2,nist,L7323,A
Ca,7293.48,0,E,2,nist,L7323,A
Ca,7325.91,0,E,2,nist,L7323,A
Ca,7577.90,0,,2,nist,L6097,A
Ca,7583.20,0,,2,nist,L6097,A
Ca,7603.39,0,,2,nist,L6097,A
Ca,7604.41,0,,2,nist,L6097,A
Ca,7822.93,0,,2,nist,L6097,A
Ca,7845.54,0,,2,nist,L6097,A
Ca,8019.70,0,,2,nist,L7323,A
Ca,8022.71,0,,2,nist,L7323,A
Ca,8135.29,0,,2,nist,L6097,A
Ca,8203.97,100,C,2,nist,L7323,A
Ca,8251.07,110,C,2,nist,L7323,A
Ca,8257.00,0,C,2,nist,L7323,A
Ca,8500.35,130,C,2,nist,L7323,A
Ca,8544.44,170,C,2,nist,L7323,A
Ca,8664.52,160,C,2,nist,L7323,A
Ca,8914.52,100,,2,nist,L7323,A
Ca,8929.81,110,,2,nist,L7323,A
Ca,9216.43,110,,2,nist,L6097,A
Ca,9314.56,0,,2,nist,L6097,A
Ca,9322.12,100,,2,nist,L6097,A
Ca,9323.21,110,,2,nist,L6097,A
Ca,9570.59,100,,2,nist,L6097,A
Ca,9601.87,110,,2,nist,L6097,A
Ca,9604.45,0,,2,nist,L6097,A
Ca,9857.44,0,D,2,nist,L7323,A
Ca,9893.34,110,,2,nist,L7323,A
Ca,9934.11,0,D,2,nist,L7323,A
