element,wavelength,intensity,acc,state,source,reference,unit
Cd,1048.38,0,,2,nist,L3540,A
Cd,1055.83,0,,2,nist,L3540,A
Cd,1062.23,0,,4,nist,L3283,A
Cd,1118.16,150,,4,nist,L3283,A
Cd,1126.00,0,,4,nist,L3283,A
Cd,1134.08,0,,4,nist,L3283,A
Cd,1139.04,0,,4,nist,L3283,A
Cd,1154.64,0,,4,nist,L3283,A
Cd,1155.73,0,,4,nist,L3283,A
Cd,1164.65,100,,4,nist,L3283,A
Cd,1165.78,0,,4,nist,L3283,A
Cd,11658,0,,1,nist,L7381,A
Cd,1167.30,0,,4,nist,L3283,A
Cd,1168.58,0,,2,nist,L3540,A
Cd,1179.73,0,,4,nist,L3283,A
Cd,1183.07,0,,4,nist,L3283,A
Cd,1183.40,100,,4,nist,L3283,A
Cd,1194.13,0,,4,nist,L3283,A
Cd,1195.63,0,,4,nist,L3283,A
Cd,1196.47,0,,4,nist,L3283,A
Cd,1196.69,0,,2,nist,L3540,A
Cd,1198.93,0,,4,nist,L3283,A
Cd,1203.34,0,,2,nist,L3540,A
Cd,1215.38,0,,4,nist,L3283,A
Cd,1223.52,0,,4,nist,L3283,A
Cd,1233.10,0,E,2,nist,L3540,A
Cd,1233.32,0,,2,nist,L3540,A
Cd,1242.54,0,E,2,nist,L3540,A
Cd,1246.06,0,,4,nist,L3283,A
Cd,1246.56,0,,4,nist,L3283,A
Cd,1249.94,0,,4,nist,L3283,A
Cd,1256.00,100,,2,nist,L3540,A
Cd,1266.47,0,,4,nist,L3283,A
Cd,1274.41,0,,4,nist,L3283,A
Cd,1281.73,0,D+,2,nist,L3540,A
Cd,1282.12,0,,2,nist,L3540,A
Cd,1285.63,0,,4,nist,L3283,A
Cd,1287.58,0,,4,nist,L3283,A
Cd,1296.43,150,,2,nist,L3540,A
Cd,1299.46,0,,4,nist,L3283,A
Cd,1304.36,0,,4,nist,L3283,A
Cd,1306.07,0,,4,nist,L3283,A
Cd,1316.89,0,,4,nist,L3283,A
Cd,1321.85,0,,4,nist,L3283,A
Cd,1325.55,0,,4,nist,L3283,A
Cd,1326.50,100,D+,2,nist,L3540,A
Cd,1340.97,0,,4,nist,L3283,A
Cd,1346.15,0,,4,nist,L3283,A
Cd,1354.78,0,,4,nist,L3283,A
Cd,1358.11,0,,4,nist,L3283,A
Cd,1362.55,0,,4,nist,L3283,A
Cd,1370.48,0,,4,nist,L3283,A
Cd,1370.91,150,D+,2,nist,L3540,A
Cd,1371.65,0,,2,nist,L3540,A
Cd,1380.98,0,,4,nist,L3283,A
Cd,1383.60,0,,3,nist,L3540,A
Cd,1392.10,0,,3,nist,L3540,A
Cd,1396.78,0,,3,nist,L3540,A
Cd,1397.65,0,,4,nist,L3283,A
Cd,1403.68,0,,4,nist,L3283,A
Cd,1406.58,0,,4,nist,L3283,A
Cd,1416.28,0,,3,nist,L3540,A
Cd,1418.89,0,,4,nist,L3283,A
Cd,1420.29,0,,3,nist,L3540,A
