element,wavelength,intensity,acc,state,source,reference,unit
Cd,1383.60,0,,3,nist,L3540,A
Cd,1392.10,0,,3,nist,L3540,A
Cd,1396.78,0,,3,nist,L3540,A
Cd,1416.28,0,,3,nist,L3540,A
Cd,1420.29,0,,3,nist,L3540,A
Cd,1420.54,0,,3,nist,L3540,A
Cd,1432.86,0,,3,nist,L3540,A
Cd,1446.08,0,,3,nist,L3540,A
Cd,1447.55,0,,3,nist,L3540,A
Cd,1455.74,0,,3,nist,L3540,A
Cd,1466.14,0,,3,nist,L3540,A
Cd,1471.97,0,,3,nist,L3540,A
Cd,1491.81,0,,3,nist,L3540,A
Cd,1511.01,0,,3,nist,L3540,A
Cd,1511.65,0,,3,nist,L3540,A
Cd,1513.13,0,,3,nist,L3540,A
Cd,1523.55,0,,3,nist,L3540,A
Cd,1528.40,0,,3,nist,L3540,A
Cd,1529.30,0,,3,nist,L3540,A
Cd,1532.10,0,,3,nist,L3540,A
Cd,1545.17,0,,3,nist,L3540,A
Cd,1547.57,0,,3,nist,L3540,A
Cd,1550.07,0,,3,nist,L3540,A
Cd,1550.45,0,,3,nist,L3540,A
Cd,1550.89,0,,3,nist,L3540,A
Cd,1552.18,0,,3,nist,L3540,A
Cd,1556.48,0,,3,nist,L3540,A
Cd,1560.66,0,,3,nist,L3540,A
Cd,1566.03,0,,3,nist,L3540,A
Cd,1568.98,0,,3,nist,L3540,A
Cd,1582.39,0,,3,nist,L3540,A
Cd,1601.59,0,,3,nist,L3540,A
Cd,1604.87,0,,3,nist,L3540,A
Cd,1606.64,0,,3,nist,L3540,A
Cd,1607.28,0,,3,nist,L3540,A
Cd,1608.91,0,,3,nist,L3540,A
Cd,1609.61,0,,3,nist,L3540,A
Cd,1612.51,0,,3,nist,L3540,A
Cd,1625.27,0,,3,nist,L3540,A
Cd,1628.54,0,,3,nist,L3540,A
Cd,1651.87,0,,3,nist,L3540,A
Cd,1655.63,0,,3,nist,L3540,A
Cd,1678.15,0,,3,nist,L3540,A
Cd,1699.70,0,,3,nist,L3540,A
Cd,1707.16,0,,3,nist,L3540,A
Cd,1721.93,0,,3,nist,L3540,A
Cd,1722.95,0,,3,nist,L3540,A
Cd,1725.66,0,,3,nist,L3540,A
Cd,1739.00,0,,3,nist,L3540,A
Cd,1745.69,0,,3,nist,L3540,A
Cd,1747.67,0,,3,nist,L3540,A
Cd,1748.15,0,,3,nist,L3540,A
Cd,1768.82,0,,3,nist,L3540,A
Cd,1773.06,0,,3,nist,L3540,A
Cd,1789.19,0,,3,nist,L3540,A
Cd,1793.40,0,,3,nist,L3540,A
Cd,1796.10,0,,3,nist,L3540,A
Cd,1800.57,0,,3,nist,L3540,A
Cd,1823.41,0,,3,nist,L3540,A
Cd,1844.66,0,,3,nist,L3540,A
Cd,1851.13,0,,3,nist,L3540,A
Cd,1851.37,0,,3,nist,L3540,A
Cd,1855.85,0,,3,nist,L3540,A
Cd,1856.67,200,,3,nist,L3540,A
Cd,1874.08,150,,3,nist,L3540,A
Cd,1886.49,0,,3,nist,L3540,A
Cd,1903.48,0,,3,nist,L3540,A
Cd,1909.98,0,,3,nist,L3540,A
Cd,1910.57,0,,3,nist,L3540,A
Cd,1939.59,0,,3,nist,L3540,A
Cd,1988.81,0,,3,nist,L3540,A
Cd,2001.25,0,,3,nist,L3540,A
Cd,2004.72,0,,3,nist,L3540,A
Cd,2016.77,0,,3,nist,L3540,A
Cd,2040.49,0,,3,nist,L3540,A
Cd,2046.27,0,,3,nist,L3540,A
Cd,2061.91,0,,3,nist,L3540,A
Cd,2088.57,0,,3,nist,L3540,A
Cd,2098.12,0,,3,nist,L3540,A
Cd,2101.14,0,,3,nist,L3540,A
Cd,2112.27,0,,3,nist,L3540,A
Cd,2188.81,0,,3,nist,L3540,A
Cd,2219.12,0,,3,nist,L3540,A
Cd,2225.12,0,,3,nist,L3540,A
Cd,2418.97,0,,3,nist,L3540,A
Cd,2427.10,0,,3,nist,L3540,A
Cd,2500.56,0,,3,nist,L3540,A
Cd,2619.59,0,,3,nist,L3540,A
Cd,2631.34,0,,3,nist,L3540,A
Cd,2767.81,0,,3,nist,L3540,A
Cd,2806.42,0,,3,nist,L3540,A
Cd,3036.60,0,,3,nist,L3540,A
Cd,677.39,0,,3,nist,L3540,A
Cd,684.58,0,,3,nist,L3540,A
Cd,720.70,0,,3,nist,L3540,A
