element,wavelength,intensity,acc,state,source,reference,unit
Ce,3673.23,220,,1,nist,L3475,A
Ce,4507.67,100,B+,1,nist,L3475,A
Ce,4633.62,170,B+,1,nist,L3475,A
Ce,4651.81,110,B+,1,nist,L3475,A
Ce,4823.90,110,B+,1,nist,L3475,A
Ce,4849.12,140,,1,nist,L3475,A
Ce,4944.82,110,,1,nist,L3475,A
Ce,4996.02,130,,1,nist,L3475,A
Ce,5010.50,210,B+,1,nist,L3475,A
Ce,5042.26,120,B+,1,nist,L3475,A
Ce,5073.19,120,,1,nist,L3475,A
Ce,5114.12,130,B+,1,nist,L3475,A
Ce,5131.00,170,,1,nist,L3475,A
Ce,5151.42,100,,1,nist,L3475,A
Ce,5161.13,280,,1,nist,L3475,A
Ce,5161.13,280,,1,nist,L3475,A
Ce,5161.13,280,,1,nist,L3475,A
Ce,5162.92,280,,1,nist,L3475,A
Ce,5175.99,190,,1,nist,L3475,A
Ce,5213.37,190,B+,1,nist,L3475,A
Ce,5224.91,260,B+,1,nist,L3475,A
Ce,5231.21,180,B+,1,nist,L3475,A
Ce,5247.38,260,B+,1,nist,L3475,A
Ce,5298.03,130,B+,1,nist,L3475,A
Ce,5329.56,130,B+,1,nist,L3475,A
Ce,5399.14,150,B+,1,nist,L3475,A
Ce,5421.89,110,B+,1,nist,L3475,A
Ce,5450.75,140,B+,1,nist,L3475,A
Ce,5557.79,110,B+,1,nist,L3475,A
Ce,5566.52,170,B+,1,nist,L3475,A
Ce,5567.52,130,B+,1,nist,L3475,A
Ce,5597.43,100,B+,1,nist,L3475,A
Ce,5602.84,240,B+,1,nist,L3475,A
Ce,5656.71,190,B+,1,nist,L3475,A
Ce,5671.53,240,B+,1,nist,L3475,A
Ce,5679.33,120,B+,1,nist,L3475,A
Ce,5694.52,120,B+,1,nist,L3475,A
Ce,5698.57,300,B+,1,nist,L3475,A
Ce,5700.81,370,,1,nist,L3475,A
Ce,5720.62,240,B+,1,nist,L3475,A
Ce,5774.72,140,B+,1,nist,L3475,A
Ce,5789.76,120,B+,1,nist,L3475,A
Ce,5814.53,120,B+,1,nist,L3475,A
Ce,5942.51,230,B+,1,nist,L3475,A
Ce,6001.84,0,,1,nist,L3475,A
Ce,6003.56,0,,1,nist,L3475,A
Ce,6007.52,0,B+,1,nist,L3475,A
Ce,6007.86,0,,1,nist,L3475,A
Ce,6008.48,0,B+,1,nist,L3475,A
Ce,6009.03,0,,1,nist,L3475,A
Ce,6015.09,0,B+,1,nist,L3475,A
Ce,6018.26,0,,1,nist,L3475,A
Ce,6025.87,110,B+,1,nist,L3475,A
Ce,6028.83,0,,1,nist,L3475,A
Ce,6032.93,0,,1,nist,L3475,A
Ce,6032.93,0,,1,nist,L3475,A
Ce,6036.08,0,,1,nist,L3475,A
Ce,6047.09,0,,1,nist,L3475,A
Ce,6049.07,0,B+,1,nist,L3475,A
Ce,6059.18,0,,1,nist,L3475,A
Ce,6059.68,0,B+,1,nist,L3475,A
Ce,6068.43,0,,1,nist,L3475,A
Ce,6071.14,0,,1,nist,L3475,A
Ce,6071.16,0,,1,nist,L3475,A
Ce,6073.68,0,B+,1,nist,L3475,A
Ce,6078.29,0,B+,1,nist,L3475,A
Ce,6078.84,0,,1,nist,L3475,A
Ce,6082.05,0,,1,nist,L3475,A
