element,wavelength,intensity,acc,state,source,reference,unit
Ce,1025.25,0,,3,nist,L3518,A
Ce,1025.29,0,,3,nist,L3518,A
Ce,1026.28,0,,3,nist,L3518,A
Ce,1029.37,0,,3,nist,L3518,A
Ce,1034.55,0,,3,nist,L3518,A
Ce,1041.14,0,,3,nist,L3518,A
Ce,1042.74,100,,3,nist,L3518,A
Ce,10461.24,400,,3,nist,L3518,A
Ce,10497.30,400,,3,nist,L3518,A
Ce,1051.61,0,,3,nist,L3518,A
Ce,10537.25,300,,3,nist,L3518,A
Ce,1057.40,0,,3,nist,L3518,A
Ce,1057.66,100,,3,nist,L3518,A
Ce,1058.46,100,,3,nist,L3518,A
Ce,1062.99,0,,3,nist,L3518,A
Ce,1063.26,0,,3,nist,L3518,A
Ce,1063.51,0,,3,nist,L3518,A
Ce,1067.76,100,,3,nist,L3518,A
Ce,1068.69,100,,3,nist,L3518,A
Ce,10687.39,400,,3,nist,L3518,A
Ce,1070.54,0,,3,nist,L3518,A
Ce,1072.79,200,,3,nist,L3518,A
Ce,1073.69,0,,3,nist,L3518,A
Ce,1079.35,0,,3,nist,L3518,A
Ce,1080.82,0,,3,nist,L3518,A
Ce,1088.70,0,,3,nist,L3518,A
Ce,1090.03,0,,3,nist,L3518,A
Ce,1092.48,0,,3,nist,L3518,A
Ce,1099.25,0,,3,nist,L3518,A
Ce,1100.71,0,,3,nist,L3518,A
Ce,1107.09,0,,3,nist,L3518,A
Ce,1111.19,0,,3,nist,L3518,A
Ce,1116.30,0,,3,nist,L3518,A
Ce,1125.58,0,,3,nist,L3518,A
Ce,1129.73,0,,3,nist,L3518,A
Ce,1132.74,0,,3,nist,L3518,A
Ce,1142.55,100,,3,nist,L3518,A
Ce,1192.41,0,,3,nist,L3518,A
Ce,1201.87,0,,3,nist,L3518,A
Ce,1204.05,0,,3,nist,L3518,A
Ce,12760.45,0,,3,nist,L1734,A
Ce,12825.13,0,,3,nist,L1734,A
Ce,15851.91,0,,3,nist,L1734,A
Ce,15961.15,0,,3,nist,L1734,A
Ce,15964.95,0,,3,nist,L1734,A
Ce,16133.16,0,,3,nist,L1734,A
