element,wavelength,intensity,acc,state,source,reference,unit
Ce,1009.31,0,,4,nist,L7359,A
Ce,1022.12,0,,4,nist,L7359,A
Ce,1057.67,0,,4,nist,L7359,A
Ce,1059.64,0,,4,nist,L7359,A
Ce,1289.41,0,,4,nist,L7359,A
Ce,1332.16,0,,4,nist,L7359,A
Ce,1372.72,0,,4,nist,L7359,A
Ce,1572.62,0,,4,nist,L7359,A
Ce,1577.60,0,,4,nist,L7359,A
Ce,1641.58,0,,4,nist,L7359,A
Ce,1775.30,0,,4,nist,L7359,A
Ce,1779.03,0,,4,nist,L7359,A
Ce,1914.75,0,,4,nist,L7359,A
Ce,1937.21,0,,4,nist,L7359,A
Ce,2001.07,100,,4,nist,L7359,A
Ce,2003.76,0,,4,nist,L7359,A
Ce,2010.59,100,,4,nist,L7359,A
Ce,2434.24,0,,4,nist,L7359,A
Ce,2446.24,0,,4,nist,L7359,A
Ce,443.11,0,,4,nist,L7359,A
Ce,447.58,0,,4,nist,L7359,A
Ce,558.92,0,,4,nist,L7359,A
Ce,571.59,0,,4,nist,L7359,A
Ce,741.79,0,,4,nist,L7359,A
Ce,754.60,0,,4,nist,L7359,A
Ce,755.75,0,,4,nist,L7359,A
Ce,975.20,0,,4,nist,L7359,A
