element,wavelength,intensity,acc,state,source,reference,unit
Cl,1002.346,0,,1,nist,L298,A
Cl,1013.664,150,,1,nist,L298,A
Cl,1025.553,0,,1,nist,L298,A
Cl,10395.397,331,,1,nist,L298,A
Cl,1084.667,200,,1,nist,L298,A
Cl,1085.171,200,,1,nist,L298,A
Cl,1085.304,250,,1,nist,L298,A
Cl,1088.06,400,,1,nist,L298,A
Cl,1090.271,350,,1,nist,L298,A
Cl,1090.982,250,,1,nist,L298,A
Cl,1092.437,250,,1,nist,L298,A
Cl,1094.769,400,,1,nist,L298,A
Cl,1095.148,350,,1,nist,L298,A
Cl,1095.662,350,,1,nist,L298,A
Cl,1095.797,400,,1,nist,L298,A
Cl,1096.810,250,,1,nist,L298,A
Cl,1097.369,300,,1,nist,L298,A
Cl,1098.068,200,,1,nist,L298,A
Cl,1099.523,200,,1,nist,L298,A
Cl,1107.528,500,,1,nist,L298,A
Cl,11126.10,300,,1,nist,L298,A
Cl,11395.74,231,,1,nist,L298,A
Cl,11412.81,269,,1,nist,L298,A
Cl,11439.46,1000,,1,nist,L298,A
Cl,1167.148,800,,1,nist,L298,A
Cl,11723.77,180,,1,nist,L298,A
Cl,1179.293,3000,,1,nist,L298,A
Cl,11870.01,195,,1,nist,L298,A
Cl,1188.774,1200,C,1,nist,L298,A
Cl,1201.353,900,C,1,nist,L298,A
Cl,12025.0,172,,1,nist,L298,A
Cl,13247.4,350,,1,nist,L298,A
Cl,13299.6,310,,1,nist,L298,A
Cl,1335.726,3000,C,1,nist,L298,A
Cl,13350.4,550,,1,nist,L298,A
Cl,1347.240,10000,C+,1,nist,L298,A
Cl,1351.657,5000,C+,1,nist,L298,A
Cl,1363.447,12000,C+,1,nist,L298,A
Cl,1373.116,2500,D,1,nist,L298,A
Cl,1379.528,20000,D,1,nist,L298,A
Cl,13825.5,525,,1,nist,L298,A
Cl,1389.693,25000,D,1,nist,L298,A
Cl,1389.957,20000,D,1,nist,L298,A
Cl,1396.527,12000,D,1,nist,L298,A
Cl,14373.6,148,,1,nist,L298,A
Cl,14935.8,294,,1,nist,L298,A
Cl,15112.1,269,,1,nist,L298,A
Cl,15469.3,381,,1,nist,L298,A
Cl,15471.8,169,,1,nist,L298,A
Cl,15524.5,1094,,1,nist,L298,A
Cl,15734.4,1487,,1,nist,L298,A
Cl,15822.7,193,,1,nist,L298,A
Cl,15874.0,2780,,1,nist,L298,A
Cl,15887.6,277,,1,nist,L298,A
Cl,15933.3,342,,1,nist,L298,A
Cl,15964.4,735,,1,nist,L298,A
Cl,15974.9,283,,1,nist,L298,A
Cl,16082.0,129,,1,nist,L298,A
Cl,16202.9,259,,1,nist,L298,A
Cl,19375.6,227,,1,nist,L298,A
Cl,19760.7,717,,1,nist,L298,A
Cl,19772.2,185,,1,nist,L298,A
Cl,20204.9,227,,1,nist,L298,A
Cl,20375.7,0,,1,nist,L298,A
Cl,24476.7,100,,1,nist,L298,A
Cl,3727.60,0,,1,nist,L298,A
Cl,3945.94,0,,1,nist,L298,A
Cl,39614.5,0,,1,nist,L298,A
Cl,39626.1,0,,1,nist,L298,A
Cl,39726.8,0,,1,nist,L298,A
Cl,39754.8,0,,1,nist,L298,A
Cl,39761.7,0,,1,nist,L298,A
Cl,39886.2,0,,1,nist,L298,A
Cl,39891.9,0,,1,nist,L298,A
Cl,39996.6,0,,1,nist,L298,A
Cl,40096.4,0,,1,nist,L298,A
Cl,40100.4,0,,1,nist,L298,A
Cl,40182.0,0,,1,nist,L298,A
Cl,40321.3,0,,1,nist,L298,A
Cl,40346.4,0,,1,nist,L298,A
Cl,40543.3,0,,1,nist,L298,A
Cl,4105.95,0,D,1,nist,L298,A
Cl,4210.86,0,D+,1,nist,L298,A
Cl,4227.61,0,D+,1,nist,L298,A
Cl,4265.78,0,D+,1,nist,L298,A
Cl,4364.50,100,D,1,nist,L298,A
Cl,4370.73,100,D+,1,nist,L298,A
Cl,4381.13,100,D,1,nist,L298,A
Cl,4390.98,100,D,1,nist,L298,A
Cl,4391.63,0,D+,1,nist,L298,A
Cl,4404.27,0,D,1,nist,L298,A
Cl,4439.74,100,D,1,nist,L298,A
Cl,4476.56,0,D+,1,nist,L298,A
Cl,4527.46,100,C,1,nist,L298,A
Cl,4602.27,0,C,1,nist,L298,A
Cl,4625.233,0,D+,1,nist,L298,A
Cl,4655.343,0,D+,1,nist,L298,A
Cl,4662.513,0,C,1,nist,L298,A
Cl,4692.836,0,D+,1,nist,L298,A
Cl,4722.576,0,D+,1,nist,L298,A
Cl,4742.055,0,D+,1,nist,L298,A
Cl,5101.210,0,D,1,nist,L298,A
Cl,5533.699,0,,1,nist,L298,A
Cl,5797.912,0,,1,nist,L298,A
Cl,5801.522,0,,1,nist,L298,A
Cl,5858.365,0,,1,nist,L298,A
Cl,5950.23,100,,1,nist,L298,A
Cl,6021.479,0,,1,nist,L298,A
Cl,6084.29,0,,1,nist,L298,A
Cl,6116.12,160,,1,nist,L298,A
Cl,6141.944,200,,1,nist,L298,A
Cl,6196.471,160,,1,nist,L298,A
Cl,6400.43,160,,1,nist,L298,A
Cl,6436.611,150,,1,nist,L298,A
Cl,6533.23,150,,1,nist,L298,A
Cl,6680.27,150,,1,nist,L298,A
Cl,6842.18,150,,1,nist,L298,A
Cl,6934.815,300,,1,nist,L298,A
Cl,6983.812,300,,1,nist,L298,A
Cl,7088.768,600,,1,nist,L298,A
Cl,7258.62,7500,D,1,nist,L298,A
Cl,7416.15,5000,D,1,nist,L298,A
Cl,7464.425,550,,1,nist,L298,A
Cl,7491.53,550,,1,nist,L298,A
Cl,7494.181,700,,1,nist,L298,A
Cl,7549.150,11000,D,1,nist,L298,A
Cl,7674.53,2300,,1,nist,L298,A
Cl,7704.948,450,E,1,nist,L298,A
Cl,7719.705,7000,D,1,nist,L298,A
Cl,7747.10,10000,C,1,nist,L298,A
Cl,7771.30,2200,D,1,nist,L298,A
Cl,7773.23,650,E,1,nist,L298,A
Cl,7823.51,2200,D,1,nist,L298,A
Cl,7832.90,1700,D,1,nist,L298,A
Cl,7880.39,3000,D,1,nist,L298,A
Cl,7895.51,220,,1,nist,L298,A
Cl,7901.48,2300,D,1,nist,L298,A
Cl,7917.26,1800,D,1,nist,L298,A
Cl,7926.825,3000,D,1,nist,L298,A
Cl,7936.07,2100,,1,nist,L298,A
Cl,7937.195,1700,D,1,nist,L298,A
Cl,7954.71,650,,1,nist,L298,A
Cl,7976.91,1500,,1,nist,L298,A
Cl,7979.16,1300,D,1,nist,L298,A
Cl,7982.80,600,E,1,nist,L298,A
Cl,8000.05,2900,D,1,nist,L298,A
Cl,8017.81,2200,,1,nist,L298,A
Cl,8025.54,1100,,1,nist,L298,A
Cl,8053.28,400,,1,nist,L298,A
Cl,8086.73,1700,E,1,nist,L298,A
Cl,8087.78,2200,D,1,nist,L298,A
Cl,8088.89,3000,D,1,nist,L298,A
Cl,8089.95,1300,E,1,nist,L298,A
Cl,8096.90,250,,1,nist,L298,A
Cl,8196.67,2500,E,1,nist,L298,A
Cl,8201.38,2200,,1,nist,L298,A
Cl,8202.46,2200,,1,nist,L298,A
Cl,8206.04,800,,1,nist,L298,A
Cl,8214.30,18000,D,1,nist,L298,A
Cl,8222.71,3000,,1,nist,L298,A
Cl,8224.00,20000,,1,nist,L298,A
Cl,8335.60,18000,D,1,nist,L298,A
Cl,8378.24,99900,D,1,nist,L298,A
Cl,8408.509,400,,1,nist,L298,A
Cl,8430.57,15000,D,1,nist,L298,A
Cl,8469.67,2200,,1,nist,L298,A
Cl,8552.79,2200,D,1,nist,L298,A
Cl,8577.60,20000,D,1,nist,L298,A
Cl,8580.38,750,,1,nist,L298,A
Cl,8588.33,75000,D,1,nist,L298,A
Cl,8630.91,450,,1,nist,L298,A
Cl,8644.08,300,,1,nist,L298,A
Cl,8688.65,3500,D,1,nist,L298,A
Cl,8915.37,2200,,1,nist,L298,A
Cl,8950.52,3000,D,1,nist,L298,A
Cl,9041.463,2000,,1,nist,L298,A
Cl,9047.91,2500,,1,nist,L298,A
Cl,9072.146,1000,,1,nist,L298,A
Cl,9075.66,2000,D,1,nist,L298,A
Cl,9123.65,7500,D,1,nist,L298,A
Cl,9194.254,3000,D,1,nist,L298,A
Cl,9200.120,500,,1,nist,L298,A
Cl,9291.41,4000,E,1,nist,L298,A
Cl,9396.439,1500,E,1,nist,L298,A
Cl,9454.69,3500,,1,nist,L298,A
Cl,9489.567,500,E,1,nist,L298,A
Cl,9587.430,1000,D,1,nist,L298,A
Cl,9594.85,3500,D,1,nist,L298,A
Cl,9635.151,250,D,1,nist,L298,A
Cl,969.92,0,,1,nist,L298,A
Cl,9705.100,1000,D,1,nist,L298,A
Cl,9747.098,250,,1,nist,L298,A
Cl,978.284,0,,1,nist,L298,A
Cl,9809.746,200,,1,nist,L298,A
