element,wavelength,intensity,acc,state,source,reference,unit
Cl,10435.69,0,,2,nist,L1617,A
Cl,10509.50,0,,2,nist,L1617,A
Cl,10512.00,0,,2,nist,L1617,A
Cl,10515.34,0,,2,nist,L1617,A
Cl,10517.05,0,,2,nist,L1617,A
Cl,1063.831,6000,C,2,nist,L1617,A
Cl,1067.945,3000,C,2,nist,L1617,A
Cl,1071.036,9000,C,2,nist,L1617,A
Cl,1071.767,6000,C,2,nist,L1617,A
Cl,1075.230,5000,C,2,nist,L1617,A
Cl,1079.080,5000,C,2,nist,L1617,A
Cl,10804.43,0,,2,nist,L1617,A
Cl,10888.40,0,,2,nist,L1617,A
Cl,10958.71,0,,2,nist,L1617,A
Cl,1139.214,800,,2,nist,L1617,A
Cl,1441.470,500,,2,nist,L1617,A
Cl,1528.569,500,,2,nist,L1617,A
Cl,1542.942,500,,2,nist,L1617,A
Cl,1558.144,500,,2,nist,L1617,A
Cl,1565.050,500,,2,nist,L1617,A
Cl,1857.488,500,,2,nist,L1617,A
Cl,1997.370,450,,2,nist,L1617,A
Cl,2032.770,450,,2,nist,L1617,A
Cl,2089.247,350,,2,nist,L1617,A
Cl,2092.123,350,,2,nist,L1617,A
Cl,2428.53,170,D,2,nist,L1617,A
Cl,2434.81,360,D,2,nist,L1617,A
Cl,2499.28,340,D,2,nist,L1617,A
Cl,2503.49,470,D,2,nist,L1617,A
Cl,2547.72,260,D,2,nist,L1617,A
Cl,2550.65,500,D,2,nist,L1617,A
Cl,2565.61,460,,2,nist,L1617,A
Cl,2604.09,320,,2,nist,L1617,A
Cl,2659.51,950,,2,nist,L1617,A
Cl,2677.75,750,,2,nist,L1617,A
Cl,2688.84,1200,,2,nist,L1617,A
Cl,2912.90,410,,2,nist,L1617,A
Cl,2997.52,950,,2,nist,L1617,A
Cl,3006.94,500,,2,nist,L1617,A
Cl,3058.85,950,,2,nist,L1617,A
Cl,3072.21,1300,,2,nist,L1617,A
Cl,3093.09,1400,,2,nist,L1617,A
Cl,3124.63,1200,,2,nist,L1617,A
Cl,3316.38,1900,D,2,nist,L1617,A
Cl,3330.06,1200,D,2,nist,L1617,A
Cl,3354.31,2500,,2,nist,L1617,A
Cl,3751.03,1200,,2,nist,L1617,A
Cl,3799.84,1500,D,2,nist,L1617,A
Cl,3806.26,1900,D,2,nist,L1617,A
Cl,3810.54,1300,D,2,nist,L1617,A
Cl,3821.28,1700,,2,nist,L1617,A
Cl,3828.68,2800,,2,nist,L1617,A
Cl,3834.44,4500,,2,nist,L1617,A
Cl,3846.46,3100,D,2,nist,L1617,A
Cl,3846.74,3900,D,2,nist,L1617,A
Cl,3846.89,1500,D,2,nist,L1617,A
Cl,3852.08,10000,D,2,nist,L1617,A
Cl,3852.46,7900,D,2,nist,L1617,A
Cl,3852.74,1200,D,2,nist,L1617,A
Cl,3861.92,25000,D,2,nist,L1617,A
Cl,3862.08,4400,D,2,nist,L1617,A
Cl,3862.46,1000,D,2,nist,L1617,A
Cl,3914.98,1500,D,2,nist,L1617,A
Cl,3917.74,1100,D,2,nist,L1617,A
Cl,4133.67,10000,D,2,nist,L1617,A
Cl,4374.16,5000,,2,nist,L1617,A
Cl,4491.17,1500,,2,nist,L1617,A
Cl,4769.98,4300,D,2,nist,L1617,A
Cl,4782.66,13000,D,2,nist,L1617,A
Cl,4795.89,99000,C,2,nist,L1617,A
Cl,4811.40,29000,C,2,nist,L1617,A
Cl,4820.82,16000,C,2,nist,L1617,A
Cl,4898.14,81000,D,2,nist,L1617,A
Cl,4906.15,47000,D,2,nist,L1617,A
Cl,4919.10,26000,D,2,nist,L1617,A
Cl,4996.87,10000,E,2,nist,L1617,A
Cl,5079.68,26000,D,2,nist,L1617,A
Cl,5219.39,56000,C,2,nist,L1617,A
Cl,5222.81,23000,C,2,nist,L1617,A
Cl,5393.62,15000,D,2,nist,L1617,A
Cl,5424.74,99000,D,2,nist,L1617,A
Cl,5425.02,10000,D,2,nist,L1617,A
Cl,5444.88,19000,D,2,nist,L1617,A
Cl,5445.72,10000,D,2,nist,L1617,A
Cl,5458.54,5600,D,2,nist,L1617,A
Cl,559.305,350,,2,nist,L1617,A
Cl,571.904,400,,2,nist,L1617,A
Cl,574.406,800,,2,nist,L1617,A
Cl,586.24,500,,2,nist,L1617,A
Cl,6096.38,1900,D,2,nist,L1617,A
Cl,618.057,700,,2,nist,L1617,A
Cl,619.982,600,,2,nist,L1617,A
Cl,620.298,800,,2,nist,L1617,A
Cl,626.735,700,,2,nist,L1617,A
Cl,635.881,800,,2,nist,L1617,A
Cl,636.626,1000,,2,nist,L1617,A
Cl,650.894,1000,,2,nist,L1617,A
Cl,659.811,1000,,2,nist,L1617,A
Cl,661.841,1300,,2,nist,L1617,A
Cl,663.074,2000,,2,nist,L1617,A
Cl,6663.51,1400,,2,nist,L1617,A
Cl,6687.87,1300,,2,nist,L1617,A
Cl,6715.26,1200,,2,nist,L1617,A
Cl,682.053,1500,,2,nist,L1617,A
Cl,687.656,1500,,2,nist,L1617,A
Cl,693.594,1500,,2,nist,L1617,A
Cl,725.271,2000,,2,nist,L1617,A
Cl,728.951,2500,,2,nist,L1617,A
Cl,777.562,2000,,2,nist,L1617,A
Cl,787.580,5000,,2,nist,L1617,A
Cl,788.740,5000,,2,nist,L1617,A
Cl,793.342,5000,,2,nist,L1617,A
Cl,8363.01,1000,E,2,nist,L1617,A
Cl,8364.14,560,E,2,nist,L1617,A
Cl,8384.97,180,E,2,nist,L1617,A
Cl,839.297,6000,,2,nist,L1617,A
Cl,839.599,8000,,2,nist,L1617,A
Cl,8394.33,100,E,2,nist,L1617,A
Cl,841.41,7000,,2,nist,L1617,A
Cl,851.691,5000,,2,nist,L1617,A
Cl,888.026,2000,,2,nist,L1617,A
Cl,893.549,2000,,2,nist,L1617,A
Cl,961.499,2000,,2,nist,L1617,A
