element,wavelength,intensity,acc,state,source,reference,unit
Cl,1005.28,500,E,3,nist,L480,A
Cl,1008.78,600,E,3,nist,L480,A
Cl,1015.02,700,E,3,nist,L480,A
Cl,1822.50,600,E,3,nist,L495,A
Cl,1828.40,500,E,3,nist,L495,A
Cl,1901.61,500,E,3,nist,L495,A
Cl,1983.61,500,,3,nist,L495,A
Cl,2007.49,400,,3,nist,L495,A
Cl,2253.77,700,D,3,nist,L480,A
Cl,2269.65,500,D,3,nist,L480,A
Cl,2279.04,500,D,3,nist,L480,A
Cl,2284.63,700,D,3,nist,L480,A
Cl,2324.21,600,,3,nist,L495,A
Cl,2337.17,500,,3,nist,L495,A
Cl,2341.36,600,D,3,nist,L495,A
Cl,2360.39,600,D,3,nist,L495,A
Cl,2371.09,600,D,3,nist,L495,A
Cl,2417.15,700,D,3,nist,L480,A
Cl,2447.88,600,D,3,nist,L480,A
Cl,2449.32,600,D,3,nist,L480,A
Cl,2487.66,500,D,3,nist,L480,A
Cl,2533.24,500,D,3,nist,L495,A
Cl,2581.44,600,D,3,nist,L495,A
Cl,2604.37,500,D,3,nist,L495,A
Cl,2633.45,500,D,3,nist,L495,A
Cl,2633.96,500,D,3,nist,L495,A
Cl,2666.33,600,D,3,nist,L480,A
Cl,2711.17,700,,3,nist,L495,A
Cl,2966.43,600,D,3,nist,L495,A
Cl,3105.36,600,D,3,nist,L480,A
Cl,3140.25,800,D,3,nist,L480,A
Cl,3192.37,900,D,3,nist,L480,A
Cl,3290.75,700,D,3,nist,L480,A
Cl,3321.53,700,D,3,nist,L495,A
Cl,3330.02,800,E,3,nist,L480,A
Cl,3341.38,900,D,3,nist,L480,A
Cl,3393.86,800,D,3,nist,L495,A
Cl,3394.42,800,D,3,nist,L495,A
Cl,3531.04,900,D,3,nist,L495,A
Cl,3561.70,800,D,3,nist,L495,A
Cl,3603.13,900,D,3,nist,L480,A
Cl,3613.88,800,D,3,nist,L480,A
Cl,3623.72,700,D,3,nist,L480,A
Cl,3657.99,700,D,3,nist,L480,A
Cl,3671.33,700,D,3,nist,L480,A
Cl,3683.10,700,D,3,nist,L480,A
Cl,3706.50,600,E,3,nist,L480,A
Cl,3708.39,600,E,3,nist,L495,A
Cl,3721.51,800,D,3,nist,L495,A
Cl,3749.88,800,D,3,nist,L495,A
Cl,3780.42,500,,3,nist,L495,A
Cl,3926.98,500,,3,nist,L495,A
Cl,3992.63,700,E,3,nist,L495,A
Cl,4019.64,600,E,3,nist,L495,A
Cl,406.27,100,,3,nist,L495,A
Cl,4060.22,600,E,3,nist,L495,A
Cl,4105.39,500,E,3,nist,L495,A
Cl,4107.99,500,E,3,nist,L495,A
Cl,411.37,400,,3,nist,L495,A
Cl,411.81,400,,3,nist,L495,A
Cl,4372.14,400,,3,nist,L495,A
Cl,4609.50,500,,3,nist,L495,A
Cl,4704.46,300,,3,nist,L495,A
Cl,4865.11,100,,3,nist,L495,A
Cl,4973.03,0,,3,nist,L495,A
Cl,556.23,600,,3,nist,L495,A
Cl,556.61,700,,3,nist,L495,A
Cl,557.12,700,,3,nist,L495,A
Cl,561.53,700,,3,nist,L495,A
Cl,561.68,700,,3,nist,L495,A
Cl,561.74,700,,3,nist,L495,A
Cl,606.35,500,,3,nist,L495,A
Cl,621.28,400,,3,nist,L495,A
Cl,670.38,300,,3,nist,L495,A
Cl,673.13,300,,3,nist,L495,A
Cl,936.28,100,,3,nist,L480,A
