element,wavelength,intensity,acc,state,source,reference,unit
Cl,287.33,300,,5,nist,L495,A
Cl,373.78,300,,5,nist,L495,A
Cl,390.15,400,C,5,nist,L495,A
Cl,392.43,500,C,5,nist,L495,A
Cl,536.53,300,,5,nist,L495,A
Cl,537.01,400,,5,nist,L495,A
Cl,537.46,300,,5,nist,L3311,A
Cl,538.03,500,,5,nist,L480,A
Cl,538.68,400,,5,nist,L495,A
Cl,542.23,800,,5,nist,L3311,A
Cl,542.30,600,,5,nist,L480,A
Cl,542.87,400,,5,nist,L3311,A
Cl,545.11,1000,,5,nist,L3311,A
Cl,546.33,600,,5,nist,L3311,A
Cl,547.63,1000,,5,nist,L3311,A
Cl,633.19,400,,5,nist,L480,A
Cl,635.32,400,,5,nist,L480,A
Cl,681.92,400,,5,nist,L480,A
Cl,683.17,400,,5,nist,L480,A
Cl,688.93,400,,5,nist,L480,A
Cl,715.55,0,,5,nist,L761,A
Cl,716.19,0,,5,nist,L761,A
Cl,883.13,400,E,5,nist,L480,A
Cl,894.34,400,E,5,nist,L480,A
Cl,894.91,100,E,5,nist,L480,A
Cl,914.5,0,,5,nist,L1401,A
