element,wavelength,intensity,acc,state,source,reference,unit
Cm,2463.50,10000,,2,nist,L3587,A
Cm,2617.95,10000,,2,nist,L3587,A
Cm,2637.07,10000,,2,nist,L3587,A
Cm,2651.96,10000,,2,nist,L3587,A
Cm,2654.59,10000,,2,nist,L3587,A
Cm,2726.49,10000,,2,nist,L3587,A
Cm,2737.70,10000,,2,nist,L3587,A
Cm,2748.85,10000,,2,nist,L3587,A
Cm,2785.65,10000,,2,nist,L3587,A
Cm,2812.45,10000,,2,nist,L3587,A
Cm,2825.03,10000,,2,nist,L3587,A
Cm,2834.41,10000,,2,nist,L3587,A
Cm,2900.75,10000,,2,nist,L3587,A
Cm,2913.82,10000,,2,nist,L3587,A
Cm,2929.78,10000,,2,nist,L3587,A
Cm,2997.05,10000,,2,nist,L3587,A
Cm,3015.75,10000,,2,nist,L3587,A
Cm,3045.74,10000,,2,nist,L3587,A
Cm,3170.90,10000,,2,nist,L3587,A
Cm,3208.05,10000,,2,nist,L3587,A
Cm,3210.82,10000,,2,nist,L3587,A
Cm,3210.98,10000,,2,nist,L3587,A
Cm,3221.69,10000,,2,nist,L3587,A
Cm,3227.34,10000,,2,nist,L3587,A
Cm,3231.28,10000,,2,nist,L3587,A
Cm,3239.48,10000,,2,nist,L3587,A
Cm,3243.60,10000,,2,nist,L3587,A
Cm,3297.66,10000,,2,nist,L3587,A
Cm,3573.97,10000,,2,nist,L3587,A
Cm,3905.17,10000,,2,nist,L3587,A
Cm,3909.35,10000,,2,nist,L3587,A
Cm,4208.85,10000,,2,nist,L3587,A
