element,wavelength,intensity,acc,state,source,reference,unit
Co,10025.699,0,D,2,nist,L9429c118,A
Co,1020.757,2500,D,2,nist,L4687c119,A
Co,1031.560,540,E,2,nist,L4687c119,A
Co,1032.185,540,E,2,nist,L4687c119,A
Co,1034.229,1600,D,2,nist,L4687c119,A
Co,1034.334,380,E,2,nist,L4687c119,A
Co,1035.778,1700,D,2,nist,L4687c119,A
Co,1040.452,570,E,2,nist,L4687c119,A
Co,1041.917,580,E,2,nist,L4687c119,A
Co,1052.333,1200,,2,nist,L4687c119,A
Co,1070.594,690,,2,nist,L4687c119,A
Co,1071.477,690,E,2,nist,L4687c119,A
Co,1074.488,490,,2,nist,L4687c119,A
Co,1076.274,3500,D,2,nist,L4687c119,A
Co,1076.975,500,,2,nist,L4687c119,A
Co,1079.006,500,E,2,nist,L4687c119,A
Co,1079.348,7200,D,2,nist,L4687c119,A
Co,1081.978,3600,D,2,nist,L4687c119,A
Co,1082.422,3600,D,2,nist,L4687c119,A
Co,1083.178,3700,D,2,nist,L4687c119,A
Co,1084.520,3700,E,2,nist,L4687c119,A
Co,1087.586,3700,D,2,nist,L4687c119,A
Co,1087.710,2200,D,2,nist,L4687c119,A
Co,1090.690,2300,D,2,nist,L4687c119,A
Co,1091.066,2300,D,2,nist,L4687c119,A
Co,1091.167,530,D,2,nist,L4687c119,A
Co,1095.833,540,D,2,nist,L4687c119,A
Co,1098.802,540,E,2,nist,L4687c119,A
Co,1130.378,850,,2,nist,L4687c119,A
Co,1147.728,4300,E,2,nist,L4687c119,A
Co,1148.518,8600,,2,nist,L4687c119,A
Co,1149.464,4300,E,2,nist,L4687c119,A
Co,1149.996,1700,E,2,nist,L4687c119,A
Co,1154.118,610,,2,nist,L4687c119,A
Co,1157.088,4300,E,2,nist,L4687c119,A
Co,11586.701,0,,2,nist,L9429c118,A
Co,1160.437,870,E,2,nist,L4687c119,A
Co,1162.600,610,,2,nist,L4687c119,A
Co,1169.544,4300,,2,nist,L4687c119,A
Co,1173.114,610,E,2,nist,L4687c119,A
Co,1176.802,860,,2,nist,L4687c119,A
Co,1187.413,1700,D,2,nist,L4687c119,A
Co,1189.428,850,,2,nist,L4687c119,A
Co,1197.793,830,,2,nist,L4687c119,A
Co,1198.418,820,D,2,nist,L4687c119,A
Co,1203.598,570,,2,nist,L4687c119,A
Co,1207.417,800,D,2,nist,L4687c119,A
Co,1210.358,790,,2,nist,L4687c119,A
Co,1232.253,510,E,2,nist,L4687c119,A
Co,1234.353,510,E,2,nist,L4687c119,A
Co,1250.804,480,,2,nist,L4687c119,A
Co,1258.737,3200,,2,nist,L4687c119,A
Co,1262.401,440,,2,nist,L4687c119,A
Co,1265.934,12000,D,2,nist,L4687c119,A
Co,1268.348,1900,,2,nist,L4687c119,A
