element,wavelength,intensity,acc,state,source,reference,unit
Co,1007.367,1500,D+,3,nist,L6156,A
Co,1008.990,9700,D+,3,nist,L6156c153,A
Co,1010.369,24000,D+,3,nist,L6156c153,A
Co,1012.004,480,D,3,nist,L6156c153,A
Co,1019.489,190,D,3,nist,L6156,A
Co,1026.162,110,,3,nist,L6156,A
Co,1030.300,1500,D+,3,nist,L6156,A
Co,1034.227,260,D+,3,nist,L6156,A
Co,1037.408,8100,D+,3,nist,L6156c153,A
Co,1043.241,25000,E,3,nist,L6156c153,A
Co,1044.284,27000,E,3,nist,L6156c153,A
Co,1046.758,18000,E,3,nist,L6156,A
Co,1047.442,14000,E,3,nist,L6156,A
Co,1049.644,160,E,3,nist,L6156c153,A
Co,1050.761,30000,E,3,nist,L6156c153,A
Co,1050.981,24000,E,3,nist,L6156c153,A
Co,1053.264,19000,E,3,nist,L6156c153,A
Co,1060.904,3600,D+,3,nist,L6156,A
Co,1066.283,200,,3,nist,L6156c153,A
Co,1069.694,240,D+,3,nist,L6156,A
Co,1073.382,330,D+,3,nist,L6156c153,A
Co,1086.012,160,D,3,nist,L6156c153,A
Co,1088.509,3900,D+,3,nist,L6156,A
Co,1089.887,2200,D+,3,nist,L6156,A
Co,1090.564,2500,D+,3,nist,L6156,A
Co,1092.582,17000,D+,3,nist,L6156,A
Co,1093.077,4200,D+,3,nist,L6156,A
Co,1095.441,18000,D+,3,nist,L6156c153,A
Co,1097.855,120,D,3,nist,L6156,A
Co,1098.945,0,E,3,nist,L6156c153,A
Co,1107.443,1300,D+,3,nist,L6156,A
Co,1114.401,1500,E,3,nist,L6156,A
Co,1124.562,470,E,3,nist,L6156,A
Co,1127.758,350,E,3,nist,L6156,A
Co,1152.641,0,D,3,nist,L6156c153,A
Co,1176.772,0,E,3,nist,L6156c153,A
Co,1272.420,500,E,3,nist,L6156,A
Co,1317.439,130,E,3,nist,L19543c140,A
Co,1319.290,0,D,3,nist,L19543c140,A
Co,1326.788,180,D+,3,nist,L6156,A
Co,1344.393,140,,3,nist,L6156,A
Co,1371.419,570,C,3,nist,L3537,A
Co,1373.685,120,D,3,nist,L6156c153,A
Co,1376.576,380,C,3,nist,L3537,A
Co,1378.208,570,C,3,nist,L3537,A
Co,1378.665,1400,C+,3,nist,L3537,A
Co,1380.775,780,C+,3,nist,L3537,A
Co,1382.025,0,D,3,nist,L6156,A
Co,1383.317,280,D+,3,nist,L6156,A
Co,1383.971,2400,C+,3,nist,L3537,A
Co,1384.187,3600,C+,3,nist,L3537,A
Co,1385.951,210,E,3,nist,L6156,A
Co,1388.665,200,D+,3,nist,L6156,A
Co,1389.079,1400,C+,3,nist,L3537,A
Co,1394.084,190,D+,3,nist,L6156,A
Co,1394.445,220,D+,3,nist,L6156,A
Co,1395.761,200,D+,3,nist,L6156,A
Co,1396.210,520,D+,3,nist,L3537,A
Co,1402.415,1300,C,3,nist,L3537,A
Co,1403.755,680,C,3,nist,L3537,A
Co,1404.009,1300,C+,3,nist,L3537,A
Co,1405.032,690,C,3,nist,L3537,A
Co,1405.451,410,C,3,nist,L3537,A
Co,1408.808,670,C,3,nist,L3537,A
Co,1412.000,430,D+,3,nist,L6156,A
Co,1412.974,1200,C,3,nist,L3537,A
Co,1413.884,1200,C,3,nist,L3537,A
Co,1416.382,730,D+,3,nist,L19543c140,A
Co,1420.524,0,E,3,nist,L19543c140,A
Co,1425.337,300,C,3,nist,L19543c140,A
Co,1425.664,370,C,3,nist,L19543c140,A
Co,1429.236,300,D+,3,nist,L3537,A
Co,1429.322,250,D,3,nist,"L19543c140,c153",A
Co,1430.177,2400,C+,3,nist,L3537,A
Co,1430.539,1500,C+,3,nist,L19543c140,A
Co,1431.319,1200,C+,3,nist,L19543c140,A
Co,1431.806,950,C+,3,nist,L19543c140,A
Co,1434.252,2200,C+,3,nist,L19543c140,A
Co,1434.656,310,C,3,nist,L19543c140,A
Co,1435.423,1200,C+,3,nist,L19543c140,A
Co,1435.839,500,C,3,nist,L19543c140,A
Co,1436.228,860,C+,3,nist,L19543c140,A
Co,1438.045,360,D,3,nist,L19543c140,A
Co,1442.089,330,,3,nist,L19543c140,A
Co,1443.513,710,,3,nist,L19543c140,A
Co,1447.467,1100,D+,3,nist,"L19543c140,c153",A
Co,1457.073,170,E,3,nist,L19543c140,A
Co,1466.579,730,D+,3,nist,L3537,A
Co,1466.924,780,C,3,nist,L19543c140,A
Co,1467.394,1300,C,3,nist,L3537c153,A
Co,1467.648,900,C+,3,nist,L19543c140,A
