element,wavelength,intensity,acc,state,source,reference,unit
Cr,10083.1172,400,,1,nist,L14866,A
Cr,10085.9454,140,,1,nist,L14866,A
Cr,10088.974,0,,1,nist,L14866,A
Cr,10092.460,0,,1,nist,L14866,A
Cr,10097.042,0,,1,nist,L14866,A
Cr,10110.621,0,,1,nist,L14866,A
Cr,10113.252,0,,1,nist,L14866,A
Cr,10114.772,0,,1,nist,L14866,A
Cr,10176.789,0,,1,nist,L14866,A
Cr,10199.781,0,,1,nist,L14866,A
Cr,10206.914,0,,1,nist,L14866,A
Cr,10219.944,0,,1,nist,L14866,A
Cr,10251.986,0,,1,nist,L14866,A
Cr,10267.154,0,,1,nist,L14866,A
Cr,10327.948,0,,1,nist,L14866,A
Cr,10360.383,0,,1,nist,L14866,A
Cr,10394.799,0,,1,nist,L14866,A
Cr,10405.059,0,,1,nist,L14866,A
Cr,10409.522,0,,1,nist,L14866,A
Cr,10419.478,0,,1,nist,L14866,A
Cr,10420.211,0,,1,nist,L14866,A
Cr,10434.937,0,,1,nist,L14866,A
Cr,10440.144,0,,1,nist,L14866,A
Cr,10459.126,0,,1,nist,L14866,A
Cr,10463.439,0,,1,nist,L14866,A
Cr,10489.1235,1400,,1,nist,L14866,A
Cr,10512.8914,340,,1,nist,L14866,A
Cr,10547.920,0,,1,nist,L14866,A
Cr,10552.986,0,,1,nist,L14866,A
Cr,10583.153,0,,1,nist,L14866,A
Cr,10629.350,0,,1,nist,L14866,A
Cr,10634.33,0,,1,nist,L808,A
Cr,10634.33,0,,1,nist,L808,A
Cr,10650.5585,300,,1,nist,L14866,A
Cr,10670.4397,400,,1,nist,L14866,A
Cr,10675.0644,570,,1,nist,L14866,A
Cr,10717.348,0,,1,nist,L14866,A
Cr,10804.3200,330,,1,nist,L14866,A
Cr,10819.8679,180,,1,nist,L14866,A
Cr,10824.6242,360,,1,nist,L14866,A
Cr,10908.7002,610,,1,nist,L14866,A
Cr,10932.8689,160,,1,nist,L14866,A
Cr,10944.221,0,,1,nist,L14866,A
Cr,10960.1737,270,,1,nist,L14866,A
Cr,11018.5443,820,,1,nist,L14866,A
Cr,11047.6302,140,,1,nist,L14866,A
Cr,11160.0106,1120,,1,nist,L14866,A
Cr,11212.565,0,,1,nist,L14866,A
Cr,11285.116,0,,1,nist,L14866,A
Cr,11313.8259,1460,,1,nist,L14866,A
Cr,11329.809,0,,1,nist,L14866,A
Cr,11335.0270,1170,,1,nist,L14866,A
Cr,11342.2665,3500,,1,nist,L14866,A
Cr,11382.4497,590,,1,nist,L14866,A
Cr,11392.724,0,,1,nist,L14866,A
Cr,11393.8689,5300,,1,nist,L14866,A
Cr,11401.1838,3200,,1,nist,L14866,A
Cr,11418.125,0,,1,nist,L14866,A
Cr,11476.1641,5000,,1,nist,L14866,A
Cr,11477.555,0,,1,nist,L14866,A
Cr,11487.7722,1020,,1,nist,L14866,A
Cr,11513.322,0,,1,nist,L14866,A
Cr,11529.384,0,,1,nist,L14866,A
Cr,11608.623,0,,1,nist,L14866,A
Cr,11609.219,0,,1,nist,L14866,A
