element,wavelength,intensity,acc,state,source,reference,unit
Cr,10001.5276,0,,2,nist,L18847,A
Cr,10010.2297,0,,2,nist,L18847,A
Cr,10016.6754,0,,2,nist,L18847,A
Cr,10022.8728,0,,2,nist,L18847,A
Cr,10022.9969,0,,2,nist,L18847,A
Cr,10032.9176,0,,2,nist,L18847,A
Cr,10034.865,0,,2,nist,L18847,A
Cr,10039.267,0,,2,nist,L18847,A
Cr,10039.776,0,,2,nist,L18847,A
Cr,10040.3668,0,,2,nist,L18847,A
Cr,10043.9826,0,,2,nist,L18847,A
Cr,10044.702,0,,2,nist,L18847,A
Cr,10047.7752,0,,2,nist,L18847,A
Cr,10047.9268,0,,2,nist,L18847,A
Cr,10049.0159,0,,2,nist,L18847,A
Cr,10050.058,0,,2,nist,L18847,A
Cr,10052.9529,0,,2,nist,L18847,A
Cr,10053.2291,0,,2,nist,L18847,A
Cr,10053.3715,0,,2,nist,L18847,A
Cr,10057.359,0,,2,nist,L18847,A
Cr,10063.4782,0,,2,nist,L18847,A
Cr,10064.0447,0,,2,nist,L18847,A
Cr,10064.4988,0,,2,nist,L18847,A
Cr,10066.4380,0,,2,nist,L18847,A
Cr,10067.6018,0,,2,nist,L18847,A
Cr,10069.198,0,,2,nist,L18847,A
Cr,10070.6330,0,,2,nist,L18847,A
Cr,10070.8594,0,,2,nist,L18847,A
Cr,10070.9620,0,,2,nist,L18847,A
Cr,10078.0319,0,,2,nist,L18847,A
Cr,10078.397,0,,2,nist,L18847,A
Cr,10078.5038,0,,2,nist,L18847,A
Cr,10081.2554,0,,2,nist,L18847,A
Cr,10083.5534,0,,2,nist,L18847,A
Cr,10086.2604,0,,2,nist,L18847,A
Cr,10096.868,0,,2,nist,L18847,A
Cr,10118.3396,0,,2,nist,L18847,A
Cr,10122.8248,0,,2,nist,L18847,A
Cr,10127.2998,0,,2,nist,L18847,A
Cr,10129.738,0,,2,nist,L18847,A
Cr,10132.1430,0,,2,nist,L18847,A
