element,wavelength,intensity,acc,state,source,reference,unit
Cr,1000.86,0,,3,nist,L7485,A
Cr,1001.04,0,,3,nist,L7485,A
Cr,1002.96,0,,3,nist,L7485,A
Cr,1017.14,0,,3,nist,L7485,A
Cr,1017.31,0,,3,nist,L7485,A
Cr,1017.57,0,,3,nist,L7485,A
Cr,1028.33,0,,3,nist,L7485,A
Cr,1030.47,0,,3,nist,L7485,A
Cr,1030.89,0,,3,nist,L7485,A
Cr,1033.23,0,,3,nist,L7485,A
Cr,1033.45,0,,3,nist,L7485,A
Cr,1033.69,100,,3,nist,L7485,A
Cr,1035.93,0,,3,nist,L7485,A
Cr,1036.03,100,,3,nist,L7485,A
Cr,1040.17,0,,3,nist,L7485,A
Cr,1040.53,0,,3,nist,L7485,A
Cr,1045.06,0,,3,nist,L7485,A
Cr,1045.14,0,,3,nist,L7485,A
Cr,1059.13,0,,3,nist,L7485,A
Cr,1060.15,0,,3,nist,L7485,A
Cr,1061.04,0,,3,nist,L7485,A
Cr,1062.68,0,,3,nist,L7485,A
Cr,1064.32,0,,3,nist,L7485,A
Cr,1064.43,0,,3,nist,L7485,A
Cr,1066.23,0,,3,nist,L7485,A
Cr,1068.41,0,,3,nist,L7485,A
Cr,1100.61,0,,3,nist,L7485,A
Cr,1101.43,0,,3,nist,L7485,A
Cr,1102.88,0,,3,nist,L7485,A
Cr,1117.19,0,,3,nist,L7485,A
Cr,1132.75,0,,3,nist,L7485,A
Cr,1136.67,0,,3,nist,L7485,A
Cr,1161.43,0,,3,nist,L7485,A
Cr,1187.65,0,,3,nist,L7485,A
Cr,1206.38,0,,3,nist,L7485,A
Cr,1209.13,0,,3,nist,L7485,A
Cr,1211.12,0,,3,nist,L7485,A
Cr,1221.07,0,,3,nist,L7485,A
Cr,1221.90,0,,3,nist,L7485,A
Cr,1225.65,0,,3,nist,L7485,A
Cr,1228.65,0,,3,nist,L7485,A
Cr,1231.88,0,,3,nist,L7485,A
Cr,1232.96,0,,3,nist,L7485,A
Cr,1236.20,0,,3,nist,L7485,A
Cr,1238.51,0,,3,nist,L7485,A
Cr,1252.61,0,,3,nist,L7485,A
Cr,1259.02,0,,3,nist,L7485,A
Cr,1261.86,0,,3,nist,L7485,A
Cr,1262.34,0,,3,nist,L7485,A
Cr,1263.61,0,,3,nist,L7485,A
Cr,1264.21,0,,3,nist,L7485,A
Cr,1287.05,0,,3,nist,L7485,A
Cr,1455.27,0,,3,nist,L7485,A
Cr,1584.60,0,,3,nist,L7485,A
Cr,1603.19,0,,3,nist,L7485,A
Cr,1679.25,0,,3,nist,L7485,A
Cr,1690.28,0,,3,nist,L7485,A
Cr,1692.89,0,,3,nist,L7485,A
Cr,1696.64,0,,3,nist,L7485,A
Cr,1701.48,0,,3,nist,L7485,A
Cr,1707.43,0,,3,nist,L7485,A
Cr,1707.78,0,,3,nist,L7485,A
Cr,1762.81,0,,3,nist,L7485,A
Cr,1766.92,0,,3,nist,L7485,A
Cr,1769.17,0,,3,nist,L7485,A
Cr,1827.26,0,,3,nist,L7485,A
Cr,2037.04,0,,3,nist,L7485,A
Cr,2040.29,0,,3,nist,L7485,A
Cr,2047.89,0,,3,nist,L7485,A
Cr,2114.40,100,,3,nist,L7485,A
Cr,2114.50,100,,3,nist,L7485,A
Cr,2114.93,0,,3,nist,L7485,A
Cr,2115.20,0,,3,nist,L7485,A
Cr,2115.54,100,,3,nist,L7485,A
Cr,2118.20,100,,3,nist,L7485,A
Cr,2124.20,0,,3,nist,L7485,A
Cr,2139.78,0,,3,nist,L7485,A
Cr,2141.82,100,,3,nist,L7485,A
Cr,2144.83,0,,3,nist,L7485,A
Cr,2147.84,0,,3,nist,L7485,A
Cr,2148.24,0,,3,nist,L7485,A
Cr,2149.33,0,,3,nist,L7485,A
Cr,2150.16,0,,3,nist,L7485,A
Cr,2153.44,0,,3,nist,L7485,A
Cr,2157.85,100,,3,nist,L7485,A
Cr,2164.54,0,,3,nist,L7485,A
Cr,2166.93,0,,3,nist,L7485,A
Cr,2171.38,100,,3,nist,L7485,A
Cr,2184.39,0,,3,nist,L7485,A
Cr,2185.69,100,,3,nist,L7485,A
Cr,2190.77,0,,3,nist,L7485,A
Cr,2191.44,100,,3,nist,L7485,A
Cr,2192.27,100,,3,nist,L7485,A
Cr,2198.58,100,,3,nist,L7485,A
Cr,2199.31,100,,3,nist,L7485,A
Cr,2203.91,100,,3,nist,L7485,A
Cr,2209.39,0,,3,nist,L7485,A
Cr,2227.41,200,,3,nist,L7485,A
Cr,2232.50,100,,3,nist,L7485,A
Cr,2234.50,100,,3,nist,L7485,A
Cr,2236.60,200,,3,nist,L7485,A
Cr,2238.28,150,,3,nist,L7485,A
Cr,2244.80,150,,3,nist,L7485,A
Cr,2252.15,0,,3,nist,L7485,A
Cr,2258.62,0,,3,nist,L7485,A
Cr,2274.00,100,,3,nist,L7485,A
Cr,2276.13,0,,3,nist,L7485,A
Cr,2277.08,100,,3,nist,L7485,A
Cr,2278.17,0,,3,nist,L7485,A
Cr,2285.14,150,,3,nist,L7485,A
Cr,2289.94,0,,3,nist,L7485,A
Cr,2291.37,0,,3,nist,L7485,A
Cr,2296.26,0,,3,nist,L7485,A
Cr,2310.70,0,,3,nist,L7485,A
Cr,2315.34,0,,3,nist,L7485,A
Cr,2319.78,100,,3,nist,L7485,A
Cr,2325.59,150,,3,nist,L7485,A
Cr,2341.23,0,,3,nist,L7485,A
Cr,2457.57,0,,3,nist,L7485,A
Cr,2473.63,100,,3,nist,L7485,A
Cr,2480.52,100,,3,nist,L7485,A
Cr,2483.81,100,,3,nist,L7485,A
Cr,2489.01,0,,3,nist,L7485,A
Cr,2507.17,0,,3,nist,L7485,A
Cr,2531.75,0,,3,nist,L7485,A
Cr,2538.49,0,,3,nist,L7485,A
Cr,2545.13,0,,3,nist,L7485,A
Cr,2545.93,0,,3,nist,L7485,A
Cr,2565.53,0,,3,nist,L7485,A
Cr,2617.28,0,,3,nist,L7485,A
Cr,2626.86,100,,3,nist,L7485,A
Cr,2641.52,100,,3,nist,L7485,A
Cr,2648.29,0,,3,nist,L7485,A
Cr,2656.07,0,,3,nist,L7485,A
Cr,2917.42,0,,3,nist,L7485,A
Cr,969.26,0,,3,nist,L7485,A
