element,wavelength,intensity,acc,state,source,reference,unit
Cr,1055.89,0,,4,nist,L1932,A
Cr,1057.85,0,,4,nist,L1932,A
Cr,1367.39,0,,4,nist,L1932,A
Cr,1375.05,0,,4,nist,L1932,A
Cr,1401.82,0,,4,nist,L1932,A
Cr,1417.42,100,,4,nist,L1932,A
Cr,1485.05,0,,4,nist,L1932,A
Cr,1595.04,0,,4,nist,L1932,A
Cr,1595.59,0,,4,nist,L1932,A
Cr,1658.08,100,,4,nist,L1932,A
Cr,1672.66,120,,4,nist,L1932,A
Cr,1686.07,0,,4,nist,L1932,A
Cr,1690.88,100,,4,nist,L1932,A
Cr,1725.26,0,,4,nist,L1932,A
Cr,1727.07,0,,4,nist,L1932,A
Cr,1732.04,100,,4,nist,L1932,A
Cr,1733.98,0,,4,nist,L1932,A
Cr,1734.16,0,,4,nist,L1932,A
Cr,1739.19,0,,4,nist,L1932,A
Cr,1746.88,0,,4,nist,L1932,A
Cr,1747.13,0,,4,nist,L1932,A
Cr,1755.64,110,,4,nist,L1932,A
Cr,1758.51,120,,4,nist,L1932,A
Cr,1769.64,100,,4,nist,L1932,A
Cr,1777.82,100,,4,nist,L1932,A
Cr,1791.09,0,,4,nist,L1932,A
Cr,1802.72,140,,4,nist,L1932,A
Cr,1812.41,130,,4,nist,L1932,A
Cr,1819.23,0,,4,nist,L1932,A
Cr,1826.21,0,,4,nist,L1932,A
Cr,1826.86,0,,4,nist,L1932,A
Cr,1840.14,100,,4,nist,L1932,A
Cr,1851.89,0,,4,nist,L1932,A
Cr,1863.11,100,,4,nist,L1932,A
Cr,1873.89,140,,4,nist,L1932,A
Cr,1883.16,0,,4,nist,L1932,A
Cr,1937.63,0,,4,nist,L1932,A
Cr,1946.59,0,,4,nist,L1932,A
Cr,1967.18,140,,4,nist,L1932,A
Cr,1972.07,120,,4,nist,L1932,A
Cr,1990.25,0,,4,nist,L1932,A
Cr,2043.57,0,,4,nist,L1932,A
Cr,2056.39,0,,4,nist,L1932,A
Cr,2299.92,0,,4,nist,L1932,A
Cr,2300.30,0,,4,nist,L1932,A
Cr,2317.56,100,,4,nist,L1932,A
Cr,2324.77,0,,4,nist,L1932,A
Cr,2361.12,0,,4,nist,L1932,A
Cr,2405.88,0,,4,nist,L1932,A
Cr,2424.06,0,,4,nist,L1932,A
Cr,575.05,0,,4,nist,L1932,A
Cr,576.24,0,,4,nist,L1932,A
Cr,576.62,0,,4,nist,L1932,A
Cr,595.09,0,,4,nist,L1932,A
Cr,612.64,0,,4,nist,L1932,A
Cr,613.75,0,,4,nist,L1932,A
Cr,614.03,0,,4,nist,L1932,A
Cr,614.90,0,,4,nist,L1932,A
Cr,615.34,0,,4,nist,L1932,A
Cr,615.60,0,,4,nist,L1932,A
Cr,616.82,0,,4,nist,L1932,A
Cr,618.23,0,,4,nist,L1932,A
Cr,619.13,0,,4,nist,L1932,A
Cr,620.66,100,,4,nist,L1932,A
Cr,621.36,0,,4,nist,L1932,A
Cr,622.09,0,,4,nist,L1932,A
Cr,623.54,0,,4,nist,L1932,A
Cr,625.04,0,,4,nist,L1932,A
Cr,625.99,0,,4,nist,L1932,A
Cr,629.26,100,,4,nist,L1932,A
Cr,629.74,0,,4,nist,L1932,A
Cr,630.30,0,,4,nist,L1932,A
Cr,632.62,0,,4,nist,L1932,A
Cr,637.34,0,,4,nist,L1932,A
Cr,637.55,0,,4,nist,L1932,A
Cr,638.13,0,,4,nist,L1932,A
Cr,638.54,0,,4,nist,L1932,A
Cr,666.55,100,,4,nist,L1932,A
Cr,667.30,0,,4,nist,L1932,A
Cr,677.55,0,,4,nist,L1932,A
Cr,687.12,0,,4,nist,L1932,A
Cr,688.46,0,,4,nist,L1932,A
Cr,693.92,100,,4,nist,L1932,A
Cr,695.21,0,,4,nist,L1932,A
Cr,705.98,0,,4,nist,L1932,A
Cr,712.90,0,,4,nist,L1932,A
