element,wavelength,intensity,acc,state,source,reference,unit
Cs,10046.2776,5600,,2,nist,L12126,A
Cs,10058.7558,21000,,2,nist,L12126,A
Cs,10075.8827,2200,,2,nist,L12126,A
Cs,10101.5419,16000,,2,nist,L12126,A
Cs,10124.201,1300,,2,nist,L12126,A
Cs,10128.4264,54000,,2,nist,L12126,A
Cs,10154.0842,3400,,2,nist,L12126,A
Cs,10178.8089,300000,,2,nist,L12126,A
Cs,10179.7104,15000,,2,nist,L12126,A
Cs,10230.2931,7600,,2,nist,L12126,A
Cs,10273.526,13000,,2,nist,L12126,A
Cs,10310.9209,2700,,2,nist,L12126,A
Cs,10316.5203,1600,,2,nist,L12126,A
Cs,10330.3573,6600,,2,nist,L12126,A
Cs,10382.5054,270000,,2,nist,L12126,A
Cs,10397.2784,1300,,2,nist,L12126,A
Cs,10402.28,860,,2,nist,L12126,A
Cs,10411.7333,31000,,2,nist,L12126,A
Cs,10417.408,9300,,2,nist,L12126,A
Cs,10449.531,920,,2,nist,L12126,A
Cs,10451.271,410,,2,nist,L12126,A
Cs,10462.58,550,,2,nist,L12126,A
Cs,10480.8902,10000,,2,nist,L12126,A
Cs,10483.7979,130000,,2,nist,L12126,A
Cs,10504.1703,1700,,2,nist,L12126,A
Cs,10507.3892,470000,,2,nist,L12126,A
Cs,10578.5855,1300,,2,nist,L12126,A
Cs,10594.2205,290,,2,nist,L12126,A
Cs,10641.7049,4500,,2,nist,L12126,A
Cs,10652.2403,390,,2,nist,L12126,A
Cs,10655.566,3500,,2,nist,L12126,A
Cs,10657.496,950,,2,nist,L12126,A
Cs,10664.4209,1000,,2,nist,L12126,A
Cs,10722.6592,1400,,2,nist,L12126,A
Cs,10732.5573,35000,,2,nist,L12126,A
Cs,10810.8369,190000,,2,nist,L12126,A
Cs,10817.9776,1800,,2,nist,L12126,A
Cs,10819.9739,5900,,2,nist,L12126,A
Cs,10824.6926,1900,,2,nist,L12126,A
Cs,10848.3545,780,,2,nist,L12126,A
Cs,10872.0150,750,,2,nist,L12126,A
Cs,10878.3928,980,,2,nist,L12126,A
Cs,10879.631,800,,2,nist,L12126,A
Cs,10952.7229,5900,,2,nist,L12126,A
Cs,10955.701,3300,,2,nist,L12126,A
Cs,10959.233,120,,2,nist,L12126,A
Cs,11017.4431,15000,,2,nist,L12126,A
Cs,11026.5151,570,,2,nist,L12126,A
Cs,11042.7689,1100,,2,nist,L12126,A
Cs,11064.8231,11000,,2,nist,L12126,A
Cs,11096.6901,4800,,2,nist,L12126,A
Cs,11105.2686,830,,2,nist,L12126,A
Cs,11128.3342,0,,2,nist,L12126,A
Cs,11147.4875,660,,2,nist,L12126,A
Cs,11184.693,120,,2,nist,L12126,A
Cs,11204.4401,740,,2,nist,L12126,A
Cs,11211.3106,250,,2,nist,L12126,A
Cs,11225.9316,2800,,2,nist,L12126,A
Cs,11232.737,270,,2,nist,L12126,A
Cs,11252.5811,750,,2,nist,L12126,A
Cs,11285.376,4500,,2,nist,L12126,A
Cs,11290.459,6000,,2,nist,L12126,A
Cs,11315.566,1900,,2,nist,L12126,A
Cs,11327.4422,61000,,2,nist,L12126,A
Cs,11338.1211,3100,,2,nist,L12126,A
Cs,11421.8568,3800,,2,nist,L12126,A
Cs,11426.3745,19000,,2,nist,L12126,A
Cs,11429.232,5000,,2,nist,L12126,A
Cs,11450.299,9000,,2,nist,L12126,A
Cs,11450.7051,7700,,2,nist,L12126,A
Cs,11461.824,910,,2,nist,L12126,A
Cs,11475.242,2600,,2,nist,L12126,A
