element,wavelength,intensity,acc,state,source,reference,unit
Cs,1019.129,0,,4,nist,L8236,A
Cs,1068.473,0,,4,nist,L8236,A
Cs,1068.909,0,,4,nist,L8236,A
Cs,1282.659,0,,4,nist,L5760,A
Cs,344.207,0,,4,nist,L12055,A
Cs,344.639,0,,4,nist,L12055,A
Cs,345.540,0,,4,nist,L12055,A
Cs,345.878,0,,4,nist,L12055,A
Cs,346.516,0,,4,nist,L12055,A
Cs,355.839,0,,4,nist,L12055,A
Cs,360.206,0,,4,nist,L12055,A
Cs,363.319,0,,4,nist,L12055,A
Cs,364.002,0,,4,nist,L12055,A
Cs,366.070,0,,4,nist,L12055,A
Cs,367.467,0,,4,nist,L12055,A
Cs,367.628,0,,4,nist,L12055,A
Cs,369.428,0,,4,nist,L12055,A
Cs,369.495,0,,4,nist,L12055,A
Cs,369.696,0,,4,nist,L12055,A
Cs,370.350,0,,4,nist,L12055,A
Cs,370.692,0,,4,nist,L12055,A
Cs,371.088,0,,4,nist,L12055,A
Cs,371.192,0,,4,nist,L12055,A
Cs,372.239,0,,4,nist,L12055,A
Cs,372.410,0,,4,nist,L12055,A
Cs,373.122,0,,4,nist,L12055,A
Cs,373.366,0,,4,nist,L12055,A
Cs,374.252,0,,4,nist,L12055,A
Cs,374.450,0,,4,nist,L12055,A
Cs,375.431,0,,4,nist,L12055,A
Cs,377.206,0,,4,nist,L12055,A
Cs,378.535,0,,4,nist,L12055,A
Cs,380.006,0,,4,nist,L12055,A
Cs,381.461,0,,4,nist,L12055,A
Cs,381.872,0,,4,nist,L12055,A
Cs,382.193,0,,4,nist,L12055,A
Cs,382.880,0,,4,nist,L12055,A
Cs,384.758,0,,4,nist,L12055,A
Cs,386.420,0,,4,nist,L12055,A
Cs,386.442,0,,4,nist,L12055,A
Cs,388.431,0,,4,nist,L12055,A
Cs,388.931,0,,4,nist,L12055,A
Cs,391.209,0,,4,nist,L12055,A
Cs,391.503,0,,4,nist,L12055,A
Cs,391.604,0,,4,nist,L12055,A
Cs,391.997,0,,4,nist,L12055,A
Cs,393.222,0,,4,nist,L12055,A
Cs,393.464,0,,4,nist,L12055,A
Cs,394.952,0,,4,nist,L12055,A
Cs,396.505,0,,4,nist,L12055,A
Cs,396.637,0,,4,nist,L12055,A
Cs,396.745,0,,4,nist,L12055,A
Cs,397.533,0,,4,nist,L12055,A
Cs,397.804,0,,4,nist,L12055,A
Cs,397.974,0,,4,nist,L12055,A
Cs,398.211,0,,4,nist,L12055,A
Cs,399.336,0,,4,nist,L12055,A
Cs,400.106,0,,4,nist,L12055,A
Cs,400.585,0,,4,nist,L12055,A
Cs,400.819,0,,4,nist,L12055,A
Cs,401.186,0,,4,nist,L12055,A
Cs,402.053,0,,4,nist,L12055,A
Cs,402.110,0,,4,nist,L12055,A
Cs,402.779,0,,4,nist,L12055,A
Cs,403.603,0,,4,nist,L12055,A
Cs,405.750,0,,4,nist,L12055,A
Cs,406.119,0,,4,nist,L12055,A
Cs,406.355,0,,4,nist,L12055,A
Cs,406.403,0,,4,nist,L12055,A
Cs,409.244,0,,4,nist,L12055,A
Cs,410.773,0,,4,nist,L12055,A
Cs,414.742,0,,4,nist,L12055,A
Cs,415.138,0,,4,nist,L12055,A
Cs,416.158,0,,4,nist,L12055,A
Cs,420.640,0,,4,nist,L12055,A
Cs,424.113,0,,4,nist,L12055,A
Cs,428.892,0,,4,nist,L12055,A
Cs,430.219,0,,4,nist,L12055,A
Cs,435.424,0,,4,nist,L12055,A
Cs,443.784,0,,4,nist,L12055,A
Cs,479.616,0,,4,nist,L12055,A
Cs,503.142,0,,4,nist,L12055,A
Cs,506.633,0,,4,nist,L8236,A
Cs,511.254,0,,4,nist,L8236,A
Cs,512.728,0,,4,nist,L8236,A
Cs,513.650,0,,4,nist,L12055,A
Cs,525.460,0,,4,nist,L12055,A
Cs,528.492,0,,4,nist,L8236,A
Cs,529.760,0,,4,nist,L8236,A
Cs,532.636,0,,4,nist,L8236,A
Cs,533.992,0,,4,nist,L8236,A
Cs,534.237,0,,4,nist,L8236,A
Cs,537.884,0,,4,nist,L8236,A
Cs,538.448,0,,4,nist,L8236,A
Cs,538.761,0,,4,nist,L12055,A
Cs,539.860,0,,4,nist,L8236,A
Cs,540.728,0,,4,nist,L12055,A
Cs,542.070,0,,4,nist,L8236,A
Cs,547.726,0,,4,nist,L8236,A
Cs,547.915,0,,4,nist,L8236,A
Cs,549.616,0,,4,nist,L8236,A
Cs,550.104,0,,4,nist,L8236,A
Cs,553.895,0,,4,nist,L8236,A
Cs,555.402,0,,4,nist,L8236,A
Cs,556.664,0,,4,nist,L8236,A
Cs,557.170,0,,4,nist,L8236,A
Cs,558.160,0,,4,nist,L8236,A
Cs,559.794,0,,4,nist,L8236,A
Cs,562.561,0,,4,nist,L12055,A
Cs,566.169,0,,4,nist,L8236,A
Cs,566.602,0,,4,nist,L8236,A
Cs,567.163,0,,4,nist,L8236,A
Cs,567.650,0,,4,nist,L8236,A
Cs,572.117,0,,4,nist,L8236,A
Cs,572.348,0,,4,nist,L8236,A
Cs,573.515,0,,4,nist,L8236,A
Cs,574.903,0,,4,nist,L8236,A
Cs,574.938,0,,4,nist,L8236,A
Cs,577.996,0,,4,nist,L8236,A
Cs,578.619,0,,4,nist,L8236,A
Cs,583.265,0,,4,nist,L8236,A
Cs,586.848,0,,4,nist,L8236,A
Cs,589.175,0,,4,nist,L8236,A
Cs,589.373,0,,4,nist,L8236,A
Cs,589.589,0,,4,nist,L8236,A
Cs,589.776,0,,4,nist,L12055,A
Cs,591.568,0,,4,nist,L8236,A
Cs,592.990,0,,4,nist,L8236,A
Cs,593.605,0,,4,nist,L8236,A
Cs,596.822,0,,4,nist,L8236,A
Cs,600.327,0,,4,nist,L8236,A
Cs,600.563,0,,4,nist,L8236,A
Cs,600.702,0,,4,nist,L8236,A
Cs,601.476,0,,4,nist,L8236,A
Cs,605.252,0,,4,nist,L8236,A
Cs,605.477,0,,4,nist,L8236,A
Cs,606.193,0,,4,nist,L8236,A
Cs,607.499,0,,4,nist,L8236,A
Cs,615.668,0,,4,nist,L8236,A
Cs,617.984,0,,4,nist,L8236,A
Cs,617.984,0,,4,nist,L8236,A
Cs,618.220,0,,4,nist,L12055,A
Cs,618.431,0,,4,nist,L8236,A
Cs,620.387,0,,4,nist,L8236,A
Cs,625.852,0,,4,nist,L8236,A
Cs,630.034,0,,4,nist,L8236,A
Cs,630.720,0,,4,nist,L8236,A
Cs,631.296,0,,4,nist,L8236,A
Cs,633.700,0,,4,nist,L8236,A
Cs,634.927,0,,4,nist,L8236,A
Cs,637.180,0,,4,nist,L8236,A
Cs,644.974,0,,4,nist,L8236,A
Cs,646.615,0,,4,nist,L8236,A
Cs,649.206,0,,4,nist,L8236,A
Cs,649.505,150,,4,nist,L12055,A
Cs,651.171,0,,4,nist,L8236,A
Cs,652.795,0,,4,nist,L8236,A
Cs,654.553,0,,4,nist,L8236,A
Cs,654.982,0,,4,nist,L8236,A
Cs,659.167,0,,4,nist,L8236,A
Cs,660.478,0,,4,nist,L8236,A
Cs,662.330,0,,4,nist,L8236,A
Cs,663.596,0,,4,nist,L8236,A
Cs,668.233,0,,4,nist,L8236,A
Cs,668.789,0,,4,nist,L8236,A
Cs,672.769,0,,4,nist,L8236,A
Cs,677.069,0,,4,nist,L8236,A
Cs,681.202,0,,4,nist,L8236,A
Cs,684.407,0,,4,nist,L8236,A
Cs,686.259,0,,4,nist,L8236,A
Cs,695.142,0,,4,nist,L8236,A
Cs,701.094,0,,4,nist,L12055,A
Cs,703.395,0,,4,nist,L8236,A
Cs,705.852,0,,4,nist,L8236,A
Cs,707.199,0,,4,nist,L8236,A
Cs,714.644,0,,4,nist,L8236,A
Cs,717.906,0,,4,nist,L12055,A
Cs,719.990,0,,4,nist,L8236,A
