element,wavelength,intensity,acc,state,source,reference,unit
Cs,1011.899,0,,5,nist,L11170,A
Cs,1064.889,0,,5,nist,L11170,A
Cs,1069.193,0,,5,nist,L11170,A
Cs,1196.390,0,,5,nist,L11170,A
Cs,1235.795,0,,5,nist,L11170,A
Cs,446.429,0,,5,nist,L11170,A
Cs,449.919,0,,5,nist,L11170,A
Cs,450.585,0,,5,nist,L11170,A
Cs,453.200,0,,5,nist,L11170,A
Cs,454.308,0,,5,nist,L11170,A
Cs,459.232,0,,5,nist,L11170,A
Cs,460.900,0,,5,nist,L11170,A
Cs,461.608,0,,5,nist,L11170,A
Cs,465.508,0,,5,nist,L11170,A
Cs,466.935,0,,5,nist,L11170,A
Cs,472.870,0,,5,nist,L11170,A
Cs,473.747,0,,5,nist,L11170,A
Cs,475.446,0,,5,nist,L11170,A
Cs,478.645,0,,5,nist,L11170,A
Cs,479.011,0,,5,nist,L11170,A
Cs,483.428,0,,5,nist,L11170,A
Cs,483.765,0,,5,nist,L11170,A
Cs,484.554,0,,5,nist,L11170,A
Cs,486.881,0,,5,nist,L11170,A
Cs,487.323,0,,5,nist,L11170,A
Cs,487.960,0,,5,nist,L11170,A
Cs,491.093,0,,5,nist,L11170,A
Cs,491.480,0,,5,nist,L11170,A
Cs,496.134,0,,5,nist,L11170,A
Cs,496.135,0,,5,nist,L11170,A
Cs,497.163,0,,5,nist,L11170,A
Cs,499.691,0,,5,nist,L11170,A
Cs,501.494,0,,5,nist,L11170,A
Cs,502.298,0,,5,nist,L11170,A
Cs,506.633,0,,5,nist,L11170,A
Cs,509.164,0,,5,nist,L11170,A
Cs,510.189,0,,5,nist,L11170,A
Cs,511.960,0,,5,nist,L11170,A
Cs,512.645,0,,5,nist,L11170,A
Cs,516.024,0,,5,nist,L11170,A
Cs,518.351,0,,5,nist,L11170,A
Cs,521.141,0,,5,nist,L11170,A
Cs,521.828,0,,5,nist,L11170,A
Cs,522.741,0,,5,nist,L11170,A
Cs,522.912,0,,5,nist,L11170,A
Cs,523.280,0,,5,nist,L11170,A
Cs,524.350,0,,5,nist,L11170,A
Cs,525.967,0,,5,nist,L11170,A
Cs,526.034,0,,5,nist,L11170,A
