element,wavelength,intensity,acc,state,source,reference,unit
Cu,1.213,0,,27,nist,L6483,A
Cu,1.272,0,,27,nist,L6483,A
Cu,10.057,0,,21,nist,L5090,A
Cu,10.074,0,,21,nist,L5090,A
Cu,10.121,0,,21,nist,L5090,A
Cu,10.203,0,,21,nist,L5090,A
Cu,10.234,0,,21,nist,L5090,A
Cu,10.260,0,,21,nist,L5090,A
Cu,10.282,0,,21,nist,L5090,A
Cu,10.291,0,,21,nist,L5090,A
Cu,10.306,0,,21,nist,L5090,A
Cu,10.316,0,,21,nist,L5090,A
Cu,10.354,0,,21,nist,L5090,A
Cu,10.392,0,,21,nist,L5090,A
Cu,10.597,0,,20,nist,L5090,A
Cu,10.653,0,,20,nist,L5090,A
Cu,10.800,0,,21,nist,L5090,A
Cu,10.801,0,,21,nist,L5122,A
Cu,10.813,0,,21,nist,L5090,A
Cu,10.858,0,,21,nist,L5090,A
Cu,10.863,0,,21,nist,L5090,A
Cu,10.893,0,,21,nist,L5090,A
Cu,10.971,0,,21,nist,L5090,A
Cu,100.637,0,,24,nist,L6733,A
Cu,10009.331,8400,C+,2,nist,L19804c168,A
Cu,1001.0129,22000,,2,nist,L19804c170,A
Cu,10025.7149,20000,B,2,nist,L19804c168,A
Cu,10029.643,1500,,2,nist,L19804c168,A
Cu,10038.975,5700,C+,2,nist,L19804c168,A
Cu,1004.0540,330000,,2,nist,L19804c170,A
Cu,10040.8438,14000,B,2,nist,L19804c168,A
Cu,10043.251,560,D+,2,nist,L869c171,A
Cu,10052.528,1200,D+,2,nist,L869c171,A
Cu,10053.7784,5100,C+,2,nist,L19804c168,A
Cu,10057.69213,24000,B,2,nist,L19804c168,A
Cu,1006.980,13000,,2,nist,L14468c171,A
Cu,10060.366,180,D+,2,nist,L869c171,A
Cu,1008.5674,290000,,2,nist,L19804c170,A
Cu,1008.7274,310000,,2,nist,L19804c170,A
Cu,10083.1132,11000,B,2,nist,L19804c168,A
Cu,10094.91,990,D+,2,nist,"L869c171,c172",A
Cu,10094.91,990,D+,2,nist,L869c171,A
Cu,1010.2680,320000,,2,nist,L19804c170,A
Cu,1010.4520,48000,,2,nist,L19804c170,A
Cu,1010.640,18000,,2,nist,L19804c170,A
Cu,1011.436,29000,,2,nist,L14468c171,A
Cu,1012.5956,290000,,2,nist,L19804c170,A
Cu,1012.6813,50000,,2,nist,L19804c170,A
Cu,10127.3,0,,1,nist,L150,A
Cu,1013.382,15000,,2,nist,L14468c171,A
Cu,10149.56,0,,1,nist,"L150,L772",A
Cu,10165.594,3800,C+,2,nist,L19804c168,A
Cu,10169.6069,18000,B,2,nist,L19804c168,A
Cu,1017.9976,70000,,2,nist,L19804c170,A
Cu,10174.79,0,,1,nist,"L150,L772",A
Cu,10179.222,1700,D+,2,nist,L869c171,A
Cu,1018.0628,180000,,2,nist,L19804c170,A
Cu,1018.7031,550000,,2,nist,L19804c170,A
Cu,10182.0,0,,1,nist,L150,A
Cu,1019.6525,240000,,2,nist,L19804c170,A
Cu,10196.454,1100,,2,nist,L869c171,A
Cu,102.960,100,,19,nist,L4665,A
Cu,1020.1070,280000,,2,nist,L19804c170,A
Cu,1022.102,91000,,2,nist,L14468c171,A
Cu,10227.876,1700,,2,nist,L869c171,A
Cu,10240.03,120,,2,nist,"L869c171,c172",A
Cu,10240.03,120,,2,nist,L869c171,A
Cu,10249.851,1300,D+,2,nist,L869c171,A
Cu,1027.825,1800000,C,2,nist,L19804c170,A
Cu,1028.3251,670000,,2,nist,L19804c170,A
Cu,10281.503,540,,2,nist,L869c171,A
Cu,1029.7493,290000,,2,nist,L19804c170,A
Cu,103.179,150,,19,nist,L4665,A
Cu,103.702,0,,24,nist,L6733,A
Cu,1030.2612,500000,,2,nist,L19804c170,A
Cu,10300.22,0,,2,nist,"L869c171,c153",A
Cu,1031.7650,240000,,2,nist,L19804c170,A
Cu,1033.5668,200000,,2,nist,L19804c170,A
Cu,10346.304,6100,C+,2,nist,L869c171,A
Cu,1035.161,85000,,2,nist,L19804c170,A
Cu,1036.465,1800000,C,2,nist,L19804c170,A
Cu,10360.441,780,D+,2,nist,L869c171,A
Cu,10383.168,130,,2,nist,"L869c171,c172",A
Cu,10383.168,130,,2,nist,L869c171,A
Cu,1039.341,2100000,C,2,nist,L19804c170,A
Cu,1039.579,1900000,C,2,nist,L19804c170,A
Cu,104.292,0,,24,nist,L6733,A
Cu,104.620,0,,22,nist,L6733,A
Cu,10427.159,3700,D+,2,nist,L19804c168,A
Cu,1044.5185,2300000,C,2,nist,L22,A
Cu,1044.7437,2200000,C,2,nist,L22,A
Cu,10455.876,4800,D+,2,nist,L19804c168,A
