element,wavelength,intensity,acc,state,source,reference,unit
Cu,10127.3,0,,1,nist,L150,A
Cu,10149.56,0,,1,nist,"L150,L772",A
Cu,10174.79,0,,1,nist,"L150,L772",A
Cu,10182.0,0,,1,nist,L150,A
Cu,10774.7,0,,1,nist,L150,A
Cu,10886.3,0,,1,nist,L150,A
Cu,11121.2,0,,1,nist,L150,A
Cu,1146.61,0,,1,nist,L1923,A
Cu,1147.25,0,,1,nist,L1923,A
Cu,1151.43,0,,1,nist,L1923,A
Cu,1152.33,0,,1,nist,L1923,A
Cu,1158.52,0,,1,nist,L1923,A
Cu,1159.93,0,,1,nist,L1923,A
Cu,1162.71,0,,1,nist,L1923,A
Cu,1163.17,0,,1,nist,L1923,A
Cu,1163.79,0,,1,nist,L1923,A
Cu,1164.42,0,,1,nist,L1923,A
Cu,1165.24,0,,1,nist,L1923,A
Cu,1166.18,0,,1,nist,L1923,A
Cu,1166.29,0,,1,nist,L1923,A
Cu,1167.39,0,,1,nist,L1923,A
Cu,1167.53,0,,1,nist,L1923,A
Cu,1168.95,0,,1,nist,L1923,A
Cu,1169.11,0,,1,nist,L1923,A
Cu,1169.64,0,,1,nist,L1923,A
Cu,1170.95,0,,1,nist,L1923,A
Cu,1171.14,0,,1,nist,L1923,A
Cu,1172.07,0,,1,nist,L1923,A
Cu,1173.58,0,,1,nist,L1923,A
Cu,1173.99,0,,1,nist,L1923,A
Cu,1177.16,0,,1,nist,L1923,A
Cu,1177.70,0,,1,nist,L1923,A
Cu,1178.49,0,,1,nist,L1923,A
Cu,1179.00,0,,1,nist,L1923,A
Cu,1179.60,0,,1,nist,L1923,A
Cu,1180.25,0,,1,nist,L1923,A
Cu,1181.10,0,,1,nist,L1923,A
Cu,1181.97,0,,1,nist,L1923,A
Cu,1182.21,0,,1,nist,L1923,A
Cu,1182.97,0,,1,nist,L1923,A
Cu,1183.30,0,,1,nist,L1923,A
Cu,1183.49,0,,1,nist,L1923,A
Cu,1184.91,0,,1,nist,L1923,A
Cu,1185.16,0,,1,nist,L1923,A
Cu,1186.95,0,,1,nist,L1923,A
Cu,1187.25,0,,1,nist,L1923,A
Cu,1188.62,0,,1,nist,L1923,A
Cu,1189.70,0,,1,nist,L1923,A
Cu,1189.93,0,,1,nist,L1923,A
Cu,1190.12,0,,1,nist,L1923,A
Cu,1190.82,0,,1,nist,L1923,A
Cu,1191.36,0,,1,nist,L1923,A
Cu,1191.87,0,,1,nist,L1923,A
Cu,1192.45,0,,1,nist,L1923,A
Cu,1193.07,0,,1,nist,L1923,A
Cu,1193.07,0,,1,nist,L1923,A
Cu,1193.31,0,,1,nist,L1923,A
Cu,1193.94,0,,1,nist,L1923,A
Cu,1194.46,0,,1,nist,L1923,A
Cu,1195.02,0,,1,nist,L1923,A
Cu,1195.11,0,,1,nist,L1923,A
Cu,1196.31,0,,1,nist,L1923,A
Cu,1196.39,0,,1,nist,L1923,A
Cu,1197.92,0,,1,nist,L1923,A
Cu,1198.03,0,,1,nist,L1923,A
Cu,1198.54,0,,1,nist,L1923,A
Cu,1199.30,0,,1,nist,L1923,A
Cu,1200.00,0,,1,nist,L1923,A
Cu,1200.24,0,,1,nist,L1923,A
Cu,1201.40,0,,1,nist,L1923,A
Cu,1202.753,0,,1,nist,L9299,A
Cu,1203.22,0,,1,nist,L1923,A
Cu,1206.23,0,,1,nist,L1923,A
Cu,1206.58,0,,1,nist,L1923,A
Cu,1206.77,0,,1,nist,L1923,A
Cu,1207.53,0,,1,nist,L1923,A
Cu,1211.89,0,,1,nist,L1923,A
Cu,1212.38,0,,1,nist,L1923,A
Cu,1217.66,0,,1,nist,L1923,A
Cu,1218.26,0,,1,nist,L1923,A
Cu,1219.72,0,,1,nist,L1923,A
Cu,1219.95,0,,1,nist,L1923,A
Cu,1221.29,0,,1,nist,L1923,A
Cu,1221.39,0,,1,nist,L1923,A
Cu,1224.85,0,,1,nist,L1923,A
Cu,1225.29,0,,1,nist,L1923,A
Cu,1225.29,0,,1,nist,L1923,A
Cu,1232.09,0,,1,nist,L1923,A
Cu,1233.28,0,,1,nist,L1923,A
Cu,1235.42,0,,1,nist,L1923,A
Cu,1242.57,0,,1,nist,L1923,A
Cu,1243.40,0,,1,nist,L1923,A
Cu,1253.15,0,,1,nist,L1923,A
Cu,1255.53,0,,1,nist,L1923,A
Cu,1260.12,0,,1,nist,L1923,A
Cu,1267.10,0,,1,nist,L1923,A
Cu,1267.55,0,,1,nist,L1923,A
Cu,1287.28,0,,1,nist,L1923,A
Cu,1288.28,0,,1,nist,L1923,A
Cu,1293.71,0,,1,nist,L1923,A
Cu,1293.88,0,,1,nist,L1923,A
Cu,1300.17,0,,1,nist,L1923,A
Cu,1331.72,0,,1,nist,L1923,A
Cu,1346.67,0,,1,nist,L1923,A
Cu,1374.80,0,,1,nist,L1923,A
Cu,1377.38,0,,1,nist,L1923,A
Cu,1389.88,0,,1,nist,L1923,A
Cu,1408.42,0,,1,nist,L1923,A
Cu,1422.87,0,,1,nist,L1923,A
Cu,1579.650,0,,1,nist,L4958,A
Cu,1583.797,0,,1,nist,L4958,A
Cu,1585.871,0,,1,nist,L4958,A
Cu,16010.16,217000,,1,nist,L18473,A
Cu,16010.977,371000,,1,nist,L18473,A
Cu,1605.623,0,,1,nist,L4958,A
Cu,1605.658,0,,1,nist,L4958,A
Cu,1605.694,0,,1,nist,L4958,A
Cu,1605.736,0,,1,nist,L4958,A
Cu,1605.776,0,,1,nist,L4958,A
Cu,1605.820,0,,1,nist,L4958,A
Cu,1605.864,0,,1,nist,L4958,A
Cu,1605.915,0,,1,nist,L4958,A
Cu,1605.969,0,,1,nist,L4958,A
Cu,1606.024,0,,1,nist,L4958,A
Cu,1606.085,0,,1,nist,L4958,A
Cu,1606.149,0,,1,nist,L4958,A
Cu,1606.218,0,,1,nist,L4958,A
Cu,1606.293,0,,1,nist,L4958,A
Cu,1606.372,0,,1,nist,L4958,A
Cu,1606.457,0,,1,nist,L4958,A
Cu,1606.549,0,,1,nist,L4958,A
Cu,1606.611,0,,1,nist,L4958,A
Cu,1606.649,0,,1,nist,L4958,A
Cu,1606.717,0,,1,nist,L4958,A
Cu,1606.756,0,,1,nist,L4958,A
Cu,1606.825,0,,1,nist,L4958,A
Cu,1606.873,0,,1,nist,L4958,A
Cu,1606.948,0,,1,nist,L4958,A
Cu,1607.001,100,,1,nist,L4958,A
Cu,1607.083,0,,1,nist,L4958,A
Cu,1607.140,150,,1,nist,L4958,A
Cu,1607.222,0,,1,nist,L4958,A
Cu,1607.290,200,,1,nist,L4958,A
Cu,1607.384,0,,1,nist,L4958,A
Cu,1607.454,250,,1,nist,L4958,A
Cu,1607.555,0,,1,nist,L4958,A
Cu,1607.636,300,,1,nist,L4958,A
Cu,1607.750,0,,1,nist,L4958,A
Cu,1607.837,400,,1,nist,L4958,A
Cu,1607.961,0,,1,nist,L4958,A
Cu,1608.060,500,,1,nist,L4958,A
Cu,1608.196,0,,1,nist,L4958,A
Cu,1608.306,600,,1,nist,L4958,A
Cu,1608.457,0,,1,nist,L4958,A
Cu,1608.580,700,,1,nist,L4958,A
Cu,1608.753,0,,1,nist,L4958,A
Cu,1608.887,800,,1,nist,L4958,A
Cu,1609.077,0,,1,nist,L4958,A
Cu,1609.232,900,,1,nist,L4958,A
Cu,1609.449,0,,1,nist,L4958,A
Cu,1609.619,1000,,1,nist,L4958,A
Cu,1609.856,0,,1,nist,L4958,A
Cu,1610.059,1100,,1,nist,L4958,A
Cu,1610.334,0,,1,nist,L4958,A
Cu,1610.561,1250,,1,nist,L4958,A
Cu,1610.878,0,,1,nist,L4958,A
Cu,1611.136,1500,,1,nist,L4958,A
Cu,1611.499,0,,1,nist,L4958,A
