element,wavelength,intensity,acc,state,source,reference,unit
Cu,10009.331,8400,C+,2,nist,L19804c168,A
Cu,1001.0129,22000,,2,nist,L19804c170,A
Cu,10025.7149,20000,B,2,nist,L19804c168,A
Cu,10029.643,1500,,2,nist,L19804c168,A
Cu,10038.975,5700,C+,2,nist,L19804c168,A
Cu,1004.0540,330000,,2,nist,L19804c170,A
Cu,10040.8438,14000,B,2,nist,L19804c168,A
Cu,10043.251,560,D+,2,nist,L869c171,A
Cu,10052.528,1200,D+,2,nist,L869c171,A
Cu,10053.7784,5100,C+,2,nist,L19804c168,A
Cu,10057.69213,24000,B,2,nist,L19804c168,A
Cu,1006.980,13000,,2,nist,L14468c171,A
Cu,10060.366,180,D+,2,nist,L869c171,A
Cu,1008.5674,290000,,2,nist,L19804c170,A
Cu,1008.7274,310000,,2,nist,L19804c170,A
Cu,10083.1132,11000,B,2,nist,L19804c168,A
Cu,10094.91,990,D+,2,nist,"L869c171,c172",A
Cu,10094.91,990,D+,2,nist,L869c171,A
Cu,1010.2680,320000,,2,nist,L19804c170,A
Cu,1010.4520,48000,,2,nist,L19804c170,A
Cu,1010.640,18000,,2,nist,L19804c170,A
Cu,1011.436,29000,,2,nist,L14468c171,A
Cu,1012.5956,290000,,2,nist,L19804c170,A
Cu,1012.6813,50000,,2,nist,L19804c170,A
Cu,1013.382,15000,,2,nist,L14468c171,A
Cu,10165.594,3800,C+,2,nist,L19804c168,A
Cu,10169.6069,18000,B,2,nist,L19804c168,A
Cu,1017.9976,70000,,2,nist,L19804c170,A
Cu,10179.222,1700,D+,2,nist,L869c171,A
Cu,1018.0628,180000,,2,nist,L19804c170,A
Cu,1018.7031,550000,,2,nist,L19804c170,A
Cu,1019.6525,240000,,2,nist,L19804c170,A
Cu,10196.454,1100,,2,nist,L869c171,A
Cu,1020.1070,280000,,2,nist,L19804c170,A
Cu,1022.102,91000,,2,nist,L14468c171,A
Cu,10227.876,1700,,2,nist,L869c171,A
Cu,10240.03,120,,2,nist,"L869c171,c172",A
Cu,10240.03,120,,2,nist,L869c171,A
Cu,10249.851,1300,D+,2,nist,L869c171,A
Cu,1027.825,1800000,C,2,nist,L19804c170,A
Cu,1028.3251,670000,,2,nist,L19804c170,A
Cu,10281.503,540,,2,nist,L869c171,A
Cu,1029.7493,290000,,2,nist,L19804c170,A
Cu,1030.2612,500000,,2,nist,L19804c170,A
Cu,10300.22,0,,2,nist,"L869c171,c153",A
Cu,1031.7650,240000,,2,nist,L19804c170,A
Cu,1033.5668,200000,,2,nist,L19804c170,A
Cu,10346.304,6100,C+,2,nist,L869c171,A
Cu,1035.161,85000,,2,nist,L19804c170,A
Cu,1036.465,1800000,C,2,nist,L19804c170,A
Cu,10360.441,780,D+,2,nist,L869c171,A
Cu,10383.168,130,,2,nist,"L869c171,c172",A
Cu,10383.168,130,,2,nist,L869c171,A
Cu,1039.341,2100000,C,2,nist,L19804c170,A
Cu,1039.579,1900000,C,2,nist,L19804c170,A
Cu,10427.159,3700,D+,2,nist,L19804c168,A
Cu,1044.5185,2300000,C,2,nist,L22,A
Cu,1044.7437,2200000,C,2,nist,L22,A
Cu,10455.876,4800,D+,2,nist,L19804c168,A
Cu,10468.532,3800,D+,2,nist,L19804c168,A
Cu,1049.3642,770000,C,2,nist,L19804c170,A
Cu,1049.7551,2100000,C,2,nist,L22,A
Cu,1050.1523,530000,C,2,nist,L19804c170,A
Cu,1050.4013,520000,C,2,nist,L19804c170,A
Cu,1052.1742,1000000,C,2,nist,L19804c170,A
Cu,1054.6907,2800000,C,2,nist,L22,A
Cu,1055.792,2500000,C,2,nist,L19804c170,A
Cu,1056.9549,2300000,C,2,nist,L22,A
Cu,10578.601,180,D+,2,nist,L869c171,A
Cu,1058.798,1800000,C,2,nist,L19804c170,A
Cu,1059.0963,1400000,,2,nist,L22,A
Cu,1060.631,1700000,C,2,nist,L19804c170,A
Cu,10612.201,240,D+,2,nist,L869c171,A
Cu,10627.806,0,,2,nist,L869c171,A
Cu,1063.0027,1400000,C,2,nist,L19804c170,A
Cu,10644.713,3600,D+,2,nist,L19804c168,A
Cu,1065.7837,560000,,2,nist,L19804c170,A
Cu,1066.1356,590000,,2,nist,L19804c170,A
Cu,1069.1944,1000000,C,2,nist,L19804c170,A
Cu,1070.3134,380000,,2,nist,L19804c170,A
Cu,1073.7444,720000,C,2,nist,L19804c170,A
Cu,10745.275,4800,D+,2,nist,L19804c168,A
Cu,10748.647,110,,2,nist,L869c171,A
Cu,10754.989,0,,2,nist,L869c171,A
Cu,1077.889,20000,,2,nist,L14468c171,A
Cu,10771.309,210,D+,2,nist,L869c171,A
Cu,10790.783,210,D+,2,nist,L869c171,A
Cu,10794.485,1400,D+,2,nist,L869c171,A
Cu,10800.881,160,,2,nist,L869c171,A
Cu,10803.92,110,,2,nist,L869c171,A
Cu,10803.944,110,,2,nist,L19804c168,A
Cu,10839.3135,8300,D+,2,nist,L19804c168,A
Cu,10852.445,6300,D+,2,nist,L19804c168,A
Cu,10855.380,2100,D+,2,nist,L869c171,A
Cu,1086.1134,72000,,2,nist,L19804c170,A
Cu,10868.026,100,,2,nist,L869c171,A
Cu,1088.405,270000,,2,nist,L19804c170,A
Cu,10888.056,200,,2,nist,L869c171,A
Cu,10888.056,200,D+,2,nist,L869c171,A
Cu,108887,0,C+,2,nist,,A
Cu,1089.237,39000,,2,nist,L14468c171,A
Cu,10892.9546,6800,D+,2,nist,L19804c168,A
Cu,10907.873,2600,D+,2,nist,L19804c168,A
Cu,1091.293,40000,,2,nist,L19804c170,A
Cu,10928.159,0,D+,2,nist,L869c171,A
Cu,10932.785,480,D+,2,nist,L869c171,A
Cu,10933.9267,5300,D+,2,nist,L19804c168,A
Cu,1094.399,440000,,2,nist,L19804c170,A
Cu,10962.811,4600,D+,2,nist,L869c171,A
Cu,10967.505,3200,D+,2,nist,L869c171,A
Cu,10969.536,900,D+,2,nist,L869c171,A
Cu,1097.0512,320000,,2,nist,L19804c170,A
Cu,10976.944,3100,D+,2,nist,L19804c168,A
Cu,10983.560,4700,D+,2,nist,L19804c168,A
Cu,10986.685,1600,D+,2,nist,L869c171,A
Cu,1100.523,25000,,2,nist,L19804c170,A
Cu,1101.836,8200,,2,nist,L14468c171,A
Cu,11011.425,3300,,2,nist,L869c171,A
Cu,11012.947,3200,D+,2,nist,L19804c168,A
Cu,11030.400,190,D+,2,nist,L869c171,A
Cu,11038.999,2700,D+,2,nist,L869c171,A
Cu,1105.1751,60000,,2,nist,L19804c170,A
Cu,1106.447,23000,,2,nist,L14468c171,A
Cu,1109.744,7200,,2,nist,L14468c171,A
Cu,11101.384,150,D+,2,nist,L869c171,A
