element,wavelength,intensity,acc,state,source,reference,unit
Dy,2586.07,220,,1,nist,L3475,A
Dy,2624.47,370,,1,nist,L3475,A
Dy,2642.94,110,,1,nist,L3475,A
Dy,2668.73,110,,1,nist,L3475,A
Dy,2736.60,0,,1,nist,L3475,A
Dy,2863.54,140,B+,1,nist,L3475,A
Dy,2886.38,120,,1,nist,L3475,A
Dy,2965.47,220,D,1,nist,L3475,A
Dy,3148.606,300,D,1,nist,L1177,A
Dy,3264.127,3000,D,1,nist,L1177,A
Dy,3512.019,1000,B+,1,nist,L1177,A
Dy,3572.458,1000,B+,1,nist,L1177,A
Dy,3667.88,400,,1,nist,L3475,A
Dy,3679.56,640,,1,nist,L3475,A
Dy,3685.90,820,,1,nist,L3475,A
Dy,3686.83,1300,,1,nist,L3475,A
Dy,3729.06,300,,1,nist,L3475,A
Dy,3740.40,930,,1,nist,L3475,A
Dy,3758.12,1200,D,1,nist,L3475,A
Dy,3768.70,640,,1,nist,L3475,A
Dy,3772.18,330,,1,nist,L3475,A
Dy,3774.12,640,,1,nist,L3475,A
Dy,3775.78,370,,1,nist,L3475,A
Dy,3782.54,420,,1,nist,L3475,A
Dy,3813.35,470,,1,nist,L3475,A
Dy,3841.98,370,,1,nist,L3475,A
Dy,3845.45,330,,1,nist,L3475,A
Dy,3848.11,420,,1,nist,L3475,A
Dy,3859.49,420,,1,nist,L3475,A
Dy,3869.91,1600,D,1,nist,L3475,A
Dy,3918.40,540,,1,nist,L3475,A
Dy,3928.97,420,,1,nist,L3475,A
Dy,3931.25,540,,1,nist,L3475,A
Dy,3937.81,420,,1,nist,L3475,A
Dy,3963.71,370,,1,nist,L3475,A
Dy,3968.63,320,B+,1,nist,L3475,A
Dy,4006.97,420,,1,nist,L3475,A
Dy,4007.20,320,,1,nist,L3475,A
Dy,4014.95,540,B+,1,nist,L3475,A
Dy,4024.85,370,B+,1,nist,L3475,A
Dy,4047.11,12000,B+,1,nist,L3475,A
Dy,4086.49,370,B+,1,nist,L3475,A
Dy,4097.26,390,,1,nist,L3475,A
Dy,4105.03,860,B+,1,nist,L3475,A
Dy,4130.28,350,B+,1,nist,L3475,A
Dy,4131.52,350,B+,1,nist,L3475,A
Dy,4135.02,390,,1,nist,L3475,A
Dy,4147.23,990,B+,1,nist,L3475,A
Dy,4169.14,5700,B+,1,nist,L3475,A
Dy,4173.11,370,,1,nist,L3475,A
Dy,4184.90,930,B+,1,nist,L3475,A
Dy,4188.00,12000,B+,1,nist,L3475,A
Dy,4192.12,320,B+,1,nist,L3475,A
Dy,4192.82,2200,B+,1,nist,L3475,A
Dy,4196.02,6800,B+,1,nist,L3475,A
Dy,4199.20,800,B+,1,nist,L3475,A
Dy,4202.48,680,B+,1,nist,L3475,A
Dy,4203.42,680,B+,1,nist,L3475,A
Dy,4206.24,230,,1,nist,L3475,A
Dy,4212.43,440,,1,nist,L3475,A
Dy,4212.91,16000,B+,1,nist,L3475,A
Dy,4214.37,1800,B+,1,nist,L3475,A
Dy,4216.35,3700,B+,1,nist,L3475,A
Dy,4219.28,4400,B+,1,nist,L3475,A
Dy,4222.30,4400,B+,1,nist,L3475,A
Dy,4223.40,540,B+,1,nist,L3475,A
Dy,4226.35,2700,B+,1,nist,L3475,A
Dy,4233.21,680,B+,1,nist,L3475,A
Dy,4241.04,680,B+,1,nist,L3475,A
Dy,4247.11,440,B+,1,nist,L3475,A
Dy,4269.465,1000,B+,1,nist,L1177,A
Dy,4277.89,250,B+,1,nist,L3475,A
Dy,4293.174,3000,B+,1,nist,L1177,A
Dy,4296.25,0,,1,nist,L3475,A
Dy,4327.08,320,,1,nist,L3475,A
Dy,4445.83,150,,1,nist,L3475,A
Dy,4528.85,100,,1,nist,L3475,A
Dy,4566.37,140,B+,1,nist,L3475,A
Dy,4579.06,420,B+,1,nist,L3475,A
Dy,4590.65,2100,B+,1,nist,L3475,A
Dy,4613.55,990,B+,1,nist,L3475,A
Dy,4615.12,0,,1,nist,L3475,A
Dy,4616.11,0,,1,nist,L3475,A
Dy,4664.03,0,,1,nist,L3475,A
Dy,4722.54,0,,1,nist,L3475,A
Dy,4773.27,0,,1,nist,L3475,A
Dy,4776.14,0,,1,nist,L3475,A
Dy,4777.13,120,,1,nist,L3475,A
Dy,4792.63,0,B+,1,nist,L3475,A
Dy,4801.98,0,,1,nist,L3475,A
Dy,4809.28,0,B+,1,nist,L3475,A
