element,wavelength,intensity,acc,state,source,reference,unit
Er,2165.94,0,,3,nist,L1925,A
Er,2191.45,0,,3,nist,L1925,A
Er,2198.84,0,,3,nist,L1925,A
Er,2224.67,0,,3,nist,L1925,A
Er,2233.04,0,,3,nist,L1925,A
Er,2235.97,0,,3,nist,L1925,A
Er,2246.30,0,,3,nist,L1925,A
Er,2256.65,0,,3,nist,L1925,A
Er,2270.06,0,,3,nist,L1925,A
Er,2278.35,600,,3,nist,L1925,A
Er,2309.90,100,,3,nist,L1925,A
Er,2359.23,110,,2,nist,L3475,A
Er,2359.41,0,,3,nist,L1925,A
Er,2359.51,0,,3,nist,L1925,A
Er,2360.05,0,,3,nist,L1925,A
Er,2368.36,200,,3,nist,L1925,A
Er,2376.23,0,,3,nist,L1925,A
Er,2377.80,0,,3,nist,L1925,A
Er,2381.98,0,,3,nist,L1925,A
Er,2382.13,0,,3,nist,L1925,A
Er,2382.48,0,,3,nist,L1925,A
Er,2387.31,100,,2,nist,L3475,A
Er,2387.90,120,,2,nist,L3475,A
Er,2392.69,0,,3,nist,L1925,A
Er,2393.81,0,,3,nist,L1925,A
Er,2394.33,0,,3,nist,L1925,A
Er,2397.13,250,,3,nist,L1925,A
Er,2399.64,0,,3,nist,L1925,A
Er,2403.48,0,,3,nist,L1925,A
Er,2405.31,0,,3,nist,L1925,A
Er,2411.20,100,,3,nist,L1925,A
Er,2420.55,200,,3,nist,L1925,A
Er,2423.21,200,,3,nist,L1925,A
Er,2432.25,0,,3,nist,L1925,A
Er,2447.13,140,,2,nist,L3475,A
Er,2465.35,0,,3,nist,L1925,A
Er,2492.79,0,,3,nist,L1925,A
Er,2509.35,100,,3,nist,L1925,A
Er,2531.79,0,,3,nist,L1925,A
Er,2533.12,100,,3,nist,L1925,A
Er,2537.52,0,,3,nist,L1925,A
Er,2537.78,100,,2,nist,L3475,A
Er,2541.67,0,,3,nist,L1925,A
Er,2544.07,0,,3,nist,L1925,A
Er,2546.71,0,,3,nist,L1925,A
Er,2548.04,110,,2,nist,L3475,A
Er,2557.99,0,,3,nist,L1925,A
Er,2571.51,0,,3,nist,L1925,A
Er,2580.79,0,,3,nist,L1925,A
Er,2587.50,290,,2,nist,L3475,A
Er,2587.81,110,,2,nist,L3475,A
Er,2590.32,0,,3,nist,L1925,A
Er,2591.49,0,,3,nist,L1925,A
Er,2592.34,0,,3,nist,L1925,A
Er,2592.61,200,,3,nist,L1925,A
Er,2593.35,130,,2,nist,L3475,A
Er,2595.81,120,,2,nist,L3475,A
Er,2599.17,0,,3,nist,L1925,A
Er,2599.96,0,,3,nist,L1925,A
Er,2604.40,100,,3,nist,L1925,A
Er,2605.69,0,,3,nist,L1925,A
Er,2615.31,0,,3,nist,L1925,A
Er,2618.42,0,,3,nist,L1925,A
Er,2619.18,0,,3,nist,L1925,A
Er,2619.72,0,,3,nist,L1925,A
Er,2624.96,140,,2,nist,L3475,A
Er,2625.97,0,,3,nist,L1925,A
Er,2627.15,0,,3,nist,L1925,A
Er,2638.31,0,,3,nist,L1925,A
Er,2638.56,200,,3,nist,L1925,A
Er,2652.28,0,,3,nist,L1925,A
Er,2671.05,490,,2,nist,L3475,A
Er,2673.04,330,,2,nist,L3475,A
