element,wavelength,intensity,acc,state,source,reference,unit
Er,3369.10,0,,1,nist,L3475,A
Er,3383.03,230,,1,nist,L3475,A
Er,3443.67,390,,1,nist,L3475,A
Er,3470.50,490,,1,nist,L3475,A
Er,3503.78,610,,1,nist,L3475,A
Er,3540.60,410,,1,nist,L3475,A
Er,3559.04,1500,,1,nist,L3475,A
Er,3559.73,510,,1,nist,L3475,A
Er,3566.19,310,,1,nist,L3475,A
Er,3579.26,310,,1,nist,L3475,A
Er,3587.62,370,,1,nist,L3475,A
Er,3591.78,610,,1,nist,L3475,A
Er,3596.87,410,,1,nist,L3475,A
Er,3608.45,410,,1,nist,L3475,A
Er,3629.07,720,,1,nist,L3475,A
Er,3630.40,310,,1,nist,L3475,A
Er,3635.71,510,,1,nist,L3475,A
Er,3639.72,1600,,1,nist,L3475,A
Er,3665.49,360,,1,nist,L3475,A
Er,3685.06,320,,1,nist,L3475,A
Er,3698.73,380,,1,nist,L3475,A
Er,3720.41,320,,1,nist,L3475,A
Er,3748.50,900,,1,nist,L3475,A
Er,3757.12,540,,1,nist,L3475,A
Er,3793.87,500,,1,nist,L3475,A
Er,3811.41,1600,,1,nist,L3475,A
Er,3851.00,540,,1,nist,L3475,A
Er,3856.99,680,,1,nist,L3475,A
Er,3863.95,7500,,1,nist,L3475,A
Er,3893.78,4200,,1,nist,L3475,A
Er,3905.09,250,,1,nist,L3475,A
Er,3906.51,1200,,1,nist,L3475,A
Er,3919.16,280,,1,nist,L3475,A
Er,3938.12,3200,,1,nist,L3475,A
Er,3945.54,3200,,1,nist,L3475,A
Er,3949.18,550,,1,nist,L3475,A
Er,3952.60,250,,1,nist,L3475,A
Er,3957.54,320,,1,nist,L3475,A
Er,3967.47,280,,1,nist,L3475,A
Er,3974.16,2700,,1,nist,L3475,A
Er,3974.70,3200,,1,nist,L3475,A
Er,3977.85,280,,1,nist,L3475,A
Er,3978.14,810,,1,nist,L3475,A
Er,3983.46,1100,,1,nist,L3475,A
Er,3988.66,280,,1,nist,L3475,A
Er,3988.79,810,,1,nist,L3475,A
Er,3992.28,230,,1,nist,L3475,A
Er,4005.18,230,,1,nist,L3475,A
Er,4009.09,14000,,1,nist,L3475,A
Er,4013.71,1100,,1,nist,L3475,A
Er,4021.65,3000,,1,nist,L3475,A
Er,4022.69,450,,1,nist,L3475,A
Er,4048.10,1000,,1,nist,L3475,A
Er,4060.66,550,,1,nist,L3475,A
Er,4079.03,420,,1,nist,L3475,A
Er,4088.78,3500,,1,nist,L3475,A
Er,4094.06,210,,1,nist,L3475,A
Er,4099.26,1100,,1,nist,L3475,A
Er,4117.52,320,,1,nist,L3475,A
Er,4119.71,320,,1,nist,L3475,A
Er,4132.67,600,,1,nist,L3475,A
Er,4152.28,6900,,1,nist,L3475,A
Er,4191.88,1000,,1,nist,L3475,A
Er,4206.50,130,,1,nist,L3475,A
Er,4219.62,1400,,1,nist,L3475,A
Er,4222.18,200,,1,nist,L3475,A
Er,4287.77,690,,1,nist,L3475,A
Er,4300.12,320,,1,nist,L3475,A
Er,4330.03,130,,1,nist,L3475,A
Er,4332.58,110,,1,nist,L3475,A
Er,4342.14,140,,1,nist,L3475,A
Er,4349.56,190,,1,nist,L3475,A
